Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ichi	road			camino					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
sava ichi	half way			medio camino					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
niki'in ti ichi	it hit the road			dio el camino					sara niki'in ti ichi kua'an ti .	Then it hit the road and it left.	Y dio el camino y se fue.
ikí	pumpkin			calabaza					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
Ntsio in kii	one day there was			había una vez					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
in	a			un					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
in ntucha luu	a small goat			una cabra pequeña					Sara niya'a yachi in ntucha luu .	And then it approached a small goat.	Y acercó una cabra pequeña.
in kolo	a turkey			un pavo					Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
in kini luu	a small pig			un cierdo pequeño					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
in vilu	a cat			un gato					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
ini	inside	in	into it's kitchen	en	into su cocina				Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
inka tuku kii	another day	another time		outro día					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
inka tuku kii	the next day			el próximo día					Sara inka tuku kii nikachi chuún luu ka :	Then the next day the chicken said:	Y el próximo día la gallina dijó:
inkaa ti	it was located			estaba					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
itu	flower			flor					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
itu ti	it's field	in it's field		su maizal	en su maizal				Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
itu ti	it's field			su maizal					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
kachi ti	it says			dije					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
kantu'u	sat			estuvo					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
ña katsi	something to eat	I eat		algo a comer	como				— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
katsi	I eat			como					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
katsi	I eat			como					— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
katso	we eat			comemos					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
katso	we eat			comemos					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
katso	we eat			comemos					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
ña katsu	something to eat	you eat		algo a comer	comes				Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
kavu	you turn over			volteas					— ¿ A kuu chincheu yu kavu staa ?	Can you help me flip the tortillas?	¿Puedes ayudarme voltear las tortillas?
ki'vi	get stuck			se atasca					Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
Ntsio in kii	one day there was			había una vez					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
kii	day			el día					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
inka tuku kii	another day	another time		outro día					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
inka tuku kii	the next day			el próximo día					Sara inka tuku kii nikachi chuún luu ka :	Then the next day the chicken said:	Y el próximo día la gallina dijó:
in kini luu	a small pig			un cierdo pequeño					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
kue kiti	the animals			los animales					Sara kue kiti ka nikachia :	Then the animals said:	Y dijeron los animales:
stee ko	we plant			plantamos					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
	?			?					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
Nantasava'a ko	let's prepare			preparamos					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
	we'll get								Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
Nastee ko	let's plant			vamos a plantar					Nastee ko , nachi'o tata yu	Let's plant, let's lay my seed.	Vamos a plantar, plantamos mis semillas.
in kolo	a turkey	turkey		un pavo	pavo				Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
tsi kolo	to the turkey			al pavo					— nikachi ti tsi kolo ka .	it said to the turkey.	dijó al pavo.
	?			?					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
ta ku'u	rows of plants			filas de cultivos					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
ku'u	weed			malas hierbas					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
tu'un ku'u	I'm pulling weeds			saco la hierba					— Yo'o sachuun , tu'un ku'u .	I'm working here, pulling weeds	Trabajo aquí, saco la hierba.
kua'a	I give			doy					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
kua'an ti	it left			se fué					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
kua'an ti	it left			se fue					sara niki'in ti ichi kua'an ti .	Then it hit the road and it left.	Y dio el camino y se fue.
kua'an tuku ti	it went back	it returned		volvió					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
kua'an ti	it left			se fue					Sara niketa vilu ka kua'an ti .	Then the cat turned around and left.	Y el gato se dio la vuelta y se fue.
kuanu'u ti	it went			se fue					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
kue kiti	the animals			los animales					Sara kue kiti ka nikachia :	Then the animals said:	Y dijeron los animales:
kue	not			no					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
kue	not			no					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
kueti	they (animals)			ellos (animales)					— nikachi kueti ,	they said	dijeron
kueti	they (animals)			ellos (animales)					— nikachi kueti .	they said	dijeron
kuni yu	I want			quiero					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
kuni yu	I want			quiero					Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
kuni yu	I want	I really want		quiero	quiero veramente				— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
kunkatsi ti	approached			acercó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
kunku'u yu	I'm going to			me voy a ir	me voy				— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
kunku'u yu	I will go			voy a ir	me voy a ir				— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
kunku'u yu	I will go			voy a ir					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
kustee ti	it plowed			arró					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
kutsaa	available			disponible					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
Vasa kutsaa	I'm not available			no estoy disponible					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
Vasa kutsaa	I'm not available			noy estoy disponible					— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
kutsaa	I come			vengo					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
kuu	can			puedes					— ¿ A kuu chincheu yu ?	Can you help me?	¿Puedes ayudarme?
kuu	can you			puedes					— ¿ A ma kuu chincheu yu ?	Can you not help me?	No me puedes ayudar?
kuu	can			poder					— ¿ A kuu chincheu yu kavu staa ?	Can you help me flip the tortillas?	¿Puedes ayudarme voltear las tortillas?
Vasa kuu	I'm not able to			no puedo					— Vasa kuu vari vii nta'a	I can't because my beautiful hands.	No puedo debido a mis mano bonitas.
kuyakua	will get dirty	I will get my hands dirty		me ensucio	me ensucio las manos				— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
luu	small			pequeña					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
luu	small			pequeño					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
luu	small			pequeño					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
nuni luu	small kernals			granos pequeños					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
nuni luu	small kernals			granos pequeños					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
in ntucha luu	a small goat			una cabra pequeña					Sara niya'a yachi in ntucha luu .	And then it approached a small goat.	Y acercó una cabra pequeña.
luu	small			pequeño					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
in kini luu	a small pig			un cierdo pequeño					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
ma	will not			no					— ¿ A ma kuu chincheu yu ?	Can you not help me?	No me puedes ayudar?
mee	me			yo					— ¡ Mee , mee , mee !	I will! I will! I will!	Yo! yo! yo!
mee	me			yo					— ¡ Mee , mee , mee !	I will! I will! I will!	Yo! yo! yo!
mee	I			yo					— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
michumi	right now			ahora					— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
sachuun mitu'un ti	it worked alone	alone	by itself	trabajó a solo	solo				, sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
sachuun mitu'un ti	it worked alone			trabajó solo					sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
mitu'un	by myself			yo mismo					Kunkatsi mitu'un staa	I'll eat the tortillas myself	Yo como las tortillas yo mismo
tsatsi na	they eat			comeron					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
nachi'o	we insert			ponemos					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
nachi'o	let's insert	let's insert my seeds		insertamos	insertamos mis semillas				Nastee ko , nachi'o tata yu	Let's plant, let's lay my seed.	Vamos a plantar, plantamos mis semillas.
nake'e	I touch			yo toque					— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
nakua'a	let's work			vamos a trabajar					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
nakunaa	let's bring			traemos					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
	we'll get								Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
nchiso ti	it carried			cargó					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
Saan ni va'a ni	no problem			no hay problema					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
Saan ni va'a ni	no problem			no hay problema					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
nichincheu	helped			ayudaste					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
	?			?					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
nikachi ti	it said			dijó					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
nikachi ti	it said			dijó					Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
niketa	turned around			se dio la vuelta					Sara niketa vilu ka kua'an ti .	Then the cat turned around and left.	Y el gato se dio la vuelta y se fue.
niki'in ti ichi	it hit the road			dio el camino					sara niki'in ti ichi kua'an ti .	Then it hit the road and it left.	Y dio el camino y se fue.
nikitsaa	arrived			llegó					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
nikitsaa ti	it began			empezó					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
nikitsaa ti	it began			empezó					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
nikitsaa ti	it began			empezó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
nikuyachi	it approached								Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
niya'a	it approached			acercó					Sara niya'a yachi in ntucha luu .	And then it approached a small goat.	Y acercó una cabra pequeña.
no'o ve'e	we go home			vamos a case					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
nta'a	hand			mano					— Vasa kuu vari vii nta'a	I can't because my beautiful hands.	No puedo debido a mis mano bonitas.
