Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
nintaka tu'un kueti				they (animals) asked			ellos (animales) preguntaron					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
va'a kuu kueyu				you are kind			ustedes son amables					Amigu va'a kuu kueyu .	Friends, you all are kind.	Amigos, ustedes son amables.
kuni yu				I want			quiero					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
kunia				wanted			quiso					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
kuntanta'a				will get married			se casará					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
kuntanta'a				will get married			se casará					— Mee nakua'a sa'ma chaa kuntanta'a .	I will give clothes for the groom to get married in.	Yo puedo dar ropas para el novio.
kuntanta'a				will get married			se casará					— Mee nakua'a xini chaa kuntanta'a .	I will give a hat for the groom to get married in.	Yo puedo dar un sombrero para el novio.
kuntanta'a				will get married			se casará					— Mee nakua'a ntsitsa chaa kuntanta'a .	I will give shoes for the groom to get married in.	Yo puedo dar zapatos para el novio.
kuntanta'a				will get married			se casarán					— Mee nakua'a cho'o na kuntanta'a .	I can give a nest for them to get married in.	Yo puedo les dar un nido para casarse.
kusa'i				will make			va a hacer					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
va'a kuu kueyu				you are kind			ustedes son amables					Amigu va'a kuu kueyu .	Friends, you all are kind.	Amigos, ustedes son amables.
lakuku				mourning dove			tortolita					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
lasimi				White-throated Towhee			rascador oaxaqueño					Sara nikachi lasimi :	Then the White-throated towhee said:	Y dijó el rascador oaxaqueño:
lasu'un				Roadrunner			correcaminos					Sara nikachi lasu'un :	Then the Roadrunner said:	Y dijó el correcaminos:
lochi				vulture			buitre					Sara nikachi lochi :	Then the vulture said:	Y dijó el buitre:
luu				small			pequeño					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
luu				little			pequeño					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
saa mi'ncha				Ocellated Thrasher			cuitlacoche					Sara nikachi saa mi'ncha :	Then the Ocellated Thrasher said:	Y el cuitlacoche dijó:
ko'o na				they drink			beben					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
katsi na				they eat			comen					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
na				them			ellos					— Mee nakua'a cho'o na kuntanta'a .	I can give a nest for them to get married in.	Yo puedo les dar un nido para casarse.
nachinchee kue				we will help			ayudaramos	ayudemos				— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
nakua'a				I can give			puedo dar					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
nakua'a				I can give			puedo dar					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
nakua'a				can give			puedo dar					— Mee nakua'a sa'ma chaa kuntanta'a .	I will give clothes for the groom to get married in.	Yo puedo dar ropas para el novio.
nakua'a				can bring			puedo dar					— Mee nakua'a xini chaa kuntanta'a .	I will give a hat for the groom to get married in.	Yo puedo dar un sombrero para el novio.
nakua'a				can give			puedo dar					— Mee nakua'a ntsitsa chaa kuntanta'a .	I will give shoes for the groom to get married in.	Yo puedo dar zapatos para el novio.
nakua'a				can give			puedo dar					— Mee nakua'a cho'o na kuntanta'a .	I can give a nest for them to get married in.	Yo puedo les dar un nido para casarse.
nakukuu				can be			puedo ser					— Mee nakukuu tatalinu .	I will be the groom's sponsor.	Yo puedo ser el padrino.
nakukuu				can be			puedo ser					— Mee nakukuu nanalina .	I can be the bride's sponsor.	Yo puedo ser la madrina.
nanalina				bride's sponsor			madrina					— Mee nakukuu nanalina .	I can be the bride's sponsor.	Yo puedo ser la madrina.
saa ncha'i				Great-tailed grackle			zanate					Sara nikachi saa ncha'i :	Then the Great-tailed grackle said:	Pues dijó el zanate:
ncho'o				hummingbird			colibrí					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
ni va'a ni				no problem			no hay problema					— Saan ni va'a ni .	No problem.	No hay problema.
ni va'a ni				no problem			no hay problema					— Saan ni va'a ni .	No problem.	No hay problema.
nikachi				said			dijó					Sara nikachi saa kua'a :	Then the red bird said:	Y el pájaro rojo dijó:
nikachi				said			dijó					Sara nikachi lasimi :	Then the White-throated towhee said:	Y dijó el rascador oaxaqueño:
nikachi				said			dijó					Sara nikachi saa mi'ncha :	Then the Ocellated Thrasher said:	Y el cuitlacoche dijó:
nikachi				said			dijó					Sara nikachi saa ncha'i :	Then the Great-tailed grackle said:	Pues dijó el zanate:
nikachi				said			dijó					Sara nikachi lochi :	Then the vulture said:	Y dijó el buitre:
nikachi		
                  pigeon [sàta]? (what is tone difference from 'back'?)pigeon [sàta]? (what is tone difference from 'back'?)		said			dijó					Sara nikachi sata :	Then the pigeon said:	Y la paloma dijó:
nikachi				said			dijó					Sara nikachi tikaka :	Then the crow said:	Y dijó el cuervo:
nikitsaa				arrived			llegó	los pájaros llegaron				Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
nikitsai				began			empezó					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
nikuacha				became happy	became very happy		se puso feliz	se puso muy feliz				Ika nikuacha ta lakuku ka sara nikuu ntanta'i .	There the mourning dove became very happy and then was able to get married.	Allí la tortolita se puso muy feliz y pues podía casarse.
nikuu				was able to			podía	podo				Ika nikuacha ta lakuku ka sara nikuu ntanta'i .	There the mourning dove became very happy and then was able to get married.	Allí la tortolita se puso muy feliz y pues podía casarse.
nintaka tu'un kueti				they (animals) asked			ellos (animales) preguntaron					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
nixi				how			como					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
ntakani inia				worried			se preocupaba					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
ntanta'i				get married			casarse					Ika nikuacha ta lakuku ka sara nikuu ntanta'i .	There the mourning dove became very happy and then was able to get married.	Allí la tortolita se puso muy feliz y pues podía casarse.
nti'i so kue				all of us			todos nosotros					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
				all			todos					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
ntsio				lived			vivió					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
ntsitsa				shoes			zapatos					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
nchii ntu'u				what is happening			que pasa					— ¿ Nchii ntu'u ña tsaku ?	Why are you crying?	¿Porqué estas llorando?
sa'i				makes			hace					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
sa'ma				clothes			ropas					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
kue saa				the birds			los pájaros llegaron	los pájaros				Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
saa				bird			pájaro					Sara nikachi saa kua'a :	Then the red bird said:	Y el pájaro rojo dijó:
saani				the same way			la misma manera					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
sata				pigeon			paloma					Sara nikachi sata :	Then the pigeon said:	Y la paloma dijó:
nti'i so kue				all of us			todos nosotros					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
				all			todos					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
ta				really	very much		realmente					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
nikuacha ta				became very happy	very		se puso muy feliz	muy				Ika nikuacha ta lakuku ka sara nikuu ntanta'i .	There the mourning dove became very happy and then was able to get married.	Allí la tortolita se puso muy feliz y pues podía casarse.
takua				so that			para que					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
				The mourning dove and hummingbird's wedding party										
tanta'a				get married			me casa					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
tanta'i		
                  collocate "tsi"collocate "tsi"		gets married	gets married with		se casa	se casa con				In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
tanta'u				you get married			te casas					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
tatalinu				groom's sponsor			padrino					— Mee nakukuu tatalinu .	I will be the groom's sponsor.	Yo puedo ser el padrino.
tikaka				crow			cuervo					Sara nikachi tikaka :	Then the crow said:	Y dijó el cuervo:
tsaku				you are crying			lloras					— ¿ Nchii ntu'u ña tsaku ?	Why are you crying?	¿Porqué estas llorando?
tsakui				cries			llora					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
tanta'i tsi				gets married with			se casa con					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
tsi				with			con					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
nintaka tu'un kueti				they (animals) asked			ellos (animales) preguntaron					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
ni va'a ni				no problem			no hay problema					— Saan ni va'a ni .	No problem.	No hay problema.
va'a kuu kueyu				you are kind			ustedes son amables					Amigu va'a kuu kueyu .	Friends, you all are kind.	Amigos, ustedes son amables.
koo va'u		
                  "koo va'a" 'live well' (what is "koo" here? is it the same as 'not be/without'?)"koo va'a" 'live well' (what is "koo" here? is it the same as 'not be/without'?)		you live well			vives bien					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
vari				because			porque					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
vii xeen				happily			felizmente					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
viko		
                  note the phrase: "sa'a in viko" 'to have a party' (literally: make a party)note the phrase: "sa'a in viko" 'to have a party' (literally: make a party)		party			fiesta					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
vii xeen				happily			felizmente					Sara vii xeen ntsio lakuku ka tsi ncho'o , saani nti'i so kue saa luu ka .	And then the mourning dove lived hapily with the hummingbird and all the little birds were happy as well.	Y la tortolita vivió felizmente con el colibrí y todos los pájaros pequeños se sentiron feliz en la misma manera.
xini				hat			sombrero					— Mee nakua'a xini chaa kuntanta'a .	I will give a hat for the groom to get married in.	Yo puedo dar un sombrero para el novio.
koo xu'in				had no money			no tuve dinero					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
xu'un				money			dinero					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
yo				you			te					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
kuni yu				I want			quiero					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
yukú				woods			bosque					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
ña				him			le					Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
ña				that			que					— ¿ Nchii ntu'u ña tsaku ?	Why are you crying?	¿Porqué estas llorando?
ña				something			algo					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
ñantu'i				sitting there			sentado allí					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
ñaña'á				bride			novia					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.

