Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
choko				ant			hormiga					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
ichi				path			camino					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
ichi				line			linea					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
ichi				path			camino					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
ichi				path			camino					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
ichi yo'o				this path			este camino					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee ichi				the end of the path	path		fin del camino	camino				Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
ichi yo'o				this path			este camino					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ichi				path			camino					Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
ichi yo'o				this path			este camino					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ichi				path			camino					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
mancha ini				all the way inside			todo el camino adentro					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
inkaa				is located			está					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
inkaa				be located			está					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
ka'nu				big			grande					¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
kantu'u				are sitting			estan					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
katsi ti				it eats			come					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
kee				come out	you come out		salir	sales				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee				ends	the end of the path		fine	fin del camino				Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
kee				come out	you come out		salir	sales				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee				ends	the end of the path		fine	fin del camino				Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
kee				come out			sal					Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
kee		note information structure, how subject/actor is placed after landmark note information structure, how subject/actor is placed after landmark		come out	you come out		salir	sales				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ki'vu				you enter			entras					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ki'vu				you enter			entras					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ki'vu				you enter			entras					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kitsau				you arrive			llegas					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
ntantuku ku				you look for			buscas					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee ku				you come out			sales					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee ku				you come out			sales					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntantuku ku				you look for			buscas					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
tsio ku tsio kua'a				to your right side			a tu derecha					Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kee ku				you come out			sales					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
kua				where			dónde					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
tsio ku tsio kua'a				to your right side	right		a tu derecha	derecha				Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
kuachi				small			pequeño					¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
kui'i				fruit			fruta					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
kunkee				will end			va a terminar					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
kunkeu				you will exit			vas a salir					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
kunki'vu				you will enter			vas a entrar					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
kunkii ti		TS: expects glottal stop between "ii"; e.g. "kunki'i" TS: expects glottal stop between "ii"; e.g. "kunki'i"		it is going to get			va a obtener					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
kuu				you can			puedes					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
kuu				can			puede					¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
kuu				be			hay					¿ Nisa chaka kuu ?	How many fish are there?	¿Cuantos pescados hay?
linia				line			linea					Ntana'a in linia , nakaka tina ka .	Draw a line for the dog to walk through.	Dibuja una linea para el perro caminar.
linia				line			linea					Ntana'a in linia .	Draw a line.	Dibuja una linea.
linia				line			linea					Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
linia				line			linea					Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
linia				line			linea					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
linia				line			linea					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
luu				small			pequeña					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
mancha ini				all the way inside			todo el camino adentro					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
mancha				up to			a					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
mancha				to	up to where		a	hasta dónde				Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
mancha nuu				up to where			hasta dónde					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
mancha				up to			a					Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
mancha				up to			a					Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
mancha				up to			a					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
nakaka				walk			camine					Ntana'a in linia , nakaka tina ka .	Draw a line for the dog to walk through.	Dibuja una linea para el perro caminar.
naku'un ti				walk			camina					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
nchii tsio		is this not "what" + "side"?		the way	where		la manera					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
nchii tsio				the side where			el lado dónde					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
nchii tsio				the side where			el lado dónde					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
nikee ti				found			encontró					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
nixi				how			cómo					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
nixi				how			cómo					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
nixi				how			cómo					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntane'e ti				it found			encontró					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
ntantuku ku				you look for			buscas					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntantuku ku				you look for			buscas					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
ntantuku ku				you look for	you figure out		buscas					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
ntasatutu				you collect			recojes					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
nti'i				everything			todo					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
nti'u ntivi				all your eggs			todos tus huevos					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
nti'u ntivi				all your eggs			todos tus huevos					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
ntuku ti				it looked for			buscó					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
nu				where			dónde					Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
nuu				where			dónde					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
nuu				where	up to where		dónde	hasta dónde				Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
mancha nuu				up to where			hasta dónde					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
nuu				where			dónde					Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
chika se'e nuu				hide from	from		esconder de	de				¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
nuu				where			dónde					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
takua saan				so that			para que					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
takua saan				so that			para que					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
sara				then			y					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
sara				then			y					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
sara				then			y					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
chika se'e				hide	hide from		esconde	esconder de				¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
staa				tortilla			tortilla					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
staa				tortilla			tortilla					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
takua saan				so that			para que					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
takua saan				so that			para que					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
tsito ti				is looking at			mira	está mirando				Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
kunkii ti				it is going to get			va a obtener					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
Ku'un ti				it goes	it is going		va					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
nikee ti				found			encontró					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
ntuku ti				it looked for			buscó					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
katsi ti				it eats			come					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
ntane'e ti				it found			encontró					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
naku'un ti				walk			camina					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
tina				dog			perro					Ntana'a in linia , nakaka tina ka .	Draw a line for the dog to walk through.	Dibuja una linea para el perro caminar.
tsini ñu'u				you have to			tienes que					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
tsini ñu'u				you have to			tienes que					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
tsio				side			lado					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
tsio				side			lado					Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
nchii tsio		is this not "what" + "side"?		the way	where		la manera					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
tsio ku tsio kua'a				to your right side			a tu derecha					Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
tsio ku tsio kua'a				to your right side	right		a tu derecha	derecha				Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
nchii tsio				the side where			el lado dónde					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
