Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
in kii				one day			un día					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
nika'an ra				he said			él dijó					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
nika'an ra				he said			dijó él					nika'an ra .	He said.	Dijó.
niki'in ra				he got			él consiguió					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
ma nikuu				could not			no pudo					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
nine'e ra				he grabbed			él agarró					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
nivi				people			gente					" Tinchii nivi skuina ntuxi ko " ,	Arrest the people who stole our nectar!	Detenga la gente que robó nuestro néctar!
ntaki'in ra		"nta-" + "ki'in" (what is "ki'in"?)		he got	he collected		él consiguió	él cosechó				Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ntane'e ra				he found			él encontró					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
nti'i				all			todo					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
ntikuina				thief										
ntintuu				both			los dos					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
ntisaan so				every			cada					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ntixi				pulque			pulque					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
ntsa'an ra				he went			él fue					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
ntsaa ra				he arrived			él llegó					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
ntsaa ra				he arrived			él llegó					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
ntsaa ra				he arrived			él llegó					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
ntsani kuii ra				he killed			él mató					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
ntsani ra				he killed			él mató					Tsio saan ntsani ra uvi tsoko .	That's how he killed the two possums.	Así es como él mató los dos tlacuaches.
ntsini ra				he saw			vió					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
ntuxi				nectar			néctar					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ntuxi ko				our nectar			nuestro néctar					" Tinchii nivi skuina ntuxi ko " ,	Arrest the people who stole our nectar!	Detenga la gente que robó nuestro néctar!
ntuxi				necktar			néctar					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
nuu yavi				on the agave			en el agave					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
nuu				on	on the agave		en	en el agave				Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
nuu yavi				on the agave			en el agave					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
kumi ra		get recording compare tone between this and 'four'		he had			él tuve					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
tsa'an ra				he went			él fue					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ntaki'in ra		"nta-" + "ki'in" (what is "ki'in"?)		he got	he collected		él consiguió	él cosechó				Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ntsaa ra				he arrived			él llegó					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
nika'an ra				he said			él dijó					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
nika'an ra				he said			dijó él					nika'an ra .	He said.	Dijó.
ntsaa ra				he arrived			él llegó					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
ntsa'an ra				he went			él fue					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
niki'in ra				he got			él consiguió					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
nchikaa ra				he put			puso	aplicó				Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
kuanu'u ra				he went home			él fue a casa					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
ntsaa ra				he arrived			él llegó					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
ntane'e ra				he found			él encontró					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tsa'a yavi ra				under his agave			debajo de su agave					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
ntsini ra				he saw			vió					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
nine'e ra				he grabbed			él agarró					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
ntsani kuii ra				he killed			él mató					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
ntsani ra				he killed			él mató					Tsio saan ntsani ra uvi tsoko .	That's how he killed the two possums.	Así es como él mató los dos tlacuaches.
ta saan				once upon a time			había un día					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
tsio saan				that's how			así es como					Tsio saan ntsani ra uvi tsoko .	That's how he killed the two possums.	Así es como él mató los dos tlacuaches.
sketa ti				it runs			corrió					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
skuina				steal			robar					" Tinchii nivi skuina ntuxi ko " ,	Arrest the people who stole our nectar!	Detenga la gente que robó nuestro néctar!
skuina				stealing			robando					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
suu				and not			y no					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
talinu				godfather			padrino					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
tsini ti		check!		he realized			se dió cuento					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
ñantu'u ti		is the "ña-" just part of the verb or is this added to the front to refer to the ones that were sitting?		that were sitting			que sentaban					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
sketa ti				it runs			corrió					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
tsini xeen ti		check with speakers		they were too fat			eran muy gordos					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
tsa		check with speakers!		already	and		y					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
tsa'a				under	under his agave		debajo	debajo de su agave				Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tsa'an ra				he went			él fue					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
tsi'i		what tense is this? is the past tense of drink "tsi'i" or "ntsi'i"?		drink			bebe					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
tsini ti		check!		he realized			se dió cuento					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tsini xeen ti		check with speakers		they were too fat			eran muy gordos					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
tsoko				possum			tlacuache					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tsoko				possums			tlacuache					Tsio saan ntsani ra uvi tsoko .	That's how he killed the two possums.	Así es como él mató los dos tlacuaches.
inka tuku kii				the next day			el día siguente					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
tuku				again			de nuevo					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
uvi				two			dos					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
vari				because			porque					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
vari				because of the fact that			debido al hecho que					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
kii xchaan		should this be a dictionary entry? is "xchaan" not 'morning' by itself?		early in the morning			temprano en la mañana					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tsini xeen ti		check with speakers		they were too fat			eran muy gordos					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
yavi				agave			agave					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
nuu yavi				on the agave			en el agave					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
 yavi				agave	on the agave		agave	en el agave				Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
nuu yavi				on the agave			en el agave					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
tsa'a yavi ra				under his agave			debajo de su agave					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
yu		godfather of mine		of mine								Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
yuku				plant			planta					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ña				that			que					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
ña				the ones that			los que					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
ña				them			los					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
ñantu'u ti		is the "ña-" just part of the verb or is this added to the front to refer to the ones that were sitting?		that were sitting			que sentaban					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.

