Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
chikuii				water			agua					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
icha				grass			hierba					— Ña tsatsi kuu ntayo'o , ku'u tsi icha sara tsi'i kua'a xeen chikuii .	I eat what is harvested, weeds and grass and then I drink a lot of water.	Lo que como lo que es cochestado, las malas hierbas y hierba, y bebo mucha agua.
in				a			un					In kii in likui ñantu'i yu'u in yucha vari vitsi xeen tsinia .	One day a frog was sitting on the bank of a river because it was very cold.	Un día un sapo se sentaba en la orilla de un río porque hacía muy frío.
yu'u in yucha				the bank of a river			al orilla de un río					In kii in likui ñantu'i yu'u in yucha vari vitsi xeen tsinia .	One day a frog was sitting on the bank of a river because it was very cold.	Un día un sapo se sentaba en la orilla de un río porque hacía muy frío.
ntakani ini				thought			se pensó					Sara ntakani ini likui ka su'a :	Then the frog (thought/said to himself?) the following:	Y el sapo se pensó el siguente:
ntakani inia				thought			pensó					Cha ntakani inia :	And then he though to himself:	Y pensó:
inka tsio				other side	across		otro lado	a través de				Sara nakoi ntsikuntu'i inka tsio yu'u yucha ka .	Then he got back up and sat back down on the other side of the river bed.	Y se levantó y se sentó al otro lado del orilla del río.
ixchaan		variant of "xchaan"		morning			mañana					Ta kaa u'un ixchaan ntakoi ntsichia .	When it was five in the morning it got up and croaked.	Cuando eran las cinco en la mañana se levantó y croó.
				good			bueno					" Va'a ka , nako'on .	Good, let's go.	Bueno, vamos.
												— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
ka'nu		this is a predicating adjective (unless the "tuu" is a copular adverb)		big			grande					— ¿ A nchii ? kuu ña tsatsu ña ka'nu tuu ?	What is it that you eat that you are so big?	¿Qué cosa comes para ser así grande?
ka'nu tuu		is this 'you are so big'? are the "uu" inflected for 2pers?		so big								¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
kaa				it was			son					Ta kaa u'un ixchaan ntakoi ntsichia .	When it was five in the morning it got up and croaked.	Cuando eran las cinco en la mañana se levantó y croó.
kanti kuete				fireworks			fuegos artificiales					¡ nikanti titsia tono kanti kuete !	His stomach exploded like fireworks.	Su estómago explotó como fuegos artificiales.
katsa'in				eat			come					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
katso				we eat			comemos					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
kava				?			?					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
in kii				one day			un día					In kii in likui ñantu'i yu'u in yucha vari vitsi xeen tsinia .	One day a frog was sitting on the bank of a river because it was very cold.	Un día un sapo se sentaba en la orilla de un río porque hacía muy frío.
kini				bad			malo					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
kisi so nui		(check) "kisi so nuu" 'shivering? (check) "kisi so nuu" 'shivering?		shivering			temblando					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
kisi so		compare to 1st instance, why was ther "nui" therein? compare to 1st instance, why was ther "nui" therein?		shivering			temblora					vari tsa'a ña kunia kunchi'i ña kisi so likui ka ñantu'i yu'u yucha ka .	It sat down on the river bank to see the toad that was shivering.	Se sentó al orilla del río para ver el sapo que temblava.
nantanchiko ko				we return			volvamos					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
nakutsi ko				we will bury			vamos a enterrar					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
ko'on				I go			you me voy					" Vichi ra nasketa ko'on takua nantuva'a titso " .	Now I must run so that my stomach feels better.	Ahora debo correr para que el estómago senta mejor.
ntsio ku				you seem			sembras					¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
ku'in												Sara ta kusketi ku'in ra	Then	
ku'u				weeds			malas hierbas					— Ña tsatsi kuu ntayo'o , ku'u tsi icha sara tsi'i kua'a xeen chikuii .	I eat what is harvested, weeds and grass and then I drink a lot of water.	Lo que como lo que es cochestado, las malas hierbas y hierba, y bebo mucha agua.
kua'a xeen		this could be put in the dictionary as a related entry to "kua'a" or "xeen"		a lot			mucho					— Ña tsatsi kuu ntayo'o , ku'u tsi icha sara tsi'i kua'a xeen chikuii .	I eat what is harvested, weeds and grass and then I drink a lot of water.	Lo que como lo que es cochestado, las malas hierbas y hierba, y bebo mucha agua.
kua'a xeen				a lot			mucho					— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
kua'in				went			se fue					Sara ntsini so'o stiki ka ra sketi kua'in ra nika'in :	The bull heard so it ran over and said:	El toro oí entonces corrió y dijó:
kua'in				went			se fue					Sara nai likui ka kua'in kunkutsia ti titsi ñu'u .	Then it picked up the frog and went to bury it in the ground.	Y recogió el sapo y se fue a enterrarlo en la tierra.
kuacha xeen		copular adj phrase? this isn't inflected since the subject/actor is following explicitly. copular adj phrase? this isn't inflected since the subject/actor is following explicitly.		was very happy			estaba feliz					Sara kuacha xeen likui ntakuian sketi sketi .	Then the frog was very happy, got up and hopped off.	Y el sapo estaba muy feliz, se levantó y salió saltando.
kunchi'i		this is inflected for 3pers of lemma "kunche'e" (is "kunchee" a variant?) this is inflected for 3pers of lemma "kunche'e" (is "kunchee" a variant?)		watch			ver					vari tsa'a ña kunia kunchi'i ña kisi so likui ka ñantu'i yu'u yucha ka .	It sat down on the river bank to see the toad that was shivering.	Se sentó al orilla del río para ver el sapo que temblava.
kunia				wanted to			quisó	quería				vari tsa'a ña kunia kunchi'i ña kisi so likui ka ñantu'i yu'u yucha ka .	It sat down on the river bank to see the toad that was shivering.	Se sentó al orilla del río para ver el sapo que temblava.
kunia				wanted			quiso	quiería				— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
kunku'in				it will go			va a ir					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
kunku'un				you will go			irás	vas a ir				— ¿ A nchíí vi kunku'un ?	Where are you going?	Adonde vas?
kunku'un yu				I will go			me voy	iré				— Vasa ni kunku'un yu	I'm not going anywhere.	No me voy en alguna parte.
kunkutsia		Why is this in future!? "kun-"??? Why is this in future!? "kun-"???		will bury			va enterrar	enterrará				Sara nai likui ka kua'in kunkutsia ti titsi ñu'u .	Then it picked up the frog and went to bury it in the ground.	Y recogió el sapo y se fue a enterrarlo en la tierra.
kusketi												Sara ta kusketi ku'in ra	Then	
kutsa'in				smell			huele					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
kuu				is			es					— ¿ A nchii ? kuu ña tsatsu ña ka'nu tuu ?	What is it that you eat that you are so big?	¿Qué cosa comes para ser así grande?
kuu				that			era					Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
likui				frog			sapo					In kii in likui ñantu'i yu'u in yucha vari vitsi xeen tsinia .	One day a frog was sitting on the bank of a river because it was very cold.	Un día un sapo se sentaba en la orilla de un río porque hacía muy frío.
luu				small			chico					¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
mee				you			tú					Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
meeko				me			yo					— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
nikini na		Tisu says this should be "niki'ni"; check with other speakers. Tisu says this should be "niki'ni"; check with other speakers.		they shot			dispararon					— Meeko nikini na .	We've been shot.	Nos dispararon.
nai		could this also be "hold"? could this also be "hold"?		picked up			recogió					Sara nai likui ka kua'in kunkutsia ti titsi ñu'u .	Then it picked up the frog and went to bury it in the ground.	Y recogió el sapo y se fue a enterrarlo en la tierra.
nakachia												Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
nako'on				let's go			vamos					" Va'a ka , nako'on .	Good, let's go.	Bueno, vamos.
nakoi				got up			se levantó					Sara nakoi ntsikuntu'i inka tsio yu'u yucha ka .	Then he got back up and sat back down on the other side of the river bed.	Y se levantó y se sentó al otro lado del orilla del río.
nakutsi ko				we will bury			vamos a enterrar					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
nantanchiko ko				we return			volvamos					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
nantasaa				warm up			se caliente					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
nantoo				I will become			yo divenga					Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
nantuva'a		get some other instances of this verb used. get some other instances of this verb used.		feel better			sienta mejor					" Vichi ra nasketa ko'on takua nantuva'a titso " .	Now I must run so that my stomach feels better.	Ahora debo correr para que el estómago senta mejor.
nasketa				I must run			debo correr					" Vichi ra nasketa ko'on takua nantuva'a titso " .	Now I must run so that my stomach feels better.	Ahora debo correr para que el estómago senta mejor.
nchii				what			qué cosa					— ¿ A nchii ? kuu ña tsatsu ña ka'nu tuu ?	What is it that you eat that you are so big?	¿Qué cosa comes para ser así grande?
nchíí				where			adonde					— ¿ A nchíí vi kunku'un ?	Where are you going?	Adonde vas?
nika'an				said			dijó					Sara nika'an stiki ka saan :	Then the bull said the following:	Y el toro dijó el siguente:
nika'in				said			dijó					Sara ntsini so'o stiki ka ra sketi kua'in ra nika'in :	The bull heard so it ran over and said:	El toro oí entonces corrió y dijó:
nikachi				said			dijó					Sara nikachi stiki ka saan :	Then the bull said the following:	Y el toro dijó el siguente:
nikachi				said			dijó					Sara nikachi stiki ka saan :	Then the bull said the following:	Y el toro dijó el siguente:
nuu nikanchii				in the sun	sun		al sol	sol				Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
nikanti		Tisu is sure this item should be "nikan'ti"; check with other speakers. Tisu is sure this item should be "nikan'ti"; check with other speakers.		exploded			explotó					¡ nikanti titsia tono kanti kuete !	His stomach exploded like fireworks.	Su estómago explotó como fuegos artificiales.
nikanti				exploded			explotó					Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
nikini na		Tisu says this should be "niki'ni"; check with other speakers. Tisu says this should be "niki'ni"; check with other speakers.		they shot			dispararon					— Meeko nikini na .	We've been shot.	Nos dispararon.
nikitsaa				began			empezó					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
nikitsaa				began			empezó					Sara nikitsaa stiki ka tsakui vari ntsi'i likui ka .	Then the bull began to cry because the frog died.	Y el toro empezó a llorar porque el sapo murió
nikitsai				began			empezó					Sara ntsai yu'u yucha ka sara ntsikutanchii nuu yuu ka sara nikitsai tsi'a chikuii .	Then he came to the river bed and then leaned from a rock and started to drink water.	Y vinó al orilla del río y se inclinó de una piedra y empezó a beber agua.
nikui				it experienced			que le passaron					— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
nintakatu'un				asked			preguntó					Sara nintakatu'un likui ka :	Then the frog asked:	Pues el sapo preguntó:
niya'a				passed								¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
ntakani ini				thought			se pensó					Sara ntakani ini likui ka su'a :	Then the frog (thought/said to himself?) the following:	Y el sapo se pensó el siguente:
ntakani inia				thought			pensó					Cha ntakani inia :	And then he though to himself:	Y pensó:
ntakoi				it got up			se levantó					Ta kaa u'un ixchaan ntakoi ntsichia .	When it was five in the morning it got up and croaked.	Cuando eran las cinco en la mañana se levantó y croó.
ntakuian				got up			se levantó					Sara kuacha xeen likui ntakuian sketi sketi .	Then the frog was very happy, got up and hopped off.	Y el sapo estaba muy feliz, se levantó y salió saltando.
ntakuian				got up			se levantó					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
ntakunchi'i		"nta-" is inchoative. Is this verb specifically used for opening eyes? (Ask speakers) "nta-" is inchoative. Is this verb specifically used for opening eyes? (Ask speakers)		opened his eyes			abrió sus ojos					Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
ntayo'o				harvest			cosecha					— Ña tsatsi kuu ntayo'o , ku'u tsi icha sara tsi'i kua'a xeen chikuii .	I eat what is harvested, weeds and grass and then I drink a lot of water.	Lo que como lo que es cochestado, las malas hierbas y hierba, y bebo mucha agua.
nto'o				happened			passó					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
ntsaa				arrived			llegó					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
ntsai				arrived			vinó					Sara ntsai yu'u yucha ka sara ntsikutanchii nuu yuu ka sara nikitsai tsi'a chikuii .	Then he came to the river bed and then leaned from a rock and started to drink water.	Y vinó al orilla del río y se inclinó de una piedra y empezó a beber agua.
ntsi'i				died			murió					Sara nikitsaa stiki ka tsakui vari ntsi'i likui ka .	Then the bull began to cry because the frog died.	Y el toro empezó a llorar porque el sapo murió
ntsichia		is this verb specific to a frog? Get other forms is this verb specific to a frog? Get other forms		croaked			croó					Ta kaa u'un ixchaan ntakoi ntsichia .	When it was five in the morning it got up and croaked.	Cuando eran las cinco en la mañana se levantó y croó.
ntsikuntu'i				was sitting down			se sentaba					Sara nakoi ntsikuntu'i inka tsio yu'u yucha ka .	Then he got back up and sat back down on the other side of the river bed.	Y se levantó y se sentó al otro lado del orilla del río.
ntsikutanchii		is this "ntsi-" + "kutanchii"? (get other forms) is this "ntsi-" + "kutanchii"? (get other forms)		was leaning			se inclinaba					Sara ntsai yu'u yucha ka sara ntsikutanchii nuu yuu ka sara nikitsai tsi'a chikuii .	Then he came to the river bed and then leaned from a rock and started to drink water.	Y vinó al orilla del río y se inclinó de una piedra y empezó a beber agua.
ntsini so'o				heard			oí					Sara ntsini so'o stiki ka ra sketi kua'in ra nika'in :	The bull heard so it ran over and said:	El toro oí entonces corrió y dijó:
ntsinia				it saw			vió					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
ntsinia				saw			vió					Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
ntsio ku				you seem			sembras					¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
ntsitu		is this the same verb as "finished"? get other used of this item is this the same verb as "finished"? get other used of this item		full			lleno					Ntsinia ña tsa ntsitu titsia .	He drank so much that his stomach was filled with water.	Bibió tanto que su estómago estaba lleno de agua.
ntuka'nui		"ntu-" (inchoative) + "ka'nu" + "-i" "ntu-" (inchoative) + "ka'nu" + "-i"	would to make something bigger be: "sa-ntu-ka'nu"? would to make something bigger be: "sa-ntu-ka'nu"?	get big			devenir grande					— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
kisi so nui		(check) "kisi so nuu" 'shivering? (check) "kisi so nuu" 'shivering?		shivering			temblando					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
nuu				where			dónde					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
nuu nikanchii				in the sun			al sol					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
				from a rock			de una piedra					Sara ntsai yu'u yucha ka sara ntsikutanchii nuu yuu ka sara nikitsai tsi'a chikuii .	Then he came to the river bed and then leaned from a rock and started to drink water.	Y vinó al orilla del río y se inclinó de una piedra y empezó a beber agua.
ra												Sara ta kusketi ku'in ra	Then	
saan				the following			el siguente					Sara nikachi stiki ka saan :	Then the bull said the following:	Y el toro dijó el siguente:
sati				it's back			su espalda					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
sketi				jumped			saltó					Sara kuacha xeen likui ntakuian sketi sketi .	Then the frog was very happy, got up and hopped off.	Y el sapo estaba muy feliz, se levantó y salió saltando.
sketi				jumped			saltó					Sara kuacha xeen likui ntakuian sketi sketi .	Then the frog was very happy, got up and hopped off.	Y el sapo estaba muy feliz, se levantó y salió saltando.
sketi				ran			corrió					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
sketi				ran			corrió					Sara ntsini so'o stiki ka ra sketi kua'in ra nika'in :	The bull heard so it ran over and said:	El toro oí entonces corrió y dijó:
sketi sketi		Not sure how this should be treated lexicographically, it's likely not an expression that is relevant outside of spontaneous usage..(Ask speakers if "sketa sketa" means 'hop' specifically as applied to rabbits and frogs.) Not sure how this should be treated lexicographically, it's likely not an expression that is relevant outside of spontaneous usage..(Ask speakers if "sketa sketa" means 'hop' specifically as applied to rabbits and frogs.)		it hopped off			salió saltando					Sara sketi sketi .	Then he hopped off.	Y se salió saltando.
sketi sketi		Not sure how this should be treated lexicographically, it's likely not an expression that is relevant outside of spontaneous usage..(Ask speakers if "sketa sketa" means 'hop' specifically as applied to rabbits and frogs.) Not sure how this should be treated lexicographically, it's likely not an expression that is relevant outside of spontaneous usage..(Ask speakers if "sketa sketa" means 'hop' specifically as applied to rabbits and frogs.)		it hopped off			salió saltando					Sara sketi sketi .	Then he hopped off.	Y se salió saltando.
kisi so nui		(check) "kisi so nuu" 'shivering? (check) "kisi so nuu" 'shivering?		shivering			temblando					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
kisi so		compare to 1st instance, why was ther "nui" therein? compare to 1st instance, why was ther "nui" therein?		shivering	frog		temblora	sapo				vari tsa'a ña kunia kunchi'i ña kisi so likui ka ñantu'i yu'u yucha ka .	It sat down on the river bank to see the toad that was shivering.	Se sentó al orilla del río para ver el sapo que temblava.
ntsini so'o				heard			oí					Sara ntsini so'o stiki ka ra sketi kua'in ra nika'in :	The bull heard so it ran over and said:	El toro oí entonces corrió y dijó:
stiki				lake			lago					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
stiki				bull			toro					Sara nikachi stiki ka saan :	Then the bull said the following:	Y el toro dijó el siguente:
su'a				the following			el siguente					Sara ntakani ini likui ka su'a :	Then the frog (thought/said to himself?) the following:	Y el sapo se pensó el siguente:
ta				when			al momento que	when				Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
takua				in order to			para					Sara ntsinia nuu ñantu'u likui ka kisi so nui ñantu'i , vari vitsi xeen chikuii ka ra ñantu'i nuu nikanchii takua nantasaa sati .	Then it saw where the frog was sitting where it was shivering where it was laying, it was very cold because the water was very cold, it was sitting in the sun in order to warm up it's back.	Y vió donde se sentaba y temblaba el sapo porque era muy frío porque el agua era muy frío, se sentaba en el sol para calentarse su espalda.
takua				so that			para que					Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
tatu				if			si					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
ti				it (animal)			lo (animal)					Sara nai likui ka kua'in kunkutsia ti titsi ñu'u .	Then it picked up the frog and went to bury it in the ground.	Y recogió el sapo y se fue a enterrarlo en la tierra.
titsi				it's stomach			su estómago					Cha ta ntakunchi'i ra ntsinia ña likui ka kuu ña nikanti titsi .	And when he opened his eyes he saw that the frog's stomach had exploded.	Y cuando abrió sus ojos, vió que el estómago del sapo explotó.
titsi				in	stomach	in the ground	en	estomago	en la tierra			Sara nai likui ka kua'in kunkutsia ti titsi ñu'u .	Then it picked up the frog and went to bury it in the ground.	Y recogió el sapo y se fue a enterrarlo en la tierra.
titsia		this is interesting because it itflected for 3sg with "-a" this is interesting because it itflected for 3sg with "-a"		his stomach			su estómago					Ntsinia ña tsa ntsitu titsia .	He drank so much that his stomach was filled with water.	Bibió tanto que su estómago estaba lleno de agua.
titsia				it's stomach			su estómago					Sara nikitsaa kini nto'o titsia sara ntakuian sketi .	Then something bad began to happen to his stomach, he then got up and ran.	Y algo malo empezó a passar en su estómago y se levantó corriendo.
titsia				his stomach			su estómago					¡ nikanti titsia tono kanti kuete !	His stomach exploded like fireworks.	Su estómago explotó como fuegos artificiales.
titso				my stomach			mi estómago					" Vichi ra nasketa ko'on takua nantuva'a titso " .	Now I must run so that my stomach feels better.	Ahora debo correr para que el estómago senta mejor.
tono				like			como					Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
