Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
chuún kuachi luu	little chicken	chick		pollito					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
in stiki luu	a small bull			un toro pequeño					Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
	bull calf			becerro	ternero	torocito			— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
ma	not			no					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
mitu'un	all of a sudden			de repente					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
nachikaa yu	I will put	I would put		pondía	pondré				Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
nakua'nu 	it will grow			crecería	crecerá				Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nakukuu ti	it will become			se volvería	se volverá				Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nantakuaan	I would buy			yo compra	yo compraría				Ta nine'e xu'un nantakuaan ntivi .	When I get money, I will buy eggs.	Cuando yo consiga dinero, compraré huevos.
nantakuaan	I will buy			compraría	compraré				Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
nantakuaan	I will buy	I would buy		compraría	yo compre	compraré			Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
naskatsa'an	I will feed			yo daría a comer	ye de a comer				Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nata'vi	they will be born			nazcan	nacerían				Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
naxiko	I will sell			vendería	venderé				Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
Ta nia	when it's old			quando está viejo					Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
nii	old			viejo					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nii ti	it is old			está viejo					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
nikachia	she said			dijó					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
nikana kava	fell down			se cayó					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
nikanta ña	she jumped			salteo					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
nikitsaa	began			empezó					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
nine'e	I got	I recieved		conseguí					Ta nine'e xu'un nantakuaan ntivi .	When I get money, I will buy eggs.	Cuando yo consiga dinero, compraré huevos.
nine'e	obtained			consegí					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
nta'vi	hatch			nazca					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
ntakaninia	worried			se preocupó					Ka'an ña'á ka ntakaninia kua'in ichi .	The woman was thinking and worrying while walking on the road.	La mujer estababa pensando y se preocupava mientre caminaba por el camino.
ntakaninia	worried			se preocupó					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
nti'i	all			todo					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
ntivi	egg			huevo					Ta nine'e xu'un nantakuaan ntivi .	When I get money, I will buy eggs.	Cuando yo consiga dinero, compraré huevos.
ntivi	egg			huevo					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
ntsicha	spilled out			derramó					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
ntsicha	spilled			derramó					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
ntsixikui	she used to sell			vendía					Ntsio in ña'á ntsixikui xikui .	There lived a woman who was a milk vendor.	Había una mujer que vendía leche.
nuu	to	she went to the market		a	fue al mercado				In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sara	then			y					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
sara	then			y					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
sara	and then			y entonces					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
sara	then			y					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
in stiki luu	a small bull			un toro pequeño					Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
ta	when			cuando					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
ti	it			le					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nakukuu ti	it will become			se volvería	se volverá				Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
nii ti	it is old			está viejo					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
ti	it			lo					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
titsi	bariga	estómago	The chicken's stomach.	bariga	La bariga del pollo.				Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
tuku	again			de nuevo					Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
tuku	again			de nuevo					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
vari	because			por causa de	debido a				— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
kuu kuaka xeen inia	she began to tear up			empezó a llorar					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
xikui	milk			leche					Ntsio in ña'á ntsixikui xikui .	There lived a woman who was a milk vendor.	Había una mujer que vendía leche.
xikui	she sells			vende					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
xikui	milk			leche					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
xikui	milk			leche					— Nako'on , xíko ko xikui .	Let's go, we're selling milk.	Vamos, vendemos leche.
xikui	milk	her milk jug		leche	su olla de leche				Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
xikui	milk			leche					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
xikui	milk			leche					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
xu'un	money			dinero					Ta nine'e xu'un nantakuaan ntivi .	When I get money, I will buy eggs.	Cuando yo consiga dinero, compraré huevos.
xu'un	money			dinero					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
xu'un	money			dinero					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
xíko ko	we are selling			vendemos					— Nako'on , xíko ko xikui .	Let's go, we're selling milk.	Vamos, vendemos leche.
ya'vi	market	she went to the market		mercado	fue al mercado				In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
yoo	jug	pot	her milk jug	olla	su olla de leche				Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
nachikaa yu	I will put	I would put		pondía	pondré				Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
ñáká	that woman			alquella mujer					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
ña	them			los					Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
nikanta ña	she jumped			salteo					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
yoo xikui ña	her milk jug			su olla de leche					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
ña'á	woman			mujer					Ntsio in ña'á ntsixikui xikui .	There lived a woman who was a milk vendor.	Había una mujer que vendía leche.
ña'á	woman			mujer					Ka'an ña'á ka ntakaninia kua'in ichi .	The woman was thinking and worrying while walking on the road.	La mujer estababa pensando y se preocupava mientre caminaba por el camino.

