Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
ñuu nkuiin				(the town of (?))			(pueblo de (?))					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
vatsia ñuu nkuiin		what city is this?		came to (?)	came from (?)		vinó a (?)	vinó de (?)				Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
ntisnuu				Tlaxiaco			Tlaxiaco					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
veñu'u ntisnuu				church of Tlaxiaco			iglesia de Tlaxiaco					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
veñu'u ntisnuu				Tlaxiaco's church			iglesia de Tlaxiaco					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
kue chaa ntisnuu				the men of Tlaxiaco			los hombres de Tlaxicao					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
veñu'u ntisnuu				church of Tlaxiaco			iglesia de Tlaxiaco					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
ta ntsinui		there are many instances of "ta ntsinu", why is it "ta ntsinui" here? Would it be wrong to use "ta ntsinu"?		when it's done			cuando está terminada					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
tatu				if			se					Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
		(city name?)		(city name?)								— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
nuu kuu toto utsa		what is this place name? Parts?	get this place  name!!	at (placeName)			a donde era (placeName)					Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
vaii		interjection		oh no!			¡ay no!					— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
vatsia				came			llegó					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
vichi				now			ahora					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
vichi				now			hoy en día					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
vatsi chi xini yuku				arrived at Head Mountain	Head Mountain		llegó a la Montaña de Cabeza	Montaña de Cabeza				Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
xnuviko				Mixtepec			Mixtepec					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
xnuviko				San Juan Mixtepec			San Juan Mixtepec					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
ñuu xnuviko				the town of San Juan Mixtepec			la cuidad de San Juan Mixtepec					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
veñu'u xnuviko				the church of Mixtepec			la iglesia de Mixtepec					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
veñu'u xnuviko				the church of Mixtepec			la iglesia de Mixtepec					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
veñu'u xnuviko				church of Mixtepec			iglesia de Mixtepec					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
yo'o				here			aquí					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
		(city name?)		(city name?)								— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
vatsi chi xini yuku				arrived at Head Mountain	Head Mountain		llegó a la Montaña de Cabeza	Montaña de Cabeza				Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
cha				and then			y					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
cha				then			pues					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
cha				and then			y pues					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
kue chaa ntisnuu				the men of Tlaxiaco			los hombres de Tlaxicao					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
kue chaa				the men			los hombres					nikachi kue chaa Ntisnuu .	said the men from Tlaxiaco.	dijeron los hombres de Tlaxiaco.
kue chaa				the men			los hombres					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
chaa				man			hombre					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
kue chaa				the men			los hombres					Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
che'e				beautiful			bonita					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
che'e		"che'e" pretty?		pretty								— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
chi		what is "chi" doing here?!										— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
chi		what is "chi" doing here!??			to (the town of (?))			al (pueblo de (?)				Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
chi		seems like "chi" is used synonymously as "nuu" and "mancha", others...?		at	arrived at Head Mountain		a	llegó a la Montaña de Cabeza				Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
chincheu yu				help ma			ayudame					Cha vichi ra chincheu yu , nantasava'a ña .	And now you help me make it.	Y ahora ayudame construirla.
ian				one of them			una de las					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
toko ian		is this translation right? is "ian" inflected 'one' "in"?		another one			una otra					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
in				one	a		una					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
in				a			un					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
inuu		look the same (both churches to look the same)	get some other contexts of this phrase if possible	the same	will be identical		idéntico	va a parecer idéntico				Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
ka		why is "ka" following the verb?!										Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
kaa												Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kana		is this righ?		sing								— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
in kii				one day			un día					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
na satutu ko				let's collect			coleccionamos					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
nasatutu ko				let's collect			coleccionamos					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
tu'un ko				our story			nuestro cuento					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
koo				did not exist			no existía					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
koo				be								— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
ntaku ku				you buy			compras					Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
ku'un kueyu				you all go			ustedes vayan					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
ku'un		is this really the infinitive?		go			ir					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
ku'un				go			vayan					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
kua				around			cerca					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
yee kua'a xeen ncheu				you're too strong	a lot	too much	eres demasiado fuerte	mucho	demasiado			— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
kuain nchau		what is just "kick"?		you kick down			pateas abajo					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
kue ntiyata		add 'elders' as entry by itself		the elders			los ancianos					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
kue nivi		check		the people	the people were old and small		la gente	la gente eran ancianos y pequeños				Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
kue nivi				the people			la gente					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
kue chaa ntisnuu				the men of Tlaxiaco			los hombres de Tlaxicao					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
kue chaa				the men			los hombres					nikachi kue chaa Ntisnuu .	said the men from Tlaxiaco.	dijeron los hombres de Tlaxiaco.
kue chaa				the men			los hombres					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
kue		"the" pl?										Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
kue chaa				the men			los hombres					Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
kue yuu				the rocks			las piedra					Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
va'a kue tuku		what is this whole phrase?										Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
kue yuu				the rocks			las piedras					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
kue				the			los					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
kuena				everyone			todos					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kuena ntsintee				they lived			vivieron					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
ntsikuu kuena				they were			eran					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
nuu kuena				to them			a ellos					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
