Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				then			y					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
ta				when	then		cuando	y entonces	el momento que			Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
tatu				if			si					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
tixitu				?			?					Savi ntachi Yuku Xitu , savi ntachi Tixitu .	Half of it fell in (placeName?), half fell in (placeName?)	
tixitu												Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
yuku xitu		If this is "yuku" as in forest, it should be spelled "yukú"		?			?					Savi ntachi Yuku Xitu , savi ntachi Tixitu .	Half of it fell in (placeName?), half fell in (placeName?)	
												Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
xnuviko				San Juan Mixtepec			San Juan Mixtepec					Ika kuu nuu naa tu'un tuyuku ka'nu ntsikaa ñuu Xnuviko .	That is where the story of the the great big sabine tree of San Juan Mixtepec ends.	Aquel es dónde termine el cuento del sabino grande de San Juan Mixtepec.
												Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
cha				then			entonces					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
cha				and so			y entonces					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
ña cha				it's leaves			sus hojas					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
cha'ncha				chop			corta					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
cha'ncha				chopping			cortado					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
chain				blocks their view	is in the way		bloquea	obstruye				Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
chikuii				water			agua					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
in				a			un					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
in kii				one day			un día					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
				one day			un día					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
inka				another			otro					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
ka		why "ka" here after a verb!!!???		?			?					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
ta tsa na'a ka xoo				a long time ago			hace mucho tiempo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
ka'ncha na				they cut			cortan					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
ka'nu				big			grande					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ña ka'nu		superlative		the biggest	the biggest of all the trees		el mejor	el mejor de todos los árboles				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
				they said			dijeron					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
kai tani kai ni		'went back to work'? 'went back to work'?		went back to			continue to					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
kai tani kai ni		'went back to work'? 'went back to work'?		went back to			continue to					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
in kii				one day			un día					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
				one day			un día					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
kii				day			día					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
kiti				animal			animal					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
				comes			viene					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
kua'a				many			mucha					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
kua'a				came			vinó					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
kua'an ti				it (animal) left			se (animal) fue					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ña ka'nu nuu nti'i kue yutu				the biggest of all the trees	the trees		el mejor de todos los árboles	los árboles				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
kue				the			la					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
kue				the			los					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
nikitsaa kuena				they began			empezaron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ntatu'un kuena				they talked to eachother			discutieron					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
kuena				they			ellos					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
kukuu				become	will be		diviene					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
kuntu'u ti				it (animal) landed			él (animal) aterrizó					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
kuntu'u ti				it (animal) lands			él (animal) aterriza					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
kuntu'u ti				it (animal) sat down			él (animal) se sentó					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
kuu				be able to			poder					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
kuu				was			era					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
laguna				pond			laguna					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
ma				will not			no van					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
ma'i				middle			medio					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
nikini na				they shot			tiraron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
siu'u na				they scared			asustaron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ntatsi na				they chased			perseguiron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nitsa'a na				they allowed	they permitted		permitieron					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
na				their			su					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
				the people			la gente					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
ka'ncha na				they cut			cortan					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
nikatsa'ncha na				they chopped down			cortaron					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
nikitsaa na				they began			empezaron					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
ntsa'ncha na				they chopped			cortaron					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
nikuni na				they wanted			quisieron	querían				Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
				comes			viene					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
sa'a na				they make			hacen					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
ta'an na				their kinsmen			sus compañeros					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
nikunchee na				they helped			ayudaron					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
ntsa'ncha na				they cut			cortaron					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
				they said			dijeron					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
tsini na				they know			saben					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
na'a												Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
ta tsa na'a ka xoo				a long time ago			hace mucho tiempo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
naa		is this the "end" of the story or the "end/destruction" of the tree?		ends			acaba					Ika kuu nuu naa tu'un tuyuku ka'nu ntsikaa ñuu Xnuviko .	That is where the story of the the great big sabine tree of San Juan Mixtepec ends.	Aquel es dónde termine el cuento del sabino grande de San Juan Mixtepec.
nchinchee		this is an actual example of an uniflected verb. Check on whether it is actually the lemma!		help			ayudar					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
ntacha ni				fall			caier					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
kai tani kai ni		'went back to work'? 'went back to work'?		went back to			continue to					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
vatu ni		"vatu ni" is this together? Get other uses of this and certain other forms.		able to			poder					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
nicha'ncha ña		this is for sure completive! now make note when you see it without "ni" elsewhere. this is for sure completive! now make note when you see it without "ni" elsewhere.		they chopped			cortaron					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
nikatsa'ncha na				they chopped down			cortaron					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
nikini na				they shot			tiraron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nikitsaa kuena				they began			empezaron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nikitsaa na				they began			empezaron					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
nikui				it was			era					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
nikunchee na				they helped			ayudaron					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
nikuni ti				it (animal) wanted			él (animal) quiso	él (animal) quería				Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
nikuni na				they wanted			quisieron	querían				Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
nitsa'a				allowed			permitió					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nitsa'a na				they allowed	they permitted		permitieron					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
nivi				people			gente					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nta'a				branch			rama					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
ntacha ni				fall			caier					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
ntacha				fell			cayó					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
ntachi				fell			cayó					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
ntachi				fell			cayó					Savi ntachi Yuku Xitu , savi ntachi Tixitu .	Half of it fell in (placeName?), half fell in (placeName?)	
ntatsi na				they chased			perseguiron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ntatu'un kuena				they talked to eachother			discutieron					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
ña ka'nu nuu nti'i kue yutu				the biggest of all the trees	all		el mejor de todos los árboles	todos				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ntsa'ncha na				they chopped			cortaron					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
ntsa'ncha na				they cut			cortaron					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
ntsikaa				use to stand			estaba					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ntsikaa				stood			estuvo					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
