Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
	into a ditch			en una zanja					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	embers			brasas					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
kaa	is			es					Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
kava	rocky area			área rocosa					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	once upon a time there was	one day there lived		érase una vez					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
	he/she/it sews vigorously	he/she/it is sewing vigorously		cose enérgeticamente					Kiku xeen kiku nchu'i ñantu'i yukú ka .	He was sitting in the woods, threading and sewing vigorously.	Estaba en el bosque enhebrando y cosendo enérgeticamente.	
	you sew you sew	you're sewing you're sewing		coses coses	estás cosendo estás cosendo				Kue va'a kiku ku .	You're not sewing well.	No estás cosendo bien.	
	he sewed he sewed			cosó cosó					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
	he sews he sews			cose cose					Ntantuki yu'a sara nikitsai kikui .	He found thread then began to sew.	Encontró el hilo y empezó a coser.	
kikui	he sewed			cosó					Cha nikitsaa tsoko ka kikui tiku nani nchu'a .	And so the possum began to sew and thread for a long time.	Y pues la zarigüeya empezó coser y enhebrar para un lungo tiempo.	
	ugly			feo					Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	shivering			temblando					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
koo	without			sin					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
koo	no	none		ninguna					Kiku kueyi vari yakui ka ra koo sa'mi .			
	you sew you sew	you're sewing you're sewing		coses coses	estás cosendo estás cosendo				Kue va'a kiku ku .	You're not sewing well.	No estás cosendo bien.	
	I won't go	I will not go		no me voy	no voy a ir				Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	went home			se fue a casa					Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
	they left they left			se fueron se fueron					Niki'in kueyi ichi kua'in .	They hit the road and went.	Dieron el camino y se fueron.	
	hapily			felizmente					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
	he was happy he was happy			estaba feliz estaba feliz					Sara ntuvii sa'mi sara kuachi .	Then his clothes were clean and he was happy.	Y pues sus ropas estaban limpias y estaba feliz.	
	they sewed they sewed			coseron coseron					Kiku kueyi vari yakui ka ra koo sa'mi .			
	they hit the road			dieron el camino					Niki'in kueyi ichi kua'in .	They hit the road and went.	Dieron el camino y se fueron.	
	they started they started			empezaron empezaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	they danced they danced			bailaron bailaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	they drank they drank			bibieron bibieron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
kui	it is			es					Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
	warm up warm up			se calienta se calienta					Sara ntasta'in ñu'i takua kutunia .	Then he started his fire to warm up.	Y encendió un fuego para calentarse.	
	storm			tormenta					Nikitsaa kuun ta savi .	It began to storm.	Empezó una tormenta.	
	compadre			compadre					¿ Nchi sa'u , mpaa luu ?	What are you doing little compadre?	¿Qué estas haciendo compadrito?	
ma	not			no					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
mancha	until			hasta					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
mii	he			él					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
mitu'un	by himself	alone		por se mismo	a solo				Vatsi ntitsi mitu'un yakui ka .	The armadillo quickly went home by himself.	El armadillo vino rapidamente a casa por se mismo.	
	compadre			compadre					¿ Nchi sa'u , mpaa luu ?	What are you doing little compadre?	¿Qué estas haciendo compadrito?	
na'a	look			verse					Kini xeen na'a sa'ma sa'u .	The clothes you're making are looking bad.	Las ropas qué estás haciendo se veen muy malo.	
nachinchee	so that I can help			para qué yo ayude					Kua'a sa'mu , nakiku nachinchee yo .	Give me the clothes, I can help you sew.	Dame la ropa, puedo ayudarte coser.	
	so that I can sew so that I can sew			para qué yo cosa para qué yo cosa					Kua'a sa'mu , nakiku nachinchee yo .	Give me the clothes, I can help you sew.	Dame la ropa, puedo ayudarte coser.	
	let's go let's go			vamos vamos					Natsinu sa'mu ra nako'on viko .	When the clothes are done, let's go to a party.	Una vez qué las ropas son terminadas, vamos a la fiesta.	
	let's go let's go			vamos vamos					- Kue sa'a ni , nako'on	No problem, let's go.	No hay problema, vamos.	
	a long time			much tiempo					Cha nikitsaa tsoko ka kikui tiku nani nchu'a .	And so the possum began to sew and thread for a long time.	Y pues la zarigüeya empezó coser y enhebrar para un lungo tiempo.	
	he/she/it helped he/she/it helped			ayudó ayudó					Sara nchinchee tsoko ka yakui ka .	Then the possum helped the armadillo.	Pues la zarigüeya ayudó el armadillo.	
	a long time			much tiempo					Cha nikitsaa tsoko ka kikui tiku nani nchu'a .	And so the possum began to sew and thread for a long time.	Y pues la zarigüeya empezó coser y enhebrar para un lungo tiempo.	
	he/she/it sews vigorously he/she/it sews vigorously	he/she/it is sewing vigorously he/she/it is sewing vigorously	sitting sitting	cose enérgeticamente cose enérgeticamente	sentado sentado	sitting			Kiku xeen kiku nchu'i ñantu'i yukú ka .	He was sitting in the woods, threading and sewing vigorously.	Estaba en el bosque enhebrando y cosendo enérgeticamente.	
	no problem			no hay problema					- Kue sa'a ni , nako'on	No problem, let's go.	No hay problema, vamos.	
	said said			dijó dijó					Nikitsaa in tsoko sara nikachia saan :	A possum arrived then he said this:	Llegó una zarigüeya y dijó así:	
	he rolled he rolled			rodó rodó	rodía rodía				Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	he fell down he fell down			caió caió	caía caía				Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	got on got on			se pegó se pegó					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
nikitsaa	he began			empezó					Cha nikitsaa tsoko ka kikui tiku nani nchu'a .	And so the possum began to sew and thread for a long time.	Y pues la zarigüeya empezó coser y enhebrar para un lungo tiempo.	
	they started they started			empezaron empezaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	he began he began			empezó empezó					Ntantuki yu'a sara nikitsai kikui .	He found thread then began to sew.	Encontró el hilo y empezó a coser.	
	wanted wanted			quería quería					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
	got very dirty			se ensuciaron					Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
nixi	how			cómo					Sara ntakaninia nixi sava'i sa'mi .	Then he was thinking about how to make clothes.	Pues él pensaba en cómo hacerse ropas.	
	he slipped			resbaló					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	I wash I wash			que yo lava que yo lava					Nchaa ntakacha ña	Not until I wash them.	No hasta las lava.	
	he was thinking about he was thinking about	he was worrying about he was worrying about		pensaba de pensaba de	se preocupaba de se preocupaba de				Sara ntakaninia nixi sava'i sa'mi .	Then he was thinking about how to make clothes.	Pues él pensaba en cómo hacerse ropas.	
	he got back up	get up		se levantó de nuevo	levantarse				Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
	he returns he returns			vuelve vuelve					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
	he started a fire			encendió un fuego					Sara ntasta'in ñu'i takua kutunia .	Then he started his fire to warm up.	Y encendió un fuego para calentarse.	
ntitsi	quickly			rapidamente					Vatsi ntitsi mitu'un yakui ka .	The armadillo quickly went home by himself.	El armadillo vino rapidamente a casa por se mismo.	
ntivixi	always cold			siempre frío					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
ntiñu'u	grey	ash grey color		gris					Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
	arrived arrived			llegaron llegaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	they drank they drank			bibieron bibieron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	got drunk got drunk			se emboracharon se emboracharon					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	were finished were finished			estaban acabadas estaban acabadas					Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
ntuvii	clean			limpo					Sara ntuvii sa'mi sara kuachi .	Then his clothes were clean and he was happy.	Y pues sus ropas estaban limpias y estaba feliz.	
	went home			se fue a casa					Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
	no problem			no hay problema					- Kue sa'a ni , nako'on	No problem, let's go.	No hay problema, vamos.	
sa'ma	clothes			ropas					- Kiku sa'ma -	I'm sewing clothes.	Estoy cosendo ropas.	
sa'ma	clothes			las ropas					Kini xeen na'a sa'ma sa'u .	The clothes you're making are looking bad.	Las ropas qué estás haciendo se veen muy malo.	
sa'ma	clothes			ropas					Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	it's clothes it's clothes			su ropas su ropas					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
sa'mi	his clothes			sus ropas					Sara ntakaninia nixi sava'i sa'mi .	Then he was thinking about how to make clothes.	Pues él pensaba en cómo hacerse ropas.	
	(his) clothes (his) clothes			(sus) ropas (sus) ropas					Kiku kueyi vari yakui ka ra koo sa'mi .			
	his clothes his clothes			sus ropas sus ropas					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
	his clothes his clothes			sus ropas sus ropas					Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
	his clothes his clothes			sus ropas sus ropas					Sara ntuvii sa'mi sara kuachi .	Then his clothes were clean and he was happy.	Y pues sus ropas estaban limpias y estaba feliz.	
	his clothes his clothes			sus ropas sus ropas					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
	your clothes your clothes			tus ropas tus ropas					Kua'a sa'mu , nakiku nachinchee yo .	Give me the clothes, I can help you sew.	Dame la ropa, puedo ayudarte coser.	
	your clothes your clothes			tus ropas tus ropas					Natsinu sa'mu ra nako'on viko .	When the clothes are done, let's go to a party.	Una vez qué las ropas son terminadas, vamos a la fiesta.	
	what are you doing? what are you doing?	you do you do		¿qué estas haciendo? ¿qué estas haciendo?	¿qué haces? ¿qué haces?	haces			¿ Nchi sa'u , mpaa luu ?	What are you doing little compadre?	¿Qué estas haciendo compadrito?	
	you are making you are making			estás haciendo estás haciendo					Kini xeen na'a sa'ma sa'u .	The clothes you're making are looking bad.	Las ropas qué estás haciendo se veen muy malo.	
saan	the following			así					Nikitsaa in tsoko sara nikachia saan :	A possum arrived then he said this:	Llegó una zarigüeya y dijó así:	
sara	then			pues					Ntantuki yu'a sara nikitsai kikui .	He found thread then began to sew.	Encontró el hilo y empezó a coser.	
sara	and then			y					Sara ntuvii sa'mi sara kuachi .	Then his clothes were clean and he was happy.	Y pues sus ropas estaban limpias y estaba feliz.	
	he makes he makes			hace hace					Sara ntakaninia nixi sava'i sa'mi .	Then he was thinking about how to make clothes.	Pues él pensaba en cómo hacerse ropas.	
	shivering			temblando					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
	storm			tormenta					Nikitsaa kuun ta savi .	It began to storm.	Empezó una tormenta.	
takua	in order to	so that		para					Sara ntasta'in ñu'i takua kutunia .	Then he started his fire to warm up.	Y encendió un fuego para calentarse.	
	hapily			felizmente					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
	he slipped			resbaló					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	they danced they danced			bailaron bailaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
tsi	with			con					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
	he walked and walked			caminó y caminó					Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
	he walked and walked			caminó y caminó					Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
	embers			brasas					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
tsoko	possum	opossum		zarigüeya					Nikitsaa in tsoko sara nikachia saan :	A possum arrived then he said this:	Llegó una zarigüeya y dijó así:	
tsoko	possum			zarigüeya					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
	he got back up he got back up	again again		se levantó de nuevo se levantó de nuevo	de nuevo de nuevo				Sara ntakoo tuki tsiki tsiki kua'an nui .	And then he got back up again and walked and walked and went home.	Pues se levantó de nuevo, caminó y caminó y se fue a casa.	
va'a	good			bien					Kue va'a kiku ku .	You're not sewing well.	No estás cosendo bien.	
vari	because			porqué					Kiku kueyi vari yakui ka ra koo sa'mi .			
vari	because			porqué					Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	his house his house			su casa su casa					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
	today			hoy en día					Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
viko	party			fiesta					Natsinu sa'mu ra nako'on viko .	When the clothes are done, let's go to a party.	Una vez qué las ropas son terminadas, vamos a la fiesta.	
viko	party			fiesta					Nako'on viko .	Let's go to a party.	Vamos a la fiesta.	
viko	the party			la fiesta					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
vitsi	cold			frío					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
	he/she/it threads	he/she/it is threading		enhebra	está enhebrando				Kiku xeen kiku nchu'i ñantu'i yukú ka .	He was sitting in the woods, threading and sewing vigorously.	Estaba en el bosque enhebrando y cosendo enérgeticamente.	
	very bad			muy malo					Kini xeen na'a sa'ma sa'u .	The clothes you're making are looking bad.	Las ropas qué estás haciendo se veen muy malo.	
	got very dirty			se ensuciaron					Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
	ugly			feo					Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	they danced they danced			bailaron bailaron					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
yaa	ash			ceniza					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
	dirty	got very dirty		sucio	se ensuciaron				Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
yakui	armadillo			armadillo					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
yakui	armadillo			armadillo					Sara ma nikuni ka tsoko ka ntanchikui tsi yakui ka .	And then the possum didn't want to retun with the armadillo.	Pues la zarigüeya no quería volver a case con el armadillo.	
yakui	armadillo			armadillo					Vatsi ntitsi mitu'un yakui ka .	The armadillo quickly went home by himself.	El armadillo vino rapidamente a casa por se mismo.	
	has	today		tiene	hoy en día				Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
	lived lived			vive vive					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
yo	you			tú					Kua'a sa'mu , nakiku nachinchee yo .	Give me the clothes, I can help you sew.	Dame la ropa, puedo ayudarte coser.	
	I won't go	I will not go		no me voy	no voy a ir				Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
yu'a	thread			hilo					Ntantuki yu'a sara nikitsai kikui .	He found thread then began to sew.	Encontró el hilo y empezó a coser.	
yukú	woods			bosque					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
	ditch	into a ditch		zanja	en una zanja				Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
ña	they			las					Sara ntsinu sa'mi nikuu yakua xeen ña .	And then his clothes were done and they got very dirty.	Y pues, cuando las ropas estaban terminadas, se ensucieron.	
ña	them			las					Nchaa ntakacha ña	Not until I wash them.	No hasta las lava.	
ña	from			de					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
	that's why			es por eso que					Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
ñantu'i	the woods			el bosque					Kiku xeen kiku nchu'i ñantu'i yukú ka .	He was sitting in the woods, threading and sewing vigorously.	Estaba en el bosque enhebrando y cosendo enérgeticamente.	
	he started a fire			encendió un fuego					Sara ntasta'in ñu'i takua kutunia .	Then he started his fire to warm up.	Y encendió un fuego para calentarse.	

