Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
u'un ti				five of them			cinco de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
		check!		its head								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
nchiso ti				it's carrying			carga					Nchiso ti _____________ yoo .	It's carrying _______ sacks.	Carga _______ sacos.
tono		CHECK!		as								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
tsaku ra				he cried			él lloró					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
tsi				plus			y					Uvi tsi iñu , ¿ nisa kui ?	How much does two plus six make?	¿Cuanto igual dos y seis?
u'un				five			cinco					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
u'un ti				five of them			cinco de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
uni ti				four of them (animals)			cuatro de ellos (animales)					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
uni ti				three of them			tres de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
vaa				only			solamente					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
vari				because			porque					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
ve'e ra				his home			his casa					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
ntatsaa ra ve'e ra				he got home	his house		él llegó a case	su casa				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
vichi				now			ahora					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
ntaa xeen		GET!										Ntaa xeen ka'an kue nivi :		
		check!		its head								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
yoo				sack			saco					¿ Nisa yoo nchiso lurru ?	How many sacks is the donkey carrying?	¿Cuantos sacos carga el burro?
yosu		is this "yoso" + "-u"?		?								Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
ntakuaan yu				I bought			compré					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
ña				that			que					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
ña		GET!		that? it?								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
nikachi ra nuu ñasi'i ra				he said to his wife	wife	his wife	él dijó a su esposa	esposa	su esposa			Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nuu ñu'u				on the ground			por la tierra					¿ Nisa yoo kantu'u nuu ñu'u ?	How many sacks are sitting on the ground?	¿Cuantos sacos son situados por la tierra?
ñu'u				ground			la tierra					Kantu'u  ______ yoo nuu ñu'u .	There are  ______ sacks on the ground.	Hay  ______ sacos por la tierra.

