Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ika				there			allí					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
sara				and			y					Sara inka numa ntsinu mancha Yuku Xitu .	And another branch extended all the way to (?placeName).	Y otra rama se extendió hasta (?placeName).
				?			?					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
su'a				that's how			es así como					Su'a ntakani kue nivi .	This is how the people told it.	Es así que la gente contaron.
ta				when			cuando					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
tehuacán				Tehuacán			Tehuacán					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
tia				thus								Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
tixitu												Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
				for that reason	it's roots		por esto	sus raízes				Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
tsa'a ña				that's why			por esto					Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".
tsa'a ña				because of that			por esto					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
				because of this			por esto					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
tsa'a		no "ña" here! This is relevant to BPT paper...instance of likely "ña" being dropped for just BPT.		this is why			es debido a					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
vichi				now			ahora					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
		So is "Xiní Vikó" another known/used name for Mixtepec!? This is also relevant for the BPT paper.		Top of the Clouds			Encima de las Nubes					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
		So is "Xiní Vikó" another known/used name for Mixtepec!? This is also relevant for the BPT paper.		Top of the Clouds			Encima de las Nubes					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
yuku xitu				?			?					Sara inka numa ntsinu mancha Yuku Xitu .	And another branch extended all the way to (?placeName).	Y otra rama se extendió hasta (?placeName).
xnuviko				down from the clouds	San Juan Mixtepec		bajan las nubes	San Juan Mixtepec				Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".
kue nivi xnuviko				the people of Mixtepec	Mixtepec		la gente de Mixtepec	Mixtepec				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
xnuviko				Down from the Clouds			Bajan las Nubes					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
a				or			o					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
nuu chikuii				from the water			del agua					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
nuu chikuii				in the water			en el agua					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
nuu chikuii				into the water			en al agua					Ika ra ntsikana kavi nuu chikuii .	There (?) fell into the water.	Allí (?) se cayó en el agua.
ichi				path			camino					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
ichi				road			camino					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
in				a			un					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
in tuyuku				a sabine tree			un sabino					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
in sientu				one hundred			cien					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
in vikó				a cloud			un nube					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
inka				another			otra					Sara inka numa ntsinu mancha Yuku Xitu .	And another branch extended all the way to (?placeName).	Y otra rama se extendió hasta (?placeName).
inkaa				there was			había					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
inkaa				there was			había					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
ka'nu				big			grande					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ka'nu nchu'a		predicating adjective predicating adjective		was very big			era muy grande					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
ka'nu nchu'a		predicating adjective. How is tense marked (if at all) in such items?		was so big			era tan grande					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
ka'nu nchu'a		predicating adjective		was so big			era tan grande					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
ntsikana kavi				fell			se cayó					Ika ra ntsikana kavi nuu chikuii .	There (?) fell into the water.	Allí (?) se cayó en el agua.
keti				arose			se levantó					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
kii				day								Sara kuni kueña kuachi kii ntaki'an ña .	Then one day they wanted to pick it up.	
ta kii ta kii				day by day			día a día					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
ta kii ta kii				day by day			día a día					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
kii xchaa				early in the morning			temprano en la mañana					Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
kue kiti				the animals			los animales					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
kitsaa na		is this 'arrive' or 'began'? and why is there not a "ni-" is this 'arrive' or 'began'? and why is there not a "ni-"		they arrive			llegan					Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
tu'un yata ko				our legend			nuestra leyenda					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
kua				around			cerca					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
kua				around			aproximadamente					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
kua'a												Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
kua'an na				they go			van					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
kuachi												Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
kue kiti				the animals			los animales					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
kue nivi				the people			la gente					Su'a ntakani kue nivi .	This is how the people told it.	Es así que la gente contaron.
ta'an kue nivi				the people's relatives			los parientes de la gente					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
kue		'not' or plural?		?								Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
kue nivi				the people	the people of Mixtepec		la gente	la gente de Mixtepec				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
kue nivi				the people			la gente					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
kue				not	they don't know		no	no saben				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
ntakani kuena				they told			contaron					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
kuentu				story			cuento					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
kuentu yo'o				this story			este cuento					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
ntsitsi'i kueña		is this "they were (happy) or (small)"? is this "they were (happy) or (small)"?		?	3pl.fem.form.gen		?					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
				they wanted			querían					Sara kuni kueña kuachi kii ntaki'an ña .	Then one day they wanted to pick it up.	
kuia				year			año					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
kumi				four			cuatro					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
				they wanted			querían					Sara kuni kueña kuachi kii ntaki'an ña .	Then one day they wanted to pick it up.	
kunkuu		why is the future potential copula used here?!		there was			había					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
kuu		why not "nikuu"?		was			era					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
kuun savi				it rained			llovió					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
laguna				lagoon			laguna					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ma				do not			no					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
mancha				all the way from			todo el camino de					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
mancha				all the way to			todo el camino a					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
mancha				all the way to			hasta					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
mee				?								Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
metru				meter			metro					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
kachi na				they told			dijeron					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
nikachi na				they said			dijeron					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ntasa'a na				?			?					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
tuu tsito na				?			?					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
												Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
kachi na				they said			dijeron					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
ntsa'ncha na		compare this form to the ones in L148, they are all different compare this form to the ones in L148, they are all different		chopped down			cortaron					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
sa'a na				they made			hicieron					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
kitsaa na		is this 'arrive' or 'began'? and why is there not a "ni-" is this 'arrive' or 'began'? and why is there not a "ni-"		they arrive			llegan					Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
ntsa'ncha na				they chopped			cortaron					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
ntsa'ncha na				they chopped	they chopped it down		cortaron	lo cortaron				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
sa'a na				they make			hacen					Saan sa'a na sara ntuva tu .		
kua'an na				they go			van					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
sna'a na				they teach			enseñan					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
nuu se'e na				to their children	their children		a sus niños	sus niños				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
kue tsini na				they don't know			no saben					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
snaa na				they teach			enseñan					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
nani				is called			se llama					Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".
vi nani				they call			llaman					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
ka'nu nchu'a		predicating adjective predicating adjective		was very big			era muy grande					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
ka'nu nchu'a		predicating adjective. How is tense marked (if at all) in such items?		was so big			era tan grande					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
ka'nu nchu'a		predicating adjective		was so big			era tan grande					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
nikachi				said			dijeron					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
nikitsaa		'begin' or 'arrive'?										Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
nintoo				left behind	passed down		fue passado					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
nitsa'a				made			hizó					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
kue nivi				the people			la gente					Su'a ntakani kue nivi .	This is how the people told it.	Es así que la gente contaron.
ta'an kue nivi				the people's relatives			los parientes de la gente					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
kue nivi				the people	the people of Mixtepec		la gente	la gente de Mixtepec				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
kue nivi				the people			la gente					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
nta'a tu		the image shows them chopping the trunk not the branch		it's branch	it's trunk							Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
ntakani kuena				they told			contaron					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
ntakani				tell			contaron					Su'a ntakani kue nivi .	This is how the people told it.	Es así que la gente contaron.
ntaki'an				pick up			recoger					Sara kuni kueña kuachi kii ntaki'an ña .	Then one day they wanted to pick it up.	
