Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
tatu				if			se					Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
tsio				side			lado					Tsio sachi ________________	left side ________________                  
                  	lado izquierdo ________________
                  
u'un				five			cinco					U'un ita ÷ in ñaña'a = u'un ita takua mii		
una				eight			ocho					Una nchika ÷ uvi ñachaa = kumi nchika i'iin ñachaa		
uni				three			tres					Uni xini ÷ uni ñasuii = in xini i'iin ñasuii		
uvi				two			dos					Uvi ntixi ÷ uvi ñasi'i = in ntixi i'iin ñasi'i		
yo'o				here			aquí					Yo'o ntee uvi ntixi .	There are two corn cobs laying here.	Hay dos elotes aquí.
________________												Tsio sachi ________________	left side ________________                  
                  	lado izquierdo ________________
                  
cha				then			entonces					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
chiki				cactus pear			nopal					Yo'o ntee kumi chiki .	Here there are four cactus pears lying here.	Aquí estan acostandos cuatro nopales.
choko				ant			hormiga					Yo'o inkaa uni choko .	Here there are three ants.	Aquí hay tres hormigas.
kue choko				the ants	ant		las hormigs	hormiga				Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
i'iin				each			cada					Uvi ntixi ÷ uvi ñasi'i = in ntixi i'iin ñasi'i		
i'iin				each			cada un					Tatu nastucha ko kue xini nuu ñasuii yo'o , i'iin ñasuii kuntuta'in in xini .	If we distribute the hats here to each boy, they each get one hat.	Se distribuimos los sombreros aquí a cada niño, los dos reciben un sombrero.
i'iin				each			cad					Kumi kiche'e ÷ uvi tina = uvi kiche'e i'iin tina		
ian				each			cada					Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
ian				each one			cada un					Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
iin				nine			nueve					Tatu nastucha ko iin tintixi nuu uni ñakuachi , i'iin ñakuachi kuntuta'in _______  tintixi .	If we distribute nine pomegranate between three children each one of the children will get  _______ pomegranate.	Se distribuyamos nueve granadas entre tres niños, cad un de ellos va a recibir  _______.
in				one			un					Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
in				one			one					Uvi ntixi ÷ uvi ñasi'i = in ntixi i'iin ñasi'i		
in				one			uno					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
in				a			un					Kuna'u : Nastucha ko in numero nuu uvia , saan so tsa'i sava ntaa numero .	Remember: when we distribute a number among two, it always yields exactly half of that number.	Recuerda: quando distribuimos un número entre dos, siempre produce exactamente la mitad de ese número.
in				a			una					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
ta in ta in				?			?					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
ta in ta in				?			?					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
inkaa				there are			hay					Yo'o inkaa uni ñasuii .	Here there are three boys.	Aquí estan tres niños.
inkaa				there is			hay					Yo'o inkaa uvi tina .	Here there are four dogs.	Aquí hay cuatro perros.
inkaa				is located			está					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
ita				flower			flor					Yo'o inkaa u'un ita .	Here there are five flowers.	Aquí hay cinco flores.
vee ka				heavier			más pesado					Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
ña vee ka				the heaviest			el mas pessado					Tsio ________________ kuu ña vee ka .	The ________________ side is the heavier.	El lado ________________ es el más pesado.
ka'ncha sava				to divide										
kunia kachia				means			significa					Kuna'u : Dividir kunia kachia stucha ko .	Remember: "divide" means to distribute.	Recuera: "dividir" significa distribuir.
katsi ti				it eats			come					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
kiche'e				bone			hueso					Yo'o ntee kumi kiche'e .	Here are four bones.	Aquí estan cuatro huesos.
				the bones	bone		los huesos	hueso				Tatu nastucha ko kue kiche'e nuu uvi tina , ta in tina ntuta'in uvi kiche'e .	If we divide the bones between two dogs, then one dog gets two bones.	Se compartimos los huesos entre dos perros, entonces un perro recibe dos huesos.
nakutu'a ko				let's learn										
nastucha ko				we distribute			distribuimos					Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
nastucha ko				we divide			dividamos					Tatu nastucha ko kue xini nuu ñasuii yo'o , i'iin ñasuii kuntuta'in in xini .	If we distribute the hats here to each boy, they each get one hat.	Se distribuimos los sombreros aquí a cada niño, los dos reciben un sombrero.
stucha ko				we distribute			distribuimos					Kuna'u : Dividir kunia kachia stucha ko .	Remember: "divide" means to distribute.	Recuera: "dividir" significa distribuir.
nastucha ko				we divide			dividamos					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
nastucha ko				we divide			dividamos					Tatu nastucha ko kue kiche'e nuu uvi tina , ta in tina ntuta'in uvi kiche'e .	If we divide the bones between two dogs, then one dog gets two bones.	Se compartimos los huesos entre dos perros, entonces un perro recibe dos huesos.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko kue nchika nuu uvi ñachaa yo'o , i'iin ñachaa kuntuta'an ra kumi nchika .	If we distribute the plantains between the two men here, each one of the men will get four plantains.	Se distribuimos los platanos entre aquellos hombres aquí, cada un recibirá cuatro platanos.
nastucha ko				we divide			dividamos					Kuna'u : Nastucha ko in numero nuu uvia , saan so tsa'i sava ntaa numero .	Remember: when we distribute a number among two, it always yields exactly half of that number.	Recuerda: quando distribuimos un número entre dos, siempre produce exactamente la mitad de ese número.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko nuni nuu kue ti'in yo'o , ta ian kuntuta'in  _________ nuni .		
nastucha ko				we distribute			distribuyamos					¿ Nisa tikuaa kuntuta'an kue ñasi'i tatu nastucha ko una ti nuu kumi ñasi'i ?	How many oranges will the girls get if we distribute eight of them between four girls?	¿Quantas naranjas recibirán las niñas se distribuimos de ellos entre cuatro niñas?
nastucha ko				we divide			distribuyamos					Tatu nastucha ko iin tintixi nuu uni ñakuachi , i'iin ñakuachi kuntuta'in _______  tintixi .	If we distribute nine pomegranate between three children each one of the children will get  _______ pomegranate.	Se distribuyamos nueve granadas entre tres niños, cad un de ellos va a recibir  _______.
nastucha ko				we divide			dividamos					Tatu nastucha ko utsi uvi nuu uni , ¿ nisa kui ?	If we divide twelve by three, what does that equal?	Se dividimos doce por tres, quanto hace?
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko utsi uvi staa nuu kumi musu , kuntuta'an na  _______ staa .	If we divide twelve tortillas between four workers, they get  _______ tortillas.	Se dividimos doce tortillas entre cuatro trabajadores, reciberán  _______ tortillas.
nastucha ko				we divide			dividamos					Tatu nastucha ko utsi nuu uvi , ¿ nisa kui ?	If we divide ten by two, how much does that make?	Se dividimos diez por dos, ¿quanto hace?
kua'a				right			derecho					Tsio kua'a ________________	right side________________
                  	lado derecho ________________
                  
				things										
				the bones			los huesos					Tatu nastucha ko kue kiche'e nuu uvi tina , ta in tina ntuta'in uvi kiche'e .	If we divide the bones between two dogs, then one dog gets two bones.	Se compartimos los huesos entre dos perros, entonces un perro recibe dos huesos.
kue choko				the ants			las hormigs					Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
kue ti'in				the mice			los ratones					Tatu nastucha ko nuni nuu kue ti'in yo'o , ta ian kuntuta'in  _________ nuni .		
kue ñasi'i				the girls			las niñas					¿ Nisa tikuaa kuntuta'an kue ñasi'i tatu nastucha ko una ti nuu kumi ñasi'i ?	How many oranges will the girls get if we distribute eight of them between four girls?	¿Quantas naranjas recibirán las niñas se distribuimos de ellos entre cuatro niñas?
stucha kue				we divide			dividimos					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
stucha kue				we divide			dividimos					Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
nisa kui				how much is it?			¿quando hace?					Tatu nastucha ko utsi uvi nuu uni , ¿ nisa kui ?	If we divide twelve by three, what does that equal?	Se dividimos doce por tres, quanto hace?
kui				it is			es					Tatu nastucha ko utsi nuu uvi , ¿ nisa kui ?	If we divide ten by two, how much does that make?	Se dividimos diez por dos, ¿quanto hace?
kumia				has			tiene					Tinu kumia oko pesu .	Tinu has twenty pesos.	Tinu tiene viente pesos.
kunia kachia				means			significa					Kuna'u : Dividir kunia kachia stucha ko .	Remember: "divide" means to distribute.	Recuera: "dividir" significa distribuir.
kunkatsia				will eat			va a comer	comerá				Mitu'un ñasi'i , kunkatsia ntikumi chiki .	The girl will eat all four cactus pears by herself.	La niña va a comer cada de los cuatro nopales por ella misma.
kunkui				it will be			va a ser	será				Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
kunkukui				will be			va a ser	será				Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
kuntaki'in				will collect	will pick		va a recoger	recogerá				Mitu'un ña'a yo'o , kuntaki'in nti'u'un ita .	This woman will pick all five flowers by herself.	Esta mujer va recoger los cinco flores por ella misma.
kuntuta'an ra				will get			recibirá	va a recibir				Tatu nastucha ko kue nchika nuu uvi ñachaa yo'o , i'iin ñachaa kuntuta'an ra kumi nchika .	If we distribute the plantains between the two men here, each one of the men will get four plantains.	Se distribuimos los platanos entre aquellos hombres aquí, cada un recibirá cuatro platanos.
kuntuta'an				will get			va a recebir	recebirá				¿ Nisa tikuaa kuntuta'an kue ñasi'i tatu nastucha ko una ti nuu kumi ñasi'i ?	How many oranges will the girls get if we distribute eight of them between four girls?	¿Quantas naranjas recibirán las niñas se distribuimos de ellos entre cuatro niñas?
kuntuta'an na				they will get	they will recieve		van a recibir	recibirán				Tatu nastucha ko utsi uvi staa nuu kumi musu , kuntuta'an na  _______ staa .	If we divide twelve tortillas between four workers, they get  _______ tortillas.	Se dividimos doce tortillas entre cuatro trabajadores, reciberán  _______ tortillas.
kuntuta'in				will get			va a recebir	recebirá				Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
kuntuta'in				will get	will recieve		va a recibir	recibirá				Tatu nastucha ko kue xini nuu ñasuii yo'o , i'iin ñasuii kuntuta'in in xini .	If we distribute the hats here to each boy, they each get one hat.	Se distribuimos los sombreros aquí a cada niño, los dos reciben un sombrero.
kuntuta'in				will recieve	will get		va a recibir	recibirá				Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
kuntuta'in				will recieve	will get		va a recibir	recibirá				Tatu nastucha ko iin tintixi nuu uni ñakuachi , i'iin ñakuachi kuntuta'in _______  tintixi .	If we distribute nine pomegranate between three children each one of the children will get  _______ pomegranate.	Se distribuyamos nueve granadas entre tres niños, cad un de ellos va a recibir  _______.
kunu				you know			sabes					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
kunu				you know			sabes					Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
kuu				is			es					Ño'o kuu Yesenia .	That is Yesenia	Esta es Yesenia
kuu na		should this be "ña"? should this be "ña"?		is			es					Ña'a yo'o kuu na Lina .	This woman is Lina.	Esta mujer es Lina.
linia				line			linea					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
nuu nchiso lurru				in the donkey's sack	the donkey's sack	donkey	in los sacos del burro	los sacos del burro	burro			Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
mii				itself	oneself		si mismo					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
mii				her			ella					Kumi chiki ÷ in ñasi'i = kumi chiki takua mii		
takua mii				for oneself			para ella misma					U'un ita ÷ in ñaña'a = u'un ita takua mii		
mito'on				itselft			se					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
musu				worker			trabajador					Tatu nastucha ko utsi uvi staa nuu kumi musu , kuntuta'an na  _______ staa .	If we divide twelve tortillas between four workers, they get  _______ tortillas.	Se dividimos doce tortillas entre cuatro trabajadores, reciberán  _______ tortillas.
kuu na		should this be "ña"? should this be "ña"?		is			es					Ña'a yo'o kuu na Lina .	This woman is Lina.	Esta mujer es Lina.
nastucha na				they divide			dividan					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
kuntuta'an na				they will get	they will recieve		van a recibir	recibirán				Tatu nastucha ko utsi uvi staa nuu kumi musu , kuntuta'an na  _______ staa .	If we divide twelve tortillas between four workers, they get  _______ tortillas.	Se dividimos doce tortillas entre cuatro trabajadores, reciberán  _______ tortillas.
nastucha ko				we distribute			distribuimos					Tatu nastucha ko ntixi yo'o nuu uvi ñasi'i , ta ian kuntuta'in in ntixi .	If we distribute two corn cobs between the girls then they each get one corn.	Se distribuimos dos elotes entre las niñas, entonces cada un entre ellas reciben un elote.
nastucha ko				we divide			dividamos					Tatu nastucha ko kue xini nuu ñasuii yo'o , i'iin ñasuii kuntuta'in in xini .	If we distribute the hats here to each boy, they each get one hat.	Se distribuimos los sombreros aquí a cada niño, los dos reciben un sombrero.
nastucha ko				we divide			dividamos					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
nastucha na				they divide			dividan					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
nastucha ko				we divide			dividamos					Tatu nastucha ko kue kiche'e nuu uvi tina , ta in tina ntuta'in uvi kiche'e .	If we divide the bones between two dogs, then one dog gets two bones.	Se compartimos los huesos entre dos perros, entonces un perro recibe dos huesos.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko kue nchika nuu uvi ñachaa yo'o , i'iin ñachaa kuntuta'an ra kumi nchika .	If we distribute the plantains between the two men here, each one of the men will get four plantains.	Se distribuimos los platanos entre aquellos hombres aquí, cada un recibirá cuatro platanos.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko tiki nuu kue choko yo'o , ta ian kuntuta'in uvi tiki .	If we distribute seeds between these ants here, then each one will get two seeds.	Se distribuimos las semillas entre estas hormigas aquím entonces cada un de ellas recibirá dos semillas.
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko nuni nuu kue ti'in yo'o , ta ian kuntuta'in  _________ nuni .		
nastucha ko				we distribute			distribuyamos					¿ Nisa tikuaa kuntuta'an kue ñasi'i tatu nastucha ko una ti nuu kumi ñasi'i ?	How many oranges will the girls get if we distribute eight of them between four girls?	¿Quantas naranjas recibirán las niñas se distribuimos de ellos entre cuatro niñas?
nastucha ko				we divide			distribuyamos					Tatu nastucha ko iin tintixi nuu uni ñakuachi , i'iin ñakuachi kuntuta'in _______  tintixi .	If we distribute nine pomegranate between three children each one of the children will get  _______ pomegranate.	Se distribuyamos nueve granadas entre tres niños, cad un de ellos va a recibir  _______.
nastucha ko				we divide			dividamos					Tatu nastucha ko utsi uvi nuu uni , ¿ nisa kui ?	If we divide twelve by three, what does that equal?	Se dividimos doce por tres, quanto hace?
nastucha ko				we distribute			distribuyamos					Tatu nastucha ko utsi uvi staa nuu kumi musu , kuntuta'an na  _______ staa .	If we divide twelve tortillas between four workers, they get  _______ tortillas.	Se dividimos doce tortillas entre cuatro trabajadores, reciberán  _______ tortillas.
nastucha ko				we divide			dividamos					Tatu nastucha ko utsi nuu uvi , ¿ nisa kui ?	If we divide ten by two, how much does that make?	Se dividimos diez por dos, ¿quanto hace?
nchi				which			cual					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
nchika				plantain			platano					Yo'o ntee una nchika .	Here are eight plantains.	Aquí hay ocho platanos.
nuu nchiso lurru				in the donkey's sack	sack	the donkey's sack	in los sacos del burro	saco	los sacos del burro			Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
nikuni				want			quiere					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
nikuni				wanted			queríamos					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
nisa kui				how much is it?			¿quando hace?					Tatu nastucha ko utsi uvi nuu uni , ¿ nisa kui ?	If we divide twelve by three, what does that equal?	Se dividimos doce por tres, quanto hace?
nisa				how much			cuanto					Tatu nastucha ko utsi nuu uvi , ¿ nisa kui ?	If we divide ten by two, how much does that make?	Se dividimos diez por dos, ¿quanto hace?
				half			la mitad					Kuna'u : Nastucha ko in numero nuu uvia , saan so tsa'i sava ntaa numero .	Remember: when we distribute a number among two, it always yields exactly half of that number.	Recuerda: quando distribuimos un número entre dos, siempre produce exactamente la mitad de ese número.
ntachi ta'un				add	put together		adicione					Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
ntakuain				buy			comprar					Kuu ntakuain ______ pastel .		
ntakuain				buy			compra					Kuu ntakuain ______  paa .		
ntana'a				draw			dibuja					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
