Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ñuu nkoyo				Mexico City			Ciudad de México					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
nkoyo				Mexico City			Ciudad de México					Ñuu yo'o kunkui Ñuu Ka'nu tono Nkoyo .		
ntakani na				they told			contaron					Ntakani na tsa na'a tu'un ña .	They told the story a long time ago.	Contaron el cuento hace much tiempo.
ntakani na				they told			contaron					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
				Oaxaca City			Ciudad de Oaxaca					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
sara				and			y					Sara numa ña yutu ka ntsinu mancha vikó .	And the peak of that tree extended all the way to the clouds.	Y la punta de aquel árbol llegó hasta las nubes.
sara				then			y					Sara nuu yutu ka , sara ma'in numa ña ntsikaa in cho'o ya'a ña ntsio nuu tuyuku ka .	And (when/there/where?) the tree...then in the middle of the peak where the treee stood a bald eagle lived in the tree.	
sara				then			pues					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
tatsa		what is this? is it related to "tatsa'vu?" 'thank you'?		?			?					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
tatu				if			se					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
tixitu				large peak			punta larga					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
tsa'a ña				that's why			por esto					Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
yutu tuyuku tule				the sabine evergreen cypress tree			el sabino ahuehuete					Kue nivi skunani na ña " Yutu Tuyuku Tule " .	The people named it "the sabine Evergreen cypress tree".	La gente lo llaman "el sabino ahuehuete".
tule				El Tule			El Tule					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
tule luulu				Little Tule			El Tulito					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
tule ka'nu				the big Tule			El Tule grande					Kachi na ña Tule luulu se'e Tule ka'nu kuu tu .	They say that El Tulito is the offspring of the big Tule.	Dicen que El Tulito es la cría del Tule grande.
				this sabine tree			este sabino					Tuyuku yo'o nani tuku " ahuehuete " .	This sabine tree is also called "Evergreen cypress".	Este sabino se llama también "ahuehuete".
yuku xitu				Mountain of the Peak	The Shoot		Monte de la Punta	El Retoño				Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
xnuviko				San Juan Mixtepec			San Juan Mixtepec					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
yoso xnuviko		literal translation		Town of the Clouds			Pueblo de las Nubes					Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
xnuviko				Down from the Clouds			Bajan las Nubes					Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
xnuviko				Mixtepec			Mixtepec					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
yee				there is			hay					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
a				or			o					Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
ahuehuete		loanword		Evergreen cypress			ahuehuete							
chantsa'nu				elder			anciano					Sara kue chantsa'nu nikitsaa kuera ntsan'cha ra yutu .	Then the elders began to chop down the tree.	Y los ancianos empezaron a cortar el árbol.
chi tsio kuchi		'fell to the north side'?!		?			?					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
chi nuu				below			debajo de					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
				under			debajo de					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
chi nuu				across from	in front of		en frente de					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
chikuii				water			agua					Sara tsa'a tuyuku ka nuu inkaa chikuii , ntsikaa in yatsi kua'a ña ntsikava .		
nuu chikuii				into the water			en el agua					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
cho'o ya'a				bald eagle			águila calva					Sara nuu yutu ka , sara ma'in numa ña ntsikaa in cho'o ya'a ña ntsio nuu tuyuku ka .	And (when/there/where?) the tree...then in the middle of the peak where the treee stood a bald eagle lived in the tree.	
ii		what "ii" is this!!?										Sara nikintoo ti nuu sa'ma ii ña nani sa'ma ka'nu ña Nkoyo ;		
iin		what is "iin" here?		?			?					Ñaño'o kuu iin ña ntakani ñatu'un tuyuku Ñuu Ka'nu .		
in mil				one thousand			mil					Cha inkaa tu in mil kuia .	And it was one thousand years old.	Y tenía mil años de edad.
ntuu inka				the next day	the next		el proximo día	el proximo				Cha ta ntuu inka kii ntakoo ta nikaa tu .		
inka tuku				again			de nuevo					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
inka				other			oltro					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
inka				other	the tree's other peak		otra	la otra punta del árbol				Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
inka				another			un otro					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
inkaa				there was			había					Sara tsa'a tuyuku ka nuu inkaa chikuii , ntsikaa in yatsi kua'a ña ntsikava .		
inkaa				is			es					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
inkaa				is located			está					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
inkaa tu  kuia				it was one thousand years old			tenía mil años de edad					Cha inkaa tu in mil kuia .	And it was one thousand years old.	Y tenía mil años de edad.
iñu				six			seis					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
ka'ncha na				they chopped down			cortaron					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
sa'ma ka'nu		literal translation: 'big cloth'		flag	the Mexican flag		bandera	bandera Méxicana				Tsa'a ña yee in ya'a nuu ma'in sa'ma ka'nu ña Nkoyo .	And that's why there is an eagle in the middle of the Mexican flag.	Y por esto hay una ágila en el medio de la bandera Méxicana.
sa'ma ka'nu ña nkoyo				Mexican flag			la bandera de México					Sara nikintoo ti nuu sa'ma ii ña nani sa'ma ka'nu ña Nkoyo ;		
ka'nu nchu'a				very big			muy grande					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
ka'nu tu		predicating adj		it was big			era grande					Inkaa tu uvi mil kuia cha ka'nu tu kua uxiko uvi metru ; suku ta .	It was two thousand years old and it was big, around fourty two meters; very tall.	Tenía dos mil años de edad y era grande, cerca de cuarenta y dos metros; muy alto.
tule ka'nu				the big Tule			El Tule grande					Kachi na ña Tule luulu se'e Tule ka'nu kuu tu .	They say that El Tulito is the offspring of the big Tule.	Dicen que El Tulito es la cría del Tule grande.
kancha		Is this a variant of "ka'ncha" 'to chop'?		?			?					Ma nikunchee kuera kancha ra tu iin kii .		
ntsikana kava kueyi				fell			se cayeron					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
kii				day			dia					Ma nikunchee kuera kancha ra tu iin kii .		
kii				day			día					Cha ta ntuu inka kii ntakoo ta nikaa tu .		
kiti				animal			animal					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
kua				around			cerca					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
kua'a		is this 'big', 'red', or 'a lot'?		?			?					Sara tsa'a tuyuku ka nuu inkaa chikuii , ntsikaa in yatsi kua'a ña ntsikava .		
kua'a nchu'a				many			muchos					Sara kua'a nchu'a kueña kuachi ntsitsi'i kueyi .	And many of the people and their children used to always drink there.	Y mucha gente y sus niño bebían allí.
kua'an ti				it came			élla vino					Sara saan ntsio ya'a ka kua'an ti Nko'yo ra ntsikuntu'u ti nuu tumin'cha .	And that's how it happened that the eagle came to Mexico city and landed on the prickly pear cactus.	Y así es como ocurrió que la águila vino a la Cuidade de México y arerrizó en el nopal.
kua'an				came			vino					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
kuachi				little ones			pequeños					Sara kueña kuachi ntsikunia tavi yatsi ka .		
kuachi				children			niño					Sara kua'a nchu'a kueña kuachi ntsitsi'i kueyi .	And many of the people and their children used to always drink there.	Y mucha gente y sus niño bebían allí.
kuatsika		is this "kua('a)" + "tsika"?										Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
chi tsio kuchi		'fell to the north side'?!		?			?					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
kue				the			los					Sara kue chantsa'nu nikitsaa kuera ntsan'cha ra yutu .	Then the elders began to chop down the tree.	Y los ancianos empezaron a cortar el árbol.
kue nivi yata				the older people			los ancianos					Sara ntsa'an kue nivi yata ntii na ti .	Then the older people arrived and (?) it.	Y los ancianos llegaron y (?).
				they began			empezaron					Sara kue chantsa'nu nikitsaa kuera ntsan'cha ra yutu .	Then the elders began to chop down the tree.	Y los ancianos empezaron a cortar el árbol.
ma nikunchee kuera				they didn't see	they saw		no vieron	vieron				Ma nikunchee kuera kancha ra tu iin kii .		
nikitsaa kuera				they started			empezaron					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
ntsan'cha kuera				they chopped			cortaron					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
nitsikuu tava kueyi		"ni-" + "tsi-" + "kuu"? Is this a phrase or is the "tava" part of the verb (MWE)?										Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
ntsikana kava kueyi				fell			se cayeron					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
ntsitsi'i kueyi				used to drink			bebíban					Sara kua'a nchu'a kueña kuachi ntsitsi'i kueyi .	And many of the people and their children used to always drink there.	Y mucha gente y sus niño bebían allí.
kueña				they			ellos					Sara kueña kuachi ntsikunia tavi yatsi ka .		
kui				was			era					Ña nchee tsa'a tu kui kua uxiko tsa'un uni metru .		
inkaa tu  kuia		phrase formula for age: "inkaa + (pron) + (num) + kuia"		it was two thousand years old	year		tenía dos mil años de edad	año				Inkaa tu uvi mil kuia cha ka'nu tu kua uxiko uvi metru ; suku ta .	It was two thousand years old and it was big, around fourty two meters; very tall.	Tenía dos mil años de edad y era grande, cerca de cuarenta y dos metros; muy alto.
inkaa tu  kuia				it was one thousand years old	year		tenía mil años de edad	año				Cha inkaa tu in mil kuia .	And it was one thousand years old.	Y tenía mil años de edad.
kumi				four			cuatro					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
kunkui				will be			va a ser					Ñuu yo'o kunkui Ñuu Ka'nu tono Nkoyo .		
kuu				is			es					Ñaño'o kuu iin ña ntakani ñatu'un tuyuku Ñuu Ka'nu .		
kuu tu				it is			es					Kachi na ña Tule luulu se'e Tule ka'nu kuu tu .	They say that El Tulito is the offspring of the big Tule.	Dicen que El Tulito es la cría del Tule grande.
luu				small			pequeño					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
xoo luu		is "xoo" commonly used as a degree adverb 'very'? Get other uses, add to dictionary.		very small			muy pequeño					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
ma'in numa				in the middle of the top			en el medio de la punta					Sara nuu yutu ka , sara ma'in numa ña ntsikaa in cho'o ya'a ña ntsio nuu tuyuku ka .	And (when/there/where?) the tree...then in the middle of the peak where the treee stood a bald eagle lived in the tree.	
nuu ma'in ñuu				in the middle of town			en el centro del pueblo					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
nuu ma'in		decide on where to put this in dictionary, should be related entry, maybe inside "ma'in"		in the middle			en el medio					Tsa'a ña yee in ya'a nuu ma'in sa'ma ka'nu ña Nkoyo .	And that's why there is an eagle in the middle of the Mexican flag.	Y por esto hay una ágila en el medio de la bandera Méxicana.
mancha				all the way to			hasta					Sara numa ña yutu ka ntsinu mancha vikó .	And the peak of that tree extended all the way to the clouds.	Y la punta de aquel árbol llegó hasta las nubes.
metru				meters			metros					Inkaa tu uvi mil kuia cha ka'nu tu kua uxiko uvi metru ; suku ta .	It was two thousand years old and it was big, around fourty two meters; very tall.	Tenía dos mil años de edad y era grande, cerca de cuarenta y dos metros; muy alto.
metru				meter			metro					Ña nchee tsa'a tu kui kua uxiko tsa'un uni metru .		
miki				never			nunca					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
uvi mil				two thousand			dos mil					Inkaa tu uvi mil kuia cha ka'nu tu kua uxiko uvi metru ; suku ta .	It was two thousand years old and it was big, around fourty two meters; very tall.	Tenía dos mil años de edad y era grande, cerca de cuarenta y dos metros; muy alto.
ntsaki na		what is the lemma? is it "tsaki" or "ntsaki"?										Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
ntii na		(ntii na)? what is "ntii"?										Sara ntsa'an kue nivi yata ntii na ti .	Then the older people arrived and (?) it.	Y los ancianos llegaron y (?).
ntakani na				they told			contaron					Ntakani na tsa na'a tu'un ña .	They told the story a long time ago.	Contaron el cuento hace much tiempo.
ntakani na				they told			contaron					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
ka'ncha na				they chopped down			cortaron					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
skunani na		tense?		they named			llaman					Kue nivi skunani na ña " Yutu Tuyuku Tule " .	The people named it "the sabine Evergreen cypress tree".	La gente lo llaman "el sabino ahuehuete".
kachi na				they say			dicen					Kachi na ña Tule luulu se'e Tule ka'nu kuu tu .	They say that El Tulito is the offspring of the big Tule.	Dicen que El Tulito es la cría del Tule grande.
na'a		is the expression: "Tatsa na'a"?										Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
tsa na'a				a long time ago			hace much tiempo					Ntakani na tsa na'a tu'un ña .	They told the story a long time ago.	Contaron el cuento hace much tiempo.
nani				it's called			se llama					Sara nikintoo ti nuu sa'ma ii ña nani sa'ma ka'nu ña Nkoyo ;		
nani				is called			se llama					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
nani tu				it is called			se llama					Yee inka tuyuku luu ka xoo luu yachi nuu inkaa Tule yo cha nani tu " Tule luulu " .	There is another small sabine, very small nearby where El Tule and it is called "The Very Small Tule".	Hay un otro pequeño sabino, muy pequeño cerca de donde está El Tule y se llama "El Tulito".
nania				it is called			se llama					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
nania				is called			se llama					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
nchan'cha tu		is this a passive?		it was chopped down			lo cortaron					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
nchee												Ña nchee tsa'a tu kui kua uxiko tsa'un uni metru .		
kua'a nchu'a				many			muchos					Sara kua'a nchu'a kueña kuachi ntsitsi'i kueyi .	And many of the people and their children used to always drink there.	Y mucha gente y sus niño bebían allí.
ka'nu nchu'a				very big			muy grande					Yee in tuyuku ka'nu nchu'a ña inkaa in ñuu nani " El Tule " ñuu Ntua .	There is a very big Sabine tree that is in a town, which is called "El Tule" in Oaxaca City.	Hay un sabino muy grande que es en un pueblo, que se llama "El Tule" en la Ciudad de Oaxaca.
nikaa		'it was' or 'bring up'?		?			?					Cha ta ntuu inka kii ntakoo ta nikaa tu .		
nikintoo ti		why is this in past? (appears? is placed?)										Sara nikintoo ti nuu sa'ma ii ña nani sa'ma ka'nu ña Nkoyo ;		
		why "ni-"!?		it appears			se lo encuentra					nikintoo tuku ti nuu xu'un .	It is found also on money.	Se lo encuentra también en el dinero.
				they began			empezaron					Sara kue chantsa'nu nikitsaa kuera ntsan'cha ra yutu .	Then the elders began to chop down the tree.	Y los ancianos empezaron a cortar el árbol.
nikitsaa kuera				they started			empezaron					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
ma nikunchee kuera				they didn't see	they saw		no vieron	vieron				Ma nikunchee kuera kancha ra tu iin kii .		
nikuu				was			era					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
				under			debajo de					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
nitsikuu tava kueyi		"ni-" + "tsi-" + "kuu"? Is this a phrase or is the "tava" part of the verb (MWE)?										Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
kue nivi yata				the older people			los ancianos					Sara ntsa'an kue nivi yata ntii na ti .	Then the older people arrived and (?) it.	Y los ancianos llegaron y (?).
kue nivi				the people			la gente					Kue nivi skunani na ña " Yutu Tuyuku Tule " .	The people named it "the sabine Evergreen cypress tree".	La gente lo llaman "el sabino ahuehuete".
nixi				how			como					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
niyaa				fell			cayó					Cha inka iñu kua'a ñatsika chi ninu nuu niyaa inka numa yutu ka nania Yuku Xitu .		
niyai				fell			cayó					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
nta'a				branch			rama					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
ntakani				told			dijó					Ñaño'o kuu iin ña ntakani ñatu'un tuyuku Ñuu Ka'nu .		
ntakoo				woke up			se despertó					Cha ta ntuu inka kii ntakoo ta nikaa tu .		
ntii na		(ntii na)? what is "ntii"?										Sara ntsa'an kue nivi yata ntii na ti .	Then the older people arrived and (?) it.	Y los ancianos llegaron y (?).
ntsa'an				arrived			llegaron					Sara ntsa'an kue nivi yata ntii na ti .	Then the older people arrived and (?) it.	Y los ancianos llegaron y (?).
ntsaki na		what is the lemma? is it "tsaki" or "ntsaki"?										Tsa'a ña ntsaki na si'vi ñuu ka , Yoso Xnuviko a Xnuviko .	That's why the (?) name of the town is "Town of the Clouds" or "Down from the Clouds".	Por esto (?) el nobre del pueble es "Pueblo de las Nubes" o "Bajan las Nubes".
ntsan'cha		why is this in singular		chop down			cortar					Sara kue chantsa'nu nikitsaa kuera ntsan'cha ra yutu .	Then the elders began to chop down the tree.	Y los ancianos empezaron a cortar el árbol.
ntsan'cha kuera				they chopped			cortaron					Sara nikitsaa kuera inka tuku ntsan'cha kuera tu ntuu ñu so sara sana nchan'cha tu .	Then they started again to chop the tree down (?) and then it was felled.	
ntsikaa				stood			había					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
ntsikaa				stood			estaba					Sara nuu yutu ka , sara ma'in numa ña ntsikaa in cho'o ya'a ña ntsio nuu tuyuku ka .	And (when/there/where?) the tree...then in the middle of the peak where the treee stood a bald eagle lived in the tree.	
ntsikaa				stood			estaba al pie					Sara tsa'a tuyuku ka nuu inkaa chikuii , ntsikaa in yatsi kua'a ña ntsikava .		
ntsikaa				stood			estaba al pie					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
ntsikaa				stood			estaba					Ntakani na nixi ntsikaa tuyuku tsi in ya'a ntsio kiti kua'an ñuu Nkoyo .	The people told about how a Sabine tree used to stand and how an eagle (?) came to Mexico City. 	La gente contaron de como había un sabino estaba y como una ágila (?) ocurrió a venir a la Ciudad de México.
ntsikaa				stood			estaba al pie					Tatu nikuu saan , ka'ncha na tuyuku ntsikaa ye'e veñu'u ñuu Xnuviko yo .		
ntsikai				it stood			estaba al pie					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
ntsikana kava kueyi				fell			se cayeron					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
ntsikava		"ntsi-" + "kava"		?			?					Sara tsa'a tuyuku ka nuu inkaa chikuii , ntsikaa in yatsi kua'a ña ntsikava .		
ntsikumia				had			tenía					Tatsa na'a ñuu Xnuviko ntsikaa in tuyuku ntsikumia uvi nta'a , ntsikai suku ta .		
ntsikunia				used to have			tenían					Sara kueña kuachi ntsikunia tavi yatsi ka .		
