xml_file,wav_file,token_n,start,end,orth,ipa_gold,ipa_notone,ipa_full_normalized,changed,source_corpus
ADV_again_01_JS.xml,ADV_again_01_JS.wav,1,0,1.22,inka tuku,ĩːk̬aː˩t̪u˩ɣu˩,ĩːk̬aːt̪uɣu,ĩːk̬aat̪uɣu,yes,single-word
ADV_again_02_JS.xml,ADV_again_02_JS.wav,1,0,1.34,inkaatuku,ŋk̬aː˩tu˩ɣu˩,ŋk̬aːtuɣu,ŋk̬aatuɣu,yes,single-word
ADV_no_01_02_spkrTS.xml,ADV_no_01_02_spkrTS.wav,1,0,1.07,a'an,ã̰˩ʔã̰˥,ã̰ʔã̰,ã̰ʔã̰,yes,single-word
ADV_no_01_02_spkrTS.xml,ADV_no_01_02_spkrTS.wav,2,1.07,2.14,a'an,ã̰˩ʔã̰˥,ã̰ʔã̰,ã̰ʔã̰,yes,single-word
ADV_no_01_spkrJS.xml,ADV_no_01_spkrJS.wav,1,0,0.60,a'an,a̰˩ʔã̰ː↗↘,a̰ʔã̰ː,aʔã̰ː,yes,single-word
ADV_no_01_spkrTS.xml,ADV_no_01_spkrTS.wav,1,0,0.65,a'an,a̰˩ʔã̰↗↘,a̰ʔã̰,aʔã̰,yes,single-word
ADV_no_02_spkrJS.xml,ADV_no_02_spkrJS.wav,1,0,0.56,a'an,a̰˩ʔa̰ː↗↘,a̰ʔa̰ː,aʔa̰a̰,yes,single-word
ADV_no_02_spkrTS.xml,ADV_no_02_spkrTS.wav,1,0,0.60,a'an,a̰∙ʔa̰↗↘,a̰ʔa̰,aʔa̰,yes,single-word
ADV_not_02_spkrJS.xml,ADV_not_02_spkrJS.wav,1,0,1.21,kuee,kweː↗,kweː,kwee,yes,single-word
ADV_only_01_spkrTS.xml,ADV_only_01_spkrTS.wav,1,0,0.64,ni,niː˩,niː,nii,yes,single-word
ADV_the_other_day_01_spkrTS.xml,ADV_the_other_day_01_spkrTS.wav,1,0,1.00,ta'ikuñuu,t̬a˥ʔi↘ku↘ɲũː↘↗ꜜ,t̬aʔikuɲũː,t̬aʔikuɲũː,yes,single-word
ADV_yes_01_02_spkrTS.xml,ADV_yes_01_02_spkrTS.wav,1,0,1.39,aan,ãː˧,ãː,ãː,yes,single-word
ADV_yes_01_02_spkrTS.xml,ADV_yes_01_02_spkrTS.wav,2,1.39,2.79,aan,ãː˧,ãː,ãː,yes,single-word
ADV_yes_01_spkrJS.xml,ADV_yes_01_spkrJS.wav,1,0,0.55,aan,ãː˧,ãː,ãː,yes,single-word
ADV_yes_01_spkrTS.xml,ADV_yes_01_spkrTS.wav,1,0,0.60,aan,ã:˧,ã:,ã:,yes,single-word
ADV_yes_02_spkrJS.xml,ADV_yes_02_spkrJS.wav,1,0,0.57,aan,ãː˧,ãː,ãː,yes,single-word
ADV_yes_02_spkrTS.xml,ADV_yes_02_spkrTS.wav,1,0,0.60,aan,ã:˧,ã:,ã:,yes,single-word
ADV_yes_v2_01_02_spkrTS.xml,ADV_yes_v2_01_02_spkrTS.wav,1,0,1.28,uun,ũː˧,ũː,ũː,yes,single-word
ADV_yes_v2_01_02_spkrTS.xml,ADV_yes_v2_01_02_spkrTS.wav,2,1.28,2.56,uun,ũː˧,ũː,ũː,yes,single-word
ADV_yesterday_01_spkrTS.xml,ADV_yesterday_01_spkrTS.wav,1,0,0.78,takuni,t̬a˥ku↘ni∙,t̬akuni,t̬akuni,yes,single-word
BPT_arm_01_02_03_spkrTS.xml,BPT_arm_01_02_03_spkrTS.wav,1,0,0.82,nta'a,nda∙ʔa˥,ndaʔa,ndaʔa,yes,single-word
BPT_arm_01_02_03_spkrTS.xml,BPT_arm_01_02_03_spkrTS.wav,2,0.82,1.67,nta'a,nda˩ʔa˥,ndaʔa,ndaʔa,yes,single-word
BPT_arm_01_02_03_spkrTS.xml,BPT_arm_01_02_03_spkrTS.wav,3,1.67,2.48,nta'a,nda˩ʔa˥,ndaʔa,ndaʔa,yes,single-word
BPT_belly_button_01_02_03_spkrTS.xml,BPT_belly_button_01_02_03_spkrTS.wav,1,0,0.95,nxandu,ʃa↘↗ndu˥,ʃandu,ʃandu,yes,single-word
BPT_belly_button_01_02_03_spkrTS.xml,BPT_belly_button_01_02_03_spkrTS.wav,2,0.95,2.10,nxandu,ʃa↘↗ndu˥,ʃandu,ʃandu,yes,single-word
BPT_belly_button_01_02_03_spkrTS.xml,BPT_belly_button_01_02_03_spkrTS.wav,3,2.10,3.21,nxandu,ʃa↘↗ꜜndu˥ꜜ,ʃandu,ʃandu,yes,single-word
BPT_body_01_02_03_spkrTS.xml,BPT_body_01_02_03_spkrTS.wav,1,0,0.69,kuñu,kũ↗ɲũ∙,kũɲũ,kũɲũ,yes,single-word
BPT_body_01_02_03_spkrTS.xml,BPT_body_01_02_03_spkrTS.wav,2,0.69,1.54,kuñu,kũ↗ɲũ↘,kũɲũ,kũɲũ,yes,single-word
BPT_body_01_02_03_spkrTS.xml,BPT_body_01_02_03_spkrTS.wav,3,1.54,2.38,kuñu,kũ↗ɲũ∙,kũɲũ,kũɲũ,yes,single-word
BPT_face_01_TS.xml,BPT_face_01_TS.wav,1,0,0.62,nuu,nũː↘↗,nũː,nũː,yes,single-word
CLR_blue_01_02_TS.xml,CLR_blue_01_02_TS.wav,1,0,3.05,nchaa,ndʒaː˥,ndʒaː,nd͡ʒaa,yes,single-word
CLR_blue_01_02_TS.xml,CLR_blue_01_02_TS.wav,2,3.05,4.41,nchaa,ndʒaː˥,ndʒaː,nd͡ʒaa,yes,single-word
CLR_dark_grey_01_02_TS.xml,CLR_dark_grey_01_02_TS.wav,1,0,1.08,ya'a,ja˥ʔa↘,jaʔa,jaʔa,yes,single-word
CLR_dark_grey_01_02_TS.xml,CLR_dark_grey_01_02_TS.wav,2,1.08,2.15,ya'a,ja˥ʔa∙,jaʔa,jaʔa,yes,single-word
CLR_green_01_spkrJS.xml,CLR_green_01_spkrJS.wav,1,0,0.77,kuiyi,kwi↘ji↗,kwiji,kwiji,yes,single-word
CLR_white_01_spkrJS.xml,CLR_white_01_spkrJS.wav,1,0,0.68,yaa,jaː↘,jaː,jaa,yes,single-word
CLR_white_02_spkrJS.xml,CLR_white_02_spkrJS.wav,1,0,0.61,yaa,jaː↘,jaː,jaa,yes,single-word
CLR_yellow_01_02_TS.xml,CLR_yellow_01_02_TS.wav,1,0,1.20,kuaan,kwãː˥,kwãː,kwãː,yes,single-word
CLR_yellow_01_02_TS.xml,CLR_yellow_01_02_TS.wav,2,1.20,2.39,kuaan,kwãː˥ꜜ,kwãː,kwãː,yes,single-word
CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,1,0,1.47,kaka,ka˥ka˥,kaka,kaka,yes,single-word
CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,2,1.47,3.13,kaka,ka˥ꜜka˥,kaka,kaka,yes,single-word
CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,3,3.13,4.37,kaka,ka˥ka˥,kaka,kaka,yes,single-word
CMND_come_down_01_02_03_TS.xml,CMND_come_down_01_02_03_TS.wav,1,0,1.36,kua,kw˥an,kwan,kwan,yes,single-word
CMND_come_down_01_02_03_TS.xml,CMND_come_down_01_02_03_TS.wav,2,1.36,2.67,kua,kwa˥,kwa,kwa,yes,single-word
CMND_come_down_01_02_03_TS.xml,CMND_come_down_01_02_03_TS.wav,3,2.67,4.12,kua,kwa˥,kwa,kwa,yes,single-word
CONFIG-body_parts-back_butt_01_02_03_TS.xml,CONFIG-body_parts-back_butt_01_02_03_TS.wav,1,0,7.16,chikuchi,tʃi˥ku↘tʃi↗ꜜ,tʃikutʃi,t͡ʃikut͡ʃi,yes,single-word
CONFIG-body_parts-back_butt_01_02_03_TS.xml,CONFIG-body_parts-back_butt_01_02_03_TS.wav,2,7.16,13.07,chikuchi,tʃ˥iku↘tʃi↗ꜜ,tʃikutʃi,t͡ʃikut͡ʃi,yes,single-word
CONFIG-body_parts-ears_head_01_02_TS.xml,CONFIG-body_parts-ears_head_01_02_TS.wav,1,1.57,4.62,so'o,so˥ʔo˧,soʔo,soʔo,yes,single-word
CONFIG-body_parts-ears_head_01_02_TS.xml,CONFIG-body_parts-ears_head_01_02_TS.wav,2,4.62,7.48,so'o,so˥ꜛʔo˩,soꜛʔo,soꜛʔo,yes,single-word
CONFIG-body_parts-ears_head_3form-all_01_02_TS.xml,CONFIG-body_parts-ears_head_3form-all_01_02_TS.wav,1,5.49,7.99,so'o,so˥ʔo˩,soʔo,soʔo,yes,single-word
CONFIG-body_parts-ears_head_3form-all_01_02_TS.xml,CONFIG-body_parts-ears_head_3form-all_01_02_TS.wav,2,7.99,10.60,so'o,soʔ˥o˩,soʔo,soʔo,yes,single-word
CONFIG-body_parts-face_head_01_02_TS.xml,CONFIG-body_parts-face_head_01_02_TS.wav,1,0,2.66,nuu,nũː↘↗,nũː,nũː,yes,single-word
CONFIG-body_parts-face_head_01_02_TS.xml,CONFIG-body_parts-face_head_01_02_TS.wav,2,2.66,5.45,nuu,nũː↘↗,nũː,nũː,yes,single-word
CONFIG-body_parts-face_head_3s-inf_01_02_TS.xml,CONFIG-body_parts-face_head_3s-inf_01_02_TS.wav,1,0,2.61,nuu,nũː↘↗,nũː,nũː,yes,single-word
CONFIG-body_parts-face_head_3s-inf_01_02_TS.xml,CONFIG-body_parts-face_head_3s-inf_01_02_TS.wav,2,2.61,5.03,nuu,nũː↘↗,nũː,nũː,yes,single-word
CONFIG-body_parts-head_chest_01_02_TS.xml,CONFIG-body_parts-head_chest_01_02_TS.wav,1,0,3.50,xinu,tʃi˥nũː↘↗,tʃinũː,t͡ʃinũː,yes,single-word
CONFIG-body_parts-head_chest_01_02_TS.xml,CONFIG-body_parts-head_chest_01_02_TS.wav,2,3.50,6.89,xinu,tʃi˥nũː↘↗,tʃinũː,t͡ʃinũː,yes,single-word
CONFIG-body_parts-head_foot_01_02_TS.xml,CONFIG-body_parts-head_foot_01_02_TS.wav,1,0,4.20,chikuchi,tʃi˥ku↘tʃi↗,tʃikutʃi,t͡ʃikut͡ʃi,yes,single-word
CONFIG-body_parts-head_foot_01_02_TS.xml,CONFIG-body_parts-head_foot_01_02_TS.wav,2,4.20,8.11,chikuchi,tʃi˥k˩utʃi↗ꜜ,tʃikutʃi,t͡ʃikut͡ʃi,yes,single-word
CONFIG-body_parts-nose_eyes_face_3form-all_01_02_TS.xml,CONFIG-body_parts-nose_eyes_face_3form-all_01_02_TS.wav,1,0,4.63,ntuchinuu,du˥tʃi↘n↘↗ũː,dutʃinũː,dut͡ʃinũː,yes,single-word
CONFIG-body_parts-nose_eyes_face_3form-all_01_02_TS.xml,CONFIG-body_parts-nose_eyes_face_3form-all_01_02_TS.wav,2,4.63,9.56,ntuchinuu,du˥ꜜtʃi˩ũː↘↗ꜜ,dutʃiũː,dut͡ʃiũː,yes,single-word
CORP_bone_01_02_03_spkrTS.xml,CORP_bone_01_02_03_spkrTS.wav,1,0,0.76,kiche'e,ki˥ꜜtʃ∙ɛ̰ʔɛ̰˥,kitʃɛ̰ʔɛ̰,kit͡ʃɛʔɛ̰,yes,single-word
CORP_bone_01_02_03_spkrTS.xml,CORP_bone_01_02_03_spkrTS.wav,2,0.76,1.58,kiche'e,ki˥tʃɛ̰∙ʔɛ̰˥ꜜ,kitʃɛ̰ʔɛ̰,kit͡ʃɛʔɛ̰,yes,single-word
CORP_bone_01_02_03_spkrTS.xml,CORP_bone_01_02_03_spkrTS.wav,3,1.58,2.39,kiche'e,ki∙tʃɛ̰∙ʔɛ̰˥,kitʃɛ̰ʔɛ̰,kit͡ʃɛʔɛ̰,yes,single-word
CORP_butt_01_02_03_spkrTS.xml,CORP_butt_01_02_03_spkrTS.wav,1,0,0.88,xicha,ʃi˧tʃa˩,ʃitʃa,ʃit͡ʃa,yes,single-word
CORP_butt_01_02_03_spkrTS.xml,CORP_butt_01_02_03_spkrTS.wav,2,0.88,1.72,xicha,ʃi˧tʃa˩,ʃitʃa,ʃit͡ʃa,yes,single-word
CORP_butt_01_02_03_spkrTS.xml,CORP_butt_01_02_03_spkrTS.wav,3,1.72,2.52,xicha,ʃi˧tʃa˩,ʃitʃa,ʃit͡ʃa,yes,single-word
CORP_ears_01_02_03_spkrTS.xml,CORP_ears_01_02_03_spkrTS.wav,1,0,0.82,so'o,so̰∙ʔo̰↗,so̰ʔo̰,soʔo̰,yes,single-word
CORP_ears_01_02_03_spkrTS.xml,CORP_ears_01_02_03_spkrTS.wav,2,0.82,1.65,so'o,so̰˩ʔo̰˧,so̰ʔo̰,soʔo̰,yes,single-word
CORP_ears_01_02_03_spkrTS.xml,CORP_ears_01_02_03_spkrTS.wav,3,1.65,2.44,so'o,so̰∙ʔo̰↗ꜜ,so̰ʔo̰,soʔo̰,yes,single-word
CORP_eyes_01_02_03_spkrTS.xml,CORP_eyes_01_02_03_spkrTS.wav,1,0,1.30,ntuchinuu,du˧tʃi˥nũː↘↗,dutʃinũː,dut͡ʃinũː,yes,single-word
CORP_eyes_01_02_03_spkrTS.xml,CORP_eyes_01_02_03_spkrTS.wav,2,1.30,2.49,ntuchinuu,d̪u˧tʃi˥nũː↘↗,d̪utʃinũː,d̪ut͡ʃinũː,yes,single-word
CORP_eyes_01_02_03_spkrTS.xml,CORP_eyes_01_02_03_spkrTS.wav,3,2.49,3.71,ntuchinuu,ndu˧tʃi˥nũː↘↗,ndutʃinũː,ndut͡ʃinũː,yes,single-word
CORP_face_01_02_03_spkrTS.xml,CORP_face_01_02_03_spkrTS.wav,1,0,0.65,nuu,nũː↘↗,nũː,nũː,yes,single-word
CORP_face_01_02_03_spkrTS.xml,CORP_face_01_02_03_spkrTS.wav,2,0.65,1.31,nuu,n↘↗ũː,nũː,nũː,yes,single-word
CORP_face_01_02_03_spkrTS.xml,CORP_face_01_02_03_spkrTS.wav,3,1.31,1.92,nuu,nũː↘↗,nũː,nũː,yes,single-word
CORP_head_01_02_03_spkrTS.xml,CORP_head_01_02_03_spkrTS.wav,1,0,1.00,xiní,ʃi↘ni↗,ʃini,ʃini,yes,single-word
CORP_head_01_02_03_spkrTS.xml,CORP_head_01_02_03_spkrTS.wav,2,1.00,1.96,xiní,ʃi↘ꜜni↗,ʃini,ʃini,yes,single-word
CORP_head_01_02_03_spkrTS.xml,CORP_head_01_02_03_spkrTS.wav,3,1.96,2.93,xiní,ʃi˩ni↗,ʃini,ʃini,yes,single-word
CORP_leg-1s_01_02_03_TS.xml,CORP_leg-1s_01_02_03_TS.wav,1,0,1.29,si'i̠n,sḭ̃˧ʔḭ̃F,sḭ̃ʔḭ̃F,sḭ̃ʔḭ̃F,yes,single-word
CORP_leg-1s_01_02_03_TS.xml,CORP_leg-1s_01_02_03_TS.wav,2,1.29,2.46,si'i̠n,sḭ̃˧ꜜʔḭ̃↘,sḭ̃ʔḭ̃,sḭ̃ʔḭ̃,yes,single-word
CORP_leg-1s_01_02_03_TS.xml,CORP_leg-1s_01_02_03_TS.wav,3,2.46,3.47,si'in,sḭ̃˧ꜜʔḭ̃↘,sḭ̃ʔḭ̃,sḭ̃ʔḭ̃,yes,single-word
CORP_leg-3s-inf_01_02_03_TS.xml,CORP_leg-3s-inf_01_02_03_TS.wav,1,0,1.27,si'a,sḭ̃∙ʔa↘,sḭ̃ʔa,sḭ̃ʔa,yes,single-word
CORP_leg-3s-inf_01_02_03_TS.xml,CORP_leg-3s-inf_01_02_03_TS.wav,2,1.27,2.39,si'a,sḭ̃˩ʔaF,sḭ̃ʔaF,sḭ̃ʔaF,yes,single-word
CORP_leg-3s-inf_01_02_03_TS.xml,CORP_leg-3s-inf_01_02_03_TS.wav,3,2.39,3.52,si'a,sḭ̃ʔ˩a↘,sḭ̃ʔa,sḭ̃ʔa,yes,single-word
CORP_leg-3s-inf_01_02_03_TS.xml,CORP_leg-3s-inf_01_02_03_TS.wav,4,3.52,4.46,si'a,sĩ˩ʔa↘,sĩʔa,sĩʔa,yes,single-word
CORP_mouth_01_02_spkrTS.xml,CORP_mouth_01_02_spkrTS.wav,1,0,0.61,yu'u,ju˧ʔu↗,juʔu,juʔu,yes,single-word
CORP_mouth_01_02_spkrTS.xml,CORP_mouth_01_02_spkrTS.wav,2,0.61,1.23,yu'u,ju˧ʔu↗,juʔu,juʔu,yes,single-word
CORP_ribs_01_02_03_spkrTS.xml,CORP_ribs_01_02_03_spkrTS.wav,1,0,0.86,nchika,nʤi˩ka˥,nʤika,nd͡ʒika,yes,single-word
CORP_ribs_01_02_03_spkrTS.xml,CORP_ribs_01_02_03_spkrTS.wav,2,0.86,1.62,nchika,nʤi˩ka↗,nʤika,nd͡ʒika,yes,single-word
CORP_ribs_01_02_03_spkrTS.xml,CORP_ribs_01_02_03_spkrTS.wav,3,1.62,2.48,nchika,nʤi˩ka↗,nʤika,nd͡ʒika,yes,single-word
CORP_ribs_1st_sg_01_02_03_spkrTS.xml,CORP_ribs_1st_sg_01_02_03_spkrTS.wav,1,0,0.74,nchika̠,nʤi∙ka↘,nʤika,nd͡ʒika,yes,single-word
CORP_ribs_1st_sg_01_02_03_spkrTS.xml,CORP_ribs_1st_sg_01_02_03_spkrTS.wav,2,0.74,1.55,nchika̠,nʤi˩kaF,nʤikaF,nd͡ʒikaF,yes,single-word
CORP_ribs_1st_sg_01_02_03_spkrTS.xml,CORP_ribs_1st_sg_01_02_03_spkrTS.wav,3,1.55,2.41,nchika̠,nʤi˩ka↘,nʤika,nd͡ʒika,yes,single-word
CORP_skin_03_05_06_spkrJS.xml,CORP_skin_03_05_06_spkrJS.wav,1,0,0.99,ii,iː↘↗,iː,ii,yes,single-word
CORP_skin_03_05_06_spkrJS.xml,CORP_skin_03_05_06_spkrJS.wav,2,0.99,1.90,ii,iː↘↗,iː,ii,yes,single-word
CORP_skin_03_05_06_spkrJS.xml,CORP_skin_03_05_06_spkrJS.wav,3,1.90,2.68,ii,iː↘↗,iː,ii,yes,single-word
DEM-LOC-PROX_here_01_02_spkrJS.xml,DEM-LOC-PROX_here_01_02_spkrJS.wav,1,0,1.26,ño'o,ɲõ↗ʔõ˩ꜛ,ɲõʔõꜛ,ɲõʔõꜛ,yes,single-word
DEM-LOC-PROX_here_01_02_spkrJS.xml,DEM-LOC-PROX_here_01_02_spkrJS.wav,2,1.26,2.81,ño'o,ɲõ↗ʔõ˩ꜛ,ɲõʔõꜛ,ɲõʔõꜛ,yes,single-word
DEM-LOC_DIST_01_02_spkrJS.xml,DEM-LOC_DIST_01_02_spkrJS.wav,1,0,0.86,ika,i˧ka˥,ika,ika,yes,single-word
DEM-LOC_DIST_01_02_spkrJS.xml,DEM-LOC_DIST_01_02_spkrJS.wav,2,0.86,1.91,ika,i˧ka˥,ika,ika,yes,single-word
DEM_DIST_there_01_02_spkrJS.xml,DEM_DIST_there_01_02_spkrJS.wav,1,0,1.16,ñaka,ɲa↘k̬a↗,ɲak̬a,ɲak̬a,yes,single-word
DEM_DIST_there_01_02_spkrJS.xml,DEM_DIST_there_01_02_spkrJS.wav,2,1.16,2.52,ñaka,ɲa˩k̬a↗,ɲak̬a,ɲak̬a,yes,single-word
