Vowel	F1_pt3	F1_mid	F1_pt7	F2_pt3	F2_mid	F2_pt7	F3_pt3	F3_mid	F3_pt7
ɛː 	462	344	358	2718	1916	1961	2718	2818	2733
ɛ̃ː 	266	280	236	2554	1826	1028	2554	2658	2330
ũ	278	303	--undefined--	2700	1347	--undefined--	2700	2308	--undefined--
aː	295	740	397	2647	1459	1786	2647	2436	2563
o	507	324	--undefined--	2380	872	--undefined--	2380	2680	--undefined--
aː	287	722	522	2444	1388	1760	2444	2437	2550
o	603	349	--undefined--	2513	893	--undefined--	2513	2392	--undefined--
aː	303	772	565	2641	1309	1820	2641	2384	3174
o	571	407	--undefined--	2487	924	--undefined--	2487	2572	--undefined--
ũ 	821	529	501	3017	896	2165	3017	2232	3189
i	399	307	321	2343	1923	1466	2343	2516	2304
i	443	273	317	2784	2179	1746	2784	2821	2709
ũː 	300	360	--undefined--	2461	555	--undefined--	2461	2321	--undefined--
ũ	334	537	405	2850	1113	1940	2850	2199	2974
i	393	317	1763	2313	1722	2384	2313	2348	2700
i	425	274	409	2809	2014	2319	2809	2715	3160
ũː	319	326	--undefined--	2391	1114	--undefined--	2391	2295	--undefined--
ĩːː	425	366	360	2501	1331	1736	2501	2577	3008
ĩːː	961	343	--undefined--	3074	1500	--undefined--	3074	2438	--undefined--
iːː	442	271	204	2637	1535	1634	2637	2657	2605
 ĩːː 	114	314	--undefined--	2754	1615	--undefined--	2754	2624	--undefined--
i	471	266	436	3158	2274	1598	3158	2990	2750
i	277	319	315	3049	2234	1224	3049	3051	2352
i ⁱ^̰ 	537	310	372	3185	1847	1948	3185	2278	2986
ⁱ^̰ iː	373	243	303	3009	2202	1266	3009	2901	2436
ĩːː	288	404	296	2933	1807	2249	2933	2567	2677
iː	563	301	--undefined--	2877	2220	--undefined--	2877	2882	--undefined--
a	303	564	--undefined--	2425	1516	--undefined--	2425	2215	--undefined--
aː 	455	699	624	3058	1285	1956	3058	2140	3171
aː	794	497	--undefined--	2178	1185	--undefined--	2178	2162	--undefined--
aː 	510	717	1037	2694	1314	1300	2694	2202	2138
aː	1014	834	--undefined--	3544	1360	--undefined--	3544	2236	--undefined--
a	1327	651	432	3015	1392	1815	3015	2321	2756
i	552	301	499	2391	2182	1439	2391	2721	2429
aː	300	778	--undefined--	2711	1367	--undefined--	2711	2103	--undefined--
a	1980	548	430	3778	1381	2230	3778	2421	3642
i	509	293	456	2579	2110	1832	2579	2696	2772
aː	295	666	--undefined--	2679	1346	--undefined--	2679	2177	--undefined--
i	388	313	1132	2764	1902	2005	2764	2408	2949
a	330	662	324	2403	1471	2141	2403	2255	2577
i	598	307	711	2409	2147	1384	2409	2578	2160
aː 	1834	709	--undefined--	3446	1331	--undefined--	3446	2144	--undefined--
i	323	312	368	2548	2106	1634	2548	2505	2698
a	312	559	311	2498	1413	2047	2498	2530	2947
i	416	310	732	2617	2067	1402	2617	2559	2208
aː 	1194	764	--undefined--	3496	1315	--undefined--	3496	2109	--undefined--
a	354	718	650	2736	1437	1514	2736	2240	2657
i	510	286	1610	2281	2189	2525	2281	2886	3544
aː 	292	717	--undefined--	2817	1256	--undefined--	2817	2149	--undefined--
a	554	476	692	2490	1547	1479	2490	2684	2523
ia	510	490	879	3103	1545	1387	3103	2421	2904
ĩː	474	370	--undefined--	2436	1597	--undefined--	2436	2353	--undefined--
a	1154	526	890	2704	1558	1893	2704	2581	2249
ia	584	478	379	2820	1799	1894	2820	2482	2401
ĩː 	454	262	--undefined--	2733	1806	--undefined--	2733	2609	--undefined--
u	757	335	427	2543	970	1750	2543	2704	2869
a	1013	516	327	2745	1555	2129	2745	2519	2713
ĩ	598	366	271	2281	2378	1421	2281	3137	2338
ã	561	546	--undefined--	2688	1556	--undefined--	2688	2252	--undefined--
i	328	265	--undefined--	2699	1989	--undefined--	2699	2802	--undefined--
_#	366	426	--undefined--	3141	1806	--undefined--	3141	2852	--undefined--
ũ	519	400	303	2775	1234	529	2775	2917	2711
a	378	588	734	2863	983	1295	2863	2378	2106
a	388	801	408	2839	1310	1362	2839	2073	2512
ũ	749	423	431	2186	1219	1750	2186	2509	2867
ũ	534	394	306	2722	1199	529	2722	2935	2705
a	377	588	740	2876	995	1292	2876	2365	2089
a	383	797	401	2872	1321	1338	2872	2096	2474
ũ	750	421	433	2180	1259	1794	2180	2491	2682
ũː	486	391	564	2904	730	1902	2904	2293	2799
a	648	535	--undefined--	3015	1494	--undefined--	3015	1812	--undefined--
ũ	296	414	329	2267	1129	729	2267	2809	2621
a	316	754	414	2596	1482	1582	2596	2322	2517
a	744	611	399	2320	1596	1685	2320	2656	2367
a	613	632	824	2578	1562	1248	2578	2037	2734
o	444	388	877	2445	1000	1027	2445	2880	2554
a	569	538	542	2485	1471	1296	2485	2391	2463
a	597	526	1000	2620	1475	2999	2620	2446	4937
u	303	386	--undefined--	2496	940	--undefined--	2496	2504	--undefined--
a	449	700	--undefined--	2700	1421	--undefined--	2700	2444	--undefined--
a	453	612	--undefined--	2811	1412	--undefined--	2811	2599	--undefined--
_#	1243	1000	--undefined--	2678	2999	--undefined--	2678	4937	--undefined--
a	285	544	1837	2630	1469	2572	2630	2592	3610
i	471	312	485	2602	2347	1835	2602	2564	2597
i	294	277	690	2658	2119	1356	2658	2845	2139
aː 	347	631	1196	2599	1327	2256	2599	2082	3049
i	498	279	--undefined--	2376	2148	--undefined--	2376	2659	--undefined--
ãĩ	673	331	--undefined--	2051	2110	--undefined--	2051	2308	--undefined--
ĩːː 	448	364	280	2624	2339	1492	2624	2717	2638
ĩːː 	998	297	540	4935	1888	1610	4935	2889	2433
a	290	521	488	2577	1633	1691	2577	2492	2735
i	291	378	--undefined--	2595	2077	--undefined--	2595	2559	--undefined--
iːː 	755	488	--undefined--	2909	1690	--undefined--	2909	2733	--undefined--
ĩːː	446	425	279	3528	1568	1632	3528	2790	2939
ĩːː	255	298	533	2879	1444	1609	2879	2447	2612
a	341	529	345	2120	1589	1655	2120	2515	2558
i	308	343	999	2522	1898	2992	2522	2483	4945
iːː	849	343	--undefined--	2628	1642	--undefined--	2628	2597	--undefined--
ĩːː	462	362	412	2980	2376	1593	2980	2669	2663
ĩːː	697	286	539	3194	1501	1648	3194	2565	2599
a	296	520	493	2880	1638	1667	2880	2475	2672
i	285	326	--undefined--	2562	1528	--undefined--	2562	2652	--undefined--
iːː 	1020	496	--undefined--	3143	1645	--undefined--	3143	2702	--undefined--
o	320	462	504	2978	1293	1333	2978	2333	2429
o	437	630	1002	2337	1133	2998	2337	2176	4936
oː 	1006	476	1000	4932	1611	2999	4932	2474	4937
o	479	520	--undefined--	2639	1084	--undefined--	2639	2162	--undefined--
o	585	811	--undefined--	2948	1982	--undefined--	2948	3240	--undefined--
a ᵃ ^̰	355	446	653	2992	1440	1413	2992	2149	2080
ᵃ^̰ a	389	642	1272	2184	1512	2133	2184	2048	2967
ɛː	541	454	655	1922	1845	1382	1922	2498	2218
aː 	2017	675	605	3328	1382	1553	3328	2222	2735
a	440	812	352	2376	1408	1741	2376	1984	2565
a	657	576	509	2219	1489	2295	2219	2450	2507
a	384	631	--undefined--	2273	1512	--undefined--	2273	2213	--undefined--
ũːː 	623	439	--undefined--	2724	1230	--undefined--	2724	2162	--undefined--
ãː 	335	535	329	2592	1468	1652	2592	2152	2482
ɛː 	501	446	707	2055	1820	1389	2055	2494	2072
aː 	1125	703	410	3003	1377	1525	3003	2051	2523
a	438	650	524	2364	1490	1427	2364	2119	2700
a	759	511	495	2055	1379	2065	2055	2567	2874
ia	411	485	527	2316	1681	1730	2316	2415	2975
ũː	414	401	--undefined--	2070	1841	--undefined--	2070	1973	--undefined--
o	556	485	--undefined--	2838	908	--undefined--	2838	2405	--undefined--
aː 	1771	674	581	3665	1242	1353	3665	2104	2148
a ᵃ^̰ 	469	575	225	2139	1048	1389	2139	2120	2228
ᵃ^̰ a	792	650	597	3258	1175	1293	3258	2123	2066
i	788	287	575	3191	1760	1616	3191	2211	2566
ãː	614	501	219	3193	1241	1358	3193	2063	2109
i	872	340	--undefined--	2369	2084	--undefined--	2369	2401	--undefined--
a	434	359	--undefined--	2819	1394	--undefined--	2819	2192	--undefined--
iːː	1817	295	328	3193	2261	1526	3193	2803	2573
i	290	330	277	2984	2334	2239	2984	2880	2668
a	296	554	299	2832	1609	2322	2832	2571	2863
iːː	283	297	271	2322	2195	2057	2322	2879	2665
i	563	294	--undefined--	2548	2210	--undefined--	2548	2875	--undefined--
i	712	273	--undefined--	2660	2076	--undefined--	2660	2612	--undefined--
o	424	488	507	2573	1151	688	2573	2445	2709
o	493	461	654	2297	713	1123	2297	2755	2439
o	398	488	468	3076	1222	893	3076	2423	2684
o	485	457	--undefined--	2425	846	--undefined--	2425	2776	--undefined--
a	716	587	283	3058	1625	2082	3058	2632	2689
i	605	247	--undefined--	2384	2277	--undefined--	2384	3251	--undefined--
a	851	483	1731	3227	1225	2562	3227	2251	3207
i	634	226	--undefined--	2475	2235	--undefined--	2475	2792	--undefined--
a	854	568	1916	3076	1579	2577	3076	2543	3162
i	566	340	--undefined--	2563	2260	--undefined--	2563	3104	--undefined--
a	603	559	1465	3172	1551	2359	3172	2660	3301
i	503	295	--undefined--	1998	2161	--undefined--	1998	2916	--undefined--
a	273	668	292	2614	1490	1416	2614	2593	2638
a ᵃ^̰	672	545	803	2617	1434	1438	2617	2106	2826
ᵃ^̰ ɐ 	307	788	--undefined--	2627	1342	--undefined--	2627	2906	--undefined--
a	294	619	373	2550	1524	1439	2550	2565	2607
a ᵃ^̰	623	549	703	2436	1306	1417	2436	2132	1982
ᵃ^̰ ɐ	485	662	--undefined--	2424	1307	--undefined--	2424	2107	--undefined--
i ⁱ^̰	324	297	468	2475	2343	1281	2475	2522	2385
ⁱ^̰ i	456	265	--undefined--	2397	2347	--undefined--	2397	2711	--undefined--
i ⁱ^̰	335	321	453	2611	2191	1416	2611	2467	2479
ⁱ^̰ i	438	297	--undefined--	2454	1213	--undefined--	2454	2506	--undefined--
u	922	354	1845	3057	1308	2455	3057	2487	3078
i	1844	283	430	3075	2191	2099	3075	2897	2697
i	284	431	--undefined--	3022	2559	--undefined--	3022	2709	--undefined--
u	599	348	1657	3286	1116	2365	3286	2479	3324
i	1795	286	382	3169	2124	1170	3169	2887	2497
i	289	448	--undefined--	2955	2599	--undefined--	2955	2938	--undefined--
u	320	339	1673	2469	1306	2125	2469	2176	3107
ã	1685	537	309	2676	1595	2616	2676	2242	2992
ĩ	452	373	--undefined--	2350	1724	--undefined--	2350	2802	--undefined--
a	530	646	493	2975	982	962	2975	2277	2370
a	615	608	--undefined--	2358	1055	--undefined--	2358	2006	--undefined--
a ᵃ^̰ 	554	670	690	3291	1054	1138	3291	2364	2298
 a	641	705	1157	2325	1187	2224	2325	2246	3395
a	286	583	539	2900	1011	918	2900	2209	2370
o 	596	450	--undefined--	2227	658	--undefined--	2227	2423	--undefined--
õ ᵒ^̰	735	445	470	2298	1456	729	2298	2640	2585
ᵒ^̰ õ	475	459	--undefined--	2920	1459	--undefined--	2920	2850	--undefined--
õᵒ^̰	356	377	456	2429	661	1493	2429	2644	2925
ᵒ^̰õ 	468	457	372	2931	1448	1782	2931	1722	2684
ã ᵃ^̰ 	512	713	755	2388	1049	1205	2388	2042	2038
ᵃ^̰ ã	682	404	422	1920	992	1521	1920	2385	1982
ɛ 	636	422	329	1883	1367	1322	1883	1872	2442
 ĩ	391	303	--undefined--	2650	1660	--undefined--	2650	2199	--undefined--
ã ᵃ^̰ 	531	725	629	2448	1159	1308	2448	1797	1885
ᵃ^̰ ã	801	447	431	2344	951	1143	2344	2199	1698
ẽ	628	480	276	1866	1264	1311	1866	2041	2560
 ĩ 	443	271	--undefined--	2696	1322	--undefined--	2696	2544	--undefined--
ã ᵃ^̰ 	657	722	758	2567	995	1171	2567	2149	2039
ᵃ^̰ ã	749	808	489	2104	1198	803	2104	2016	2632
ɛː 	849	358	--undefined--	2138	1694	--undefined--	2138	2198	--undefined--
ã 	648	723	761	2729	1098	1232	2729	2311	2430
ã	724	553	426	2208	1119	1105	2208	2478	2407
e	508	293	--undefined--	2579	1836	--undefined--	2579	2360	--undefined--
ã ᵃ^̰	547	790	724	3102	904	1077	3102	2285	2351
ᵃ^̰ ã 	814	754	229	2060	1412	1399	2060	2221	2474
 i	757	257	--undefined--	2750	1196	--undefined--	2750	2471	--undefined--
ã	559	821	750	3125	921	1172	3125	2422	2038
ã	846	738	225	2367	1399	1427	2367	2179	2433
i	697	210	--undefined--	2755	1890	--undefined--	2755	2926	--undefined--
ã ᵃ^̰	427	728	701	2355	1019	1222	2355	2145	2298
ᵃ^̰ ã 	860	946	--undefined--	2115	1242	--undefined--	2115	2264	--undefined--
ũ	415	318	342	2561	1420	1410	2561	2658	2595
ũ	418	320	466	2510	794	1504	2510	2563	2730
 iː 	590	269	--undefined--	2594	1452	--undefined--	2594	2740	--undefined--
ũ	270	474	396	2889	1403	1324	2889	2947	2577
ũ	425	484	405	2752	1098	1534	2752	2899	3113
õ	322	443	336	2580	1487	1353	2580	3124	2493
ɛ 	452	501	871	2935	1274	1489	2935	2446	2820
a	449	890	--undefined--	2288	1521	--undefined--	2288	2669	--undefined--
i	1117	362	297	2924	2272	1697	2924	2835	2629
a	223	684	438	2432	1403	1338	2432	2351	2273
e	538	437	354	2578	1498	2195	2578	2342	2894
i	630	414	--undefined--	2466	2186	--undefined--	2466	2768	--undefined--
ũ 	401	399	355	3164	1392	1448	3164	2918	2976
ũ 	355	474	329	2970	793	1495	2970	2929	2656
ĩː	582	281	676	3018	1157	1879	3018	2574	2919
ũ	376	314	397	3058	1403	1355	3058	2871	2608
ũ	396	518	449	2794	976	1331	2794	2710	2885
ũ	341	339	1036	2625	756	1432	2625	2747	2782
a	526	791	--undefined--	2875	1347	--undefined--	2875	2492	--undefined--
a	674	717	279	2402	1406	1279	2402	2005	2257
i 	262	305	--undefined--	1948	2102	--undefined--	1948	2802	--undefined--
ũ 	304	262	270	2459	545	536	2459	2512	2533
a	277	541	353	2508	1292	1819	2508	2363	2526
i 	410	342	--undefined--	2228	2256	--undefined--	2228	2971	--undefined--
a ᵃ^̰ 	686	645	480	2388	1418	1456	2388	2371	2239
i	321	307	--undefined--	2627	1216	--undefined--	2627	2733	--undefined--
aᵃ^̰ 	666	792	593	2361	1583	1422	2361	2658	2598
i	372	259	--undefined--	2638	1455	--undefined--	2638	2680	--undefined--
a ᵃ^̰ 	1387	650	540	3617	1205	1178	3617	2032	2269
i	443	311	--undefined--	2304	2324	--undefined--	2304	2949	--undefined--
a ᵃ^̰	543	577	414	2192	1197	1249	2192	2076	2325
i	415	288	--undefined--	2333	2183	--undefined--	2333	2907	--undefined--
ɛ	912	457	585	3278	1878	1428	3278	2483	2470
a	386	510	--undefined--	2432	1354	--undefined--	2432	2200	--undefined--
ɛ	825	430	289	2551	1864	1656	2551	2458	2593
a	376	472	--undefined--	2418	1219	--undefined--	2418	2160	--undefined--
ɛ	1035	437	595	3172	1928	1427	3172	2465	2369
a	820	658	741	2620	1538	1960	2620	2310	2808
ɛ	257	290	--undefined--	2910	1880	--undefined--	2910	2491	--undefined--
ɛ 	626	443	1021	2696	1769	2156	2696	2561	3306
a	327	670	--undefined--	2541	1350	--undefined--	2541	2328	--undefined--
ɛ 	825	395	765	2278	1713	1833	2278	2448	2722
a	393	629	--undefined--	2414	1307	--undefined--	2414	2184	--undefined--
ɛ	900	451	333	2272	1973	1632	2272	2560	2676
a	454	538	324	2606	1311	2123	2606	2345	2573
ɛ	383	367	--undefined--	2666	1164	--undefined--	2666	2388	--undefined--
i	589	341	--undefined--	2691	2471	--undefined--	2691	2831	--undefined--
ɛ	908	301	493	2891	1638	1197	2891	2376	2147
a	416	493	242	2453	1197	1667	2453	2148	3015
ɛ	324	252	--undefined--	2088	1684	--undefined--	2088	2366	--undefined--
ɛ	781	306	520	2837	1613	1262	2837	2529	2249
a	436	520	358	2495	1262	2339	2495	2248	2915
ɛ	370	317	--undefined--	2854	1149	--undefined--	2854	2463	--undefined--
i	443	340	--undefined--	3076	2552	--undefined--	3076	2774	--undefined--
ɛ	645	423	400	2456	1858	1741	2456	2625	2867
a	414	566	350	2532	1570	1629	2532	2491	2657
i	417	360	--undefined--	2649	1720	--undefined--	2649	2720	--undefined--
ɛ 	1312	335	595	3408	1868	1428	3408	2506	2430
a	434	529	--undefined--	2460	1369	--undefined--	2460	2156	--undefined--
ɛ	930	289	570	2998	1695	1360	2998	2454	2220
a	380	434	--undefined--	2471	1362	--undefined--	2471	2243	--undefined--
ɛ 	695	438	514	2374	1804	1749	2374	2379	2523
a	428	536	460	2389	1414	1434	2389	1899	2077
ɛ	418	455	--undefined--	3282	1297	--undefined--	3282	2631	--undefined--
a	618	659	--undefined--	2681	1383	--undefined--	2681	2255	--undefined--
ɛ 	668	389	571	2534	1678	1578	2534	2490	2526
a	414	565	344	2430	1371	1401	2430	1924	1887
ɛ	361	499	--undefined--	2469	1402	--undefined--	2469	2672	--undefined--
a	730	414	--undefined--	2530	1343	--undefined--	2530	2221	--undefined--
ɛ	531	448	633	2601	1757	1546	2601	2100	2443
a	402	646	305	2230	1466	2161	2230	2865	2712
ei	339	243	--undefined--	2475	2308	--undefined--	2475	3073	--undefined--
ɛ	798	347	325	3195	1513	2177	3195	2273	2635
i	370	354	--undefined--	2451	2085	--undefined--	2451	2793	--undefined--
ɛ	827	471	554	2907	1742	1648	2907	2243	2590
a	470	629	723	2259	1444	1427	2259	1774	2468
a	325	852	--undefined--	2749	1375	--undefined--	2749	2192	--undefined--
ɛ	585	361	511	2670	1634	1437	2670	2162	2447
a	440	583	--undefined--	2449	1500	--undefined--	2449	2655	--undefined--
a	351	773	--undefined--	2178	1423	--undefined--	2178	2224	--undefined--
ɛ	873	447	294	2826	1819	1910	2826	2788	2424
i	428	327	--undefined--	2379	2270	--undefined--	2379	2819	--undefined--
i	1420	315	256	3092	2219	1705	3092	2359	2741
a	301	650	408	2336	1464	1196	2336	2292	2204
