Vowel	F1_pt2	F1_mid	F1_pt8	F2_pt2	F2_mid	F2_pt8	F3_pt2	F3_mid	F3_pt8
aː	846	698	516	1323	1319	1376	2416	2483	2301
a	573	595	0	1500	1491	0	2638	2270	0
ĩːː	770	350	365	2302	2281	1892	3217	3108	2483
ĩːː	449	513	372	1250	2378	1874	2360	3289	2497
ĩːː	340	380	355	1677	1639	2159	2404	2644	2568
ĩːː	351	284	314	2188	1695	1529	2359	2400	2361
ɛ	436	450	320	1750	1948	2253	3099	2630	2718
ĩːː	478	277	0	1937	1586	0	2450	2603	0
ĩːː	295	305	296	1821	1518	1884	2565	2764	2217
ĩːː	296	267	227	1366	1692	1672	2530	2777	2585
ũ	971	393	457	1771	2429	901	2498	2870	2474
i	1492	322	427	2510	2066	1708	2724	2347	2580
u	2060	436	0	2530	895	0	3290	2369	0
ũ	1755	364	292	2456	1088	2096	2889	2502	3149
i	2006	298	692	2649	2118	2015	3229	2410	3247
o	374	392	0	1418	882	0	2310	2385	0
ãː	682	1142	398	1880	1461	1460	2950	2650	2397
ãː	282	407	778	1241	1142	1583	2251	2033	2759
ɛᵋ̰	286	466	517	1585	1746	1843	2634	2806	2829
ᵋ̰ɛ	914	513	0	2186	1822	0	2936	2736	0
ĩːː	523	300	523	1985	1228	2285	2472	2705	2929
ĩːː	352	395	200	1061	1474	2374	2477	2757	2857
ĩːː	580	350	259	1574	1200	2253	2580	2681	2904
ĩːː	370	346	1643	1603	1675	2887	2162	2776	3887
ĩːː	351	346	348	1676	1516	1744	2515	2621	3042
aᵃ̰	589	567	586	2208	925	1082	3393	2271	2191
ᵃ̰a	539	614	0	877	1277	0	2295	2167	0
ĩːː	472	380	516	1882	2466	2391	2655	3288	3090
ĩːː	339	417	284	1344	1265	1543	2611	2853	2683
ĩːː	345	413	363	1574	1762	1491	2314	2937	2508
i	275	336	610	2204	2377	1630	2481	2856	2397
a	283	568	324	2117	1542	2067	2659	2303	2634
iː	593	347	0	1627	2206	0	2404	2849	0
aːː	237	708	478	2284	1351	1597	3088	2164	2297
aːː	321	711	714	2012	1425	1379	2742	2350	2277
i	973	294	308	2178	1941	1569	2276	2212	2204
i	333	275	0	1955	2210	0	2232	3283	0
ṵ̃ː	1407	375	687	2247	2147	2280	2841	2829	3182
oː	519	557	0	1773	895	0	2600	2805	0
iⁱ̰	640	298	282	684	2232	2217	3061	2988	2520
ⁱ̰i	341	300	495	1490	2182	877	2348	2474	3030
o	354	601	0	2322	932	0	2807	3078	0
iⁱ̰	796	328	254	799	2013	1454	2381	2344	2454
ⁱ̰iː	322	341	0	1956	2267	0	2343	3075	0
iⁱ̰	759	278	260	1471	2200	1603	2268	2411	2559
ⁱ̰iː	333	303	0	522	2250	0	2346	2883	0
a	360	606	353	1796	1404	962	2693	2487	2616
u	204	373	342	2068	866	912	2809	2708	2654
u	339	355	457	1301	872	1176	2578	2596	2588
o	359	545	0	898	837	0	2697	2961	0
i	424	284	312	1902	2222	1437	2340	2309	2424
i	280	239	504	2217	2084	947	2333	2425	2507
o	288	725	0	1617	1499	0	2906	2853	0
ɛː	242	344	558	1470	1916	1803	2286	2818	2611
ɛ̃ː	241	280	298	1565	1826	1044	2450	2658	2328
ũ	292	303	0	1805	1347	0	2687	2308	0
aː	327	740	1128	854	1459	2193	2549	2436	3075
o	601	324	0	1341	872	0	2482	2680	0
aː	317	722	1877	629	1388	2475	2366	2437	3414
o	522	349	0	1373	893	0	2613	2392	0
aː	361	772	300	1276	1309	1950	2472	2384	2432
o	615	407	0	1404	924	0	1700	2572	0
ũ	600	529	384	1957	896	1367	3153	2232	2881
i	569	307	429	2147	1923	2207	3178	2516	3273
i	362	273	693	838	2179	1857	2392	2821	3039
ũː	402	360	0	1005	555	0	2311	2321	0
ũ	1000	537	403	2998	1113	1861	4937	2199	3009
i	538	317	322	902	1722	1012	2205	2348	2480
i	467	274	1053	2050	2014	1521	3186	2715	2890
ũː	423	326	0	2237	1114	0	3205	2295	0
ĩːː	334	366	653	1128	1331	1673	2453	2577	2849
ĩːː	337	343	0	1229	1500	0	2396	2438	0
iːː	933	271	1337	1630	1535	1992	3105	2657	3309
ĩːː	283	314	0	1422	1615	0	2317	2624	0
i	490	266	236	1657	2274	2213	2909	2990	2980
i	486	319	293	1747	2234	2188	3102	3051	2916
iⁱ̰	266	310	457	2227	1847	1562	2986	2278	2924
ⁱ̰iː	334	243	394	1916	2202	1715	2950	2901	2428
ĩːː	423	404	469	1738	1807	1510	2687	2567	2626
iː	284	301	0	2159	2220	0	2507	2882	0
a	295	564	0	2200	1516	0	2950	2215	0
aː	1449	699	651	2218	1285	1399	3209	2140	2279
aː	509	497	0	1526	1185	0	2589	2162	0
aː	858	717	571	1966	1314	1664	3262	2202	1942
aː	723	834	0	1315	1360	0	2203	2236	0
a	268	651	1828	1718	1392	2581	2625	2321	3573
i	621	301	786	1653	2182	1349	2646	2721	2159
aː	478	778	0	1308	1367	0	2334	2103	0
a	368	548	308	1706	1381	1902	3048	2421	2549
i	988	293	663	1987	2110	1370	2695	2696	2185
aː	624	666	0	1386	1346	0	2520	2177	0
i	283	313	700	2069	1902	1402	2793	2408	2352
a	303	662	1918	2101	1471	2472	2967	2255	3430
i	302	307	429	1946	2147	1284	2399	2578	2000
aː	597	709	0	1540	1331	0	2410	2144	0
i	326	312	1312	1953	2106	2305	2528	2505	3323
a	1410	559	1754	2475	1413	2588	3461	2530	3653
i	312	310	763	1944	2067	1397	2417	2559	2068
aː	457	764	0	1469	1315	0	2542	2109	0
a	328	718	1896	1416	1437	2421	2519	2240	3611
i	518	286	690	1494	2189	1180	2516	2886	2086
aː	620	717	0	1440	1256	0	2337	2149	0
a	900	476	822	1730	1547	1638	2908	2684	3079
ia	527	490	408	1549	1545	1606	2593	2421	2489
ĩː	783	370	0	1609	1597	0	2895	2353	0
a	1012	526	694	1619	1558	1710	2626	2581	2681
ia	537	478	413	1584	1799	1556	2500	2482	2616
ĩː	601	262	0	1611	1806	0	2661	2609	0
u	796	335	970	829	970	1817	2343	2704	2831
a	362	516	349	1119	1555	2186	2794	2519	2948
ĩ	993	366	447	1775	2378	1961	2567	3137	2795
ã	877	546	0	2429	1556	0	3306	2252	0
i	605	265	0	1360	1989	0	2284	2802	0
ũ	466	400	395	1698	1234	779	2690	2917	2832
a	374	588	877	921	983	1557	3000	2378	2421
a	373	801	383	1066	1310	805	2951	2073	2587
ũ	376	423	0	2174	1219	0	2851	2509	0
ũ	474	394	387	1711	1199	794	2702	2935	2837
a	373	588	868	880	995	1579	3014	2365	2443
a	377	797	189	1065	1321	538	2942	2096	2359
ũ	364	421	382	2058	1259	968	2841	2491	2319
ũː	833	391	0	1316	730	0	2245	2293	0
a	1499	535	0	2355	1494	0	3131	1812	0
ũ	1235	414	701	2156	1129	1473	2656	2809	2247
a	342	754	661	653	1482	1600	2448	2322	2633
a	345	611	549	1144	1596	1515	2608	2656	2620
a	737	632	560	1473	1562	956	2254	2037	1708
o	274	388	661	1384	1000	1417	2529	2880	2416
a	647	538	0	1597	1471	0	2640	2391	0
a	498	526	0	1752	1475	0	2735	2446	0
u	408	386	0	2190	940	0	2668	2504	0
a	171	700	0	890	1421	0	2539	2444	0
a	392	612	0	1694	1412	0	2343	2599	0
a	228	544	293	1513	1469	2187	2837	2592	2678
i	315	312	1774	1965	2347	2590	2901	2564	3470
i	497	277	166	1484	2119	1384	2588	2845	2715
aː	1786	631	540	2572	1327	1032	3655	2082	2198
i	299	279	0	1715	2148	0	2594	2659	0
ãĩ	830	331	0	1962	2110	0	2708	2308	0
ĩːː	354	364	437	1441	2339	1619	2563	2717	2600
ĩːː	261	297	342	2201	1888	1805	2587	2889	2534
a	1126	521	0	2694	1633	0	2893	2492	0
i	1001	378	0	2991	2077	0	4937	2559	0
iːː	308	488	0	2206	1690	0	2851	2733	0
ĩːː	1009	425	467	2653	1568	1660	4231	2790	2746
ĩːː	445	298	321	1780	1444	1873	3004	2447	2434
a	268	529	1288	1725	1589	1691	2990	2515	3018
i	472	343	0	1654	1898	0	2764	2483	0
iːː	307	343	0	1474	1642	0	2512	2597	0
ĩːː	349	362	456	1571	2376	1621	2607	2669	2649
ĩːː	313	286	400	1469	1501	1816	2606	2565	2679
a	355	520	0	1617	1638	0	2588	2475	0
i	1000	326	0	2999	1528	0	4937	2652	0
iːː	305	496	0	1801	1645	0	2806	2702	0
o	895	462	645	2111	1293	1583	3426	2333	2905
o	328	630	310	1806	1133	1724	2417	2176	2825
oː	495	476	497	1162	1611	1135	2292	2474	2230
o	718	520	0	1288	1084	0	2195	2162	0
o	275	811	0	1733	1982	0	2800	3240	0
aᵃ̰	455	446	613	1652	1440	1507	2882	2149	1840
ᵃ̰a	354	642	445	1930	1512	1751	2682	2048	2431
ɛː	622	454	487	1584	1845	1449	2173	2498	2272
aː	691	675	552	1520	1382	1485	2334	2222	2423
a	291	812	492	1536	1408	1499	2596	1984	2342
a	441	576	0	1726	1489	0	2359	2450	0
a	378	631	0	1915	1512	0	2347	2213	0
ũːː	670	439	0	1405	1230	0	2261	2162	0
ãː	556	535	1490	1762	1468	2614	3078	2152	2982
ɛː	436	446	436	1714	1820	1560	2487	2494	2280
aː	566	703	496	1419	1377	2098	1990	2051	2536
a	298	650	409	1598	1490	1661	2380	2119	2955
a	451	511	483	1835	1379	1706	2568	2567	2922
ia	436	485	0	1915	1681	0	2329	2415	0
ũː	725	401	0	1652	1841	0	2317	1973	0
o	718	485	0	1404	908	0	2057	2405	0
aː	460	674	601	1497	1242	1660	2154	2104	2727
aᵃ̰	482	575	669	1299	1048	1234	2141	2120	2104
ᵃ̰a	672	650	652	1348	1175	1832	2124	2123	3113
i	667	287	802	1362	1760	1722	2068	2211	2859
ãː	638	501	0	1201	1241	0	2015	2063	0
i	647	340	0	1866	2084	0	2936	2401	0
a	703	359	0	1953	1394	0	3090	2192	0
iːː	331	295	282	2125	2261	1197	2672	2803	2134
i	340	330	297	2053	2334	2282	2753	2880	2856
a	284	554	247	2189	1609	1562	2877	2571	2435
iːː	289	297	0	2303	2195	0	2967	2879	0
i	189	294	0	1909	2210	0	2673	2875	0
i	347	273	0	1613	2076	0	2523	2612	0
o	1475	488	476	3012	1151	721	3664	2445	2758
o	528	461	0	1891	713	0	2795	2755	0
o	1676	488	462	3192	1222	816	3650	2423	2746
o	475	457	0	1620	846	0	2617	2776	0
a	581	587	247	1645	1625	2356	3155	2632	2812
i	673	247	0	1998	2277	0	3169	3251	0
a	1153	483	270	1888	1225	1992	3304	2251	2702
i	700	226	0	831	2235	0	2817	2792	0
a	1082	568	309	2586	1579	2273	3859	2543	3147
i	592	340	0	906	2260	0	2632	3104	0
a	525	559	305	1566	1551	2125	3552	2660	2875
i	855	295	0	2083	2161	0	3710	2916	0
a	236	668	648	1874	1490	1446	2641	2593	2128
aᵃ̰	252	545	744	1638	1434	1447	2612	2106	2142
ᵃ̰ɐ	653	788	0	1484	1342	0	2584	2906	0
a	306	619	453	2374	1524	1403	2637	2565	2593
aᵃ̰	273	549	594	2352	1306	1213	2552	2132	2119
ᵃ̰ɐ	627	662	0	1560	1307	0	2456	2107	0
iⁱ̰	512	297	598	1827	2343	1542	2813	2522	2284
ⁱ̰i	351	265	0	2277	2347	0	2664	2711	0
iⁱ̰	652	321	523	1785	2191	1497	3211	2467	2295
ⁱ̰i	323	297	0	2198	1213	0	2437	2506	0
u	422	354	1872	1409	1308	2507	2520	2487	3149
i	356	283	440	1172	2191	2558	2529	2897	2714
i	1771	431	0	2481	2559	0	3049	2709	0
u	673	348	1800	1082	1116	2376	2752	2479	3156
i	348	286	373	1272	2124	2078	2409	2887	2738
i	1970	448	0	2516	2599	0	3222	2938	0
u	1020	339	1691	2096	1306	2274	3234	2176	2672
ã	368	537	349	1393	1595	1444	2292	2242	2530
ĩ	1674	373	0	2188	1724	0	2695	2802	0
a	572	646	732	836	982	1154	3290	2277	2186
a	600	608	0	924	1055	0	2303	2006	0
aᵃ̰	589	670	638	1199	1054	1151	2362	2364	2179
a	490	705	0	711	1187	0	2669	2246	0
a	327	583	369	575	1011	700	2833	2209	2463
o	513	450	0	2279	658	0	3391	2423	0
õᵒ̰	727	445	463	1081	1456	1455	2603	2640	2898
ᵒ̰õ	458	459	0	1209	1459	0	2486	2850	0
õᵒ̰	778	377	450	1108	661	1565	2249	2644	2976
ᵒ̰õ	358	457	0	655	1448	0	2658	1722	0
ãᵃ̰	343	713	635	1414	1049	1180	2490	2042	1884
ᵃ̰ã	534	404	356	831	992	968	2242	2385	2285
ɛ	589	422	0	1091	1367	0	1799	1872	0
ĩ	756	303	0	1207	1660	0	2035	2199	0
ãᵃ̰	551	725	648	881	1159	1188	2590	1797	2173
ᵃã	695	447	263	843	951	1485	2273	2199	1598
ẽ	749	480	164	1108	1264	1786	1999	2041	2784
ĩ	756	271	0	1273	1322	0	2061	2544	0
ãᵃ̰	484	722	751	1340	995	1208	2540	2149	1939
ᵃ̰ã	683	808	420	1604	1198	1179	2431	2016	1950
ɛː	761	358	0	1208	1694	0	1996	2198	0
ã	633	723	677	1445	1098	1230	2678	2311	2192
ã	580	553	394	1082	1119	1838	2671	2478	2137
e	657	293	0	1190	1836	0	2312	2360	0
ãᵃ̰	657	790	797	777	904	1168	2426	2285	2162
ᵃ̰ã	705	754	285	726	1412	1514	2434	2221	2401
i	769	257	0	1155	1196	0	2063	2471	0
ã	691	821	727	711	921	1282	2298	2422	1908
ã	540	738	300	718	1399	1381	2422	2179	2447
i	771	210	0	1148	1890	0	2036	2926	0
ãᵃ̰	591	728	861	1083	1019	1231	2379	2145	2083
ᵃ̰ã	815	946	0	844	1242	0	2418	2264	0
ũ	685	318	364	2031	1420	1271	3362	2658	2494
ũ	339	320	301	1415	794	1438	2597	2563	2606
iː	301	269	0	906	1452	0	2505	2740	0
ũ	606	474	457	1846	1403	796	2844	2947	2543
ũ	461	484	405	1423	1098	804	3355	2899	2390
õ	435	443	819	1369	1487	1447	2789	3124	2735
ɛ	354	501	0	1299	1274	0	2561	2446	0
a	621	890	0	825	1521	0	2671	2669	0
i	267	362	294	1874	2272	1661	2974	2835	2829
a	449	684	336	2224	1403	1986	2542	2351	2838
e	299	437	0	2155	1498	0	2324	2342	0
i	227	414	0	1770	2186	0	2742	2768	0
ũ	749	399	332	2131	1392	551	2738	2918	2406
ũ	383	474	268	1345	793	1394	3011	2929	2751
ĩː	319	281	0	1768	1157	0	2888	2574	0
ũ	754	314	392	2069	1403	1490	2946	2871	2624
ũ	385	518	386	1496	976	927	3045	2710	2858
ũ	425	339	0	1329	756	0	2745	2747	0
a	339	791	0	1904	1347	0	2839	2492	0
a	581	717	264	1621	1406	1452	2364	2005	1736
i	677	305	0	1413	2102	0	2375	2802	0
ũ	335	262	340	1789	545	742	2687	2512	2478
a	272	541	290	557	1292	1831	2515	2363	2516
i	360	342	0	884	2256	0	2454	2971	0
aᵃ̰	678	645	423	1586	1418	1398	2601	2371	2497
i	725	307	0	1595	1216	0	2540	2733	0
aᵃ̰	705	792	387	1579	1583	1396	2513	2658	2637
i	731	259	0	1542	1455	0	2356	2680	0
aᵃ̰	645	650	525	1716	1205	1251	2360	2032	2285
i	658	311	0	1255	2324	0	2081	2949	0
aᵃ̰	616	577	319	1720	1197	1715	2315	2076	2297
i	596	288	0	1174	2183	0	2068	2907	0
ɛ	784	457	434	1847	1878	1309	2765	2483	2180
a	795	510	0	2174	1354	0	3050	2200	0
ɛ	761	430	537	2015	1864	1521	2983	2458	2508
a	580	472	0	1567	1219	0	2519	2160	0
ɛ	666	437	475	1755	1928	897	2760	2465	2488
a	927	658	0	2214	1538	0	3081	2310	0
ɛ	631	290	0	1629	1880	0	2650	2491	0
ɛ	657	443	688	1894	1769	1442	2860	2561	2265
a	633	670	0	1767	1350	0	2461	2328	0
ɛ	817	395	607	2170	1713	1398	3271	2448	2345
a	820	629	0	2154	1307	0	2649	2184	0
ɛ	914	451	582	2152	1973	1445	3326	2560	2408
a	971	538	436	1977	1311	1542	3634	2345	2793
ɛ	466	367	0	1719	1164	0	2462	2388	0
i	452	341	0	1971	2471	0	2562	2831	0
ɛ	864	301	395	1913	1638	1028	3107	2376	2430
a	836	493	0	2220	1197	0	3229	2148	0
ɛ	829	252	0	2108	1684	0	2687	2366	0
ɛ	1028	306	370	2194	1613	1035	3420	2529	2431
a	952	520	0	2193	1262	0	2943	2248	0
ɛ	853	317	0	1787	1149	0	2520	2463	0
i	415	340	0	2143	2552	0	2291	2774	0
ɛ	1174	423	573	2214	1858	1526	3359	2625	2454
a	467	566	752	1386	1570	2027	2455	2491	3033
i	433	360	0	1894	1720	0	2539	2720	0
ɛ	754	335	554	2041	1868	1372	3170	2506	2062
a	871	529	0	1761	1369	0	2944	2156	0
ɛ	851	289	1345	2199	1695	2253	2700	2454	3270
a	1046	434	0	1877	1362	0	3007	2243	0
ɛ	1331	438	548	2050	1804	1436	3337	2379	1970
a	749	536	661	1985	1414	1440	2843	1899	2465
ɛ	795	455	0	1969	1297	0	2524	2631	0
a	420	659	0	1726	1383	0	2345	2255	0
ɛ	1231	389	565	2219	1678	1369	3310	2490	1929
a	816	565	618	1942	1371	1445	2701	1924	2513
ɛ	833	499	0	2304	1402	0	2951	2672	0
a	413	414	0	1780	1343	0	2447	2221	0
ɛ	679	448	377	1680	1757	853	2731	2100	2659
a	628	646	678	1563	1466	1794	2704	2865	2770
ei	621	243	0	1869	2308	0	2546	3073	0
ɛ	721	347	351	1966	1513	1935	3222	2273	2643
i	692	354	0	1658	2085	0	2528	2793	0
ɛ	1129	471	594	2452	1742	1449	3484	2243	2472
a	580	629	0	1475	1444	0	2475	1774	0
a	592	852	0	1993	1375	0	2499	2192	0
ɛ	1082	361	604	2265	1634	1386	3314	2162	2483
a	613	583	0	1547	1500	0	2673	2655	0
a	706	773	0	1782	1423	0	2509	2224	0
ɛ	613	447	351	1685	1819	1826	2509	2788	2616
i	1029	327	0	2078	2270	0	3173	2819	0
i	1492	315	821	2708	2219	1888	3627	2359	2674
a	463	650	391	1603	1464	1839	2238	2292	2676
e	309	416	1002	1938	1266	2989	2484	2184	4936
i	275	369	0	1794	2275	0	2757	2847	0
i	652	345	1952	2274	2117	2549	3039	2612	3366
i	329	435	0	2130	2133	0	2720	2892	0
i	652	345	1952	2274	2117	2549	3039	2612	3366
i	329	435	0	2130	2133	0	2720	2892	0
i	772	315	1988	2387	2161	2594	3020	2872	3240
i	354	246	508	2209	2540	1419	2886	2945	2447
u	1958	256	0	2692	971	0	3163	2322	0
i	1506	305	1996	2568	2165	2454	3273	2687	3269
i	293	293	407	2193	2125	1314	2733	2831	2414
u	1852	233	0	2525	1206	0	3536	2320	0
a	257	557	1371	1442	1571	1859	2498	2316	2194
a	549	670	300	1531	1509	2027	2521	2191	2602
iⁱ̰	545	317	297	1539	2427	2523	2325	2558	2804
ⁱ̰i	582	336	0	1519	2462	0	2410	2709	0
i	653	259	0	1485	2456	0	2148	3089	0
a	255	543	620	1563	1438	1617	2627	2175	2279
a	530	592	370	1580	1535	1222	2423	2187	2343
i	522	452	0	1453	2483	0	2158	2741	0
i	1457	297	0	2190	2269	0	3266	2886	0
i	257	455	1596	1447	2074	2634	2174	2822	2967
i	277	337	0	808	2336	0	2587	3037	0
i	319	554	1784	2261	1650	2693	2666	2467	3452
i	633	360	0	1879	1661	0	2513	2384	0
iː	249	285	0	2233	1534	0	3467	2400	0
iː	267	348	0	1726	1068	0	2950	2249	0
iː	352	297	0	1721	2183	0	3082	2957	0
ĩːː	230	360	0	1857	2295	0	2852	3000	0
ĩː	331	360	0	1811	2190	0	2615	2262	0
ĩːː	212	376	0	2015	2255	0	3035	2901	0
ĩːː	1442	347	0	2480	1735	0	3463	2546	0
ĩː	1557	353	0	2551	1822	0	3436	2734	0
a	1208	684	649	1555	1387	1776	2052	2632	2691
a	617	677	0	1473	1440	0	2559	2258	0
a	502	837	385	1674	1329	1341	2983	2182	2195
a	772	848	0	1688	1598	0	2768	2821	0
