LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	F0min	F0mid	F0max	F0StdDev	Sourcefile								LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	z-scores	F0min	F0mid	F0max	F0StdDev	Sourcefile
High	-un-	-un-	127	109	108	104	113	-un-	-un-	107	103	108	126	4.6	DGTS_1-10_01_spkrTS								High			127	109	108	104	113			107		103	108	126	4.6	DGTS_1-10_01_spkrTS
High	-un-	-un-	145	128	125	126	129	-un-	-un-	-un-	124	125	136	2.16	DGTS_191919191919_01_spkrTS								High			145	128	125	126	129					124	125	136	2.16	DGTS_191919191919_01_spkrTS
High	129	-un-	103	-un-	110	-un-	88	-un-	96	-un-	109	110	132	3.9	DGTS_191919191919_01_spkrTS								High	129		103		110		88		96			109	110	132	3.9	DGTS_191919191919_01_spkrTS
High	125	92	109	88	95	81	90	93	-un-	-un-	94	95	100	1.52	DGTS_191919191919_01_spkrTS								High	125	92	109	88	95	81	90	93				94	95	100	1.52	DGTS_191919191919_01_spkrTS
High	-un-	110	89	-un-	88	-un-	-un-	-un-	-un-	-un-	86	88	95	1.94	DGTS_191919191919_01_spkrTS								High		110	89		88							86	88	95	1.94	DGTS_191919191919_01_spkrTS
High	96	104	-un-	87	85	95	-un-	-un-	-un-	-un-	85	85	92	1.62	DGTS_191919191919_01_spkrTS								High	96	104		87	85	95						85	85	92	1.62	DGTS_191919191919_01_spkrTS
High	-un-	91	113	65	95	-un-	-un-	82	85	-un-	94	95	97	0.88	DGTS_415-251-1554_01_spkrTS								High		91	113	65	95			82	85			94	95	97	0.88	DGTS_415-251-1554_01_spkrTS
High	-un-	-un-	-un-	103	101	101	104	104	104	103	99	101	103	1.48	N_heart_01_spkrTS								High				103	101	101	104	104	104	103		99	101	103	1.48	N_heart_01_spkrTS
High	-un-	-un-	-un-	-un-	114	121	117	96	98	89	113	114	114	0.7	S_Q_who_killed_who_01_spkrTS								High					114	121	117	96	98	89		113	114	114	0.7	S_Q_who_killed_who_01_spkrTS
High	-un-	-un-	-un-	92	91	90	80	-un-	-un-	81	89	91	94	1.93	S_Q_who_killed_who_02_spkrTS								High				92	91	90	80			81		89	91	94	1.93	S_Q_who_killed_who_02_spkrTS
High	-un-	94	84	-un-	91	90	-un-	74	87	-un-	90	91	91	0.63	S_Q_who_killed_who_02_spkrTS								High		94	84		91	90		74	87			90	91	91	0.63	S_Q_who_killed_who_02_spkrTS
High	-un-	94	96	97	98	98	97	-un-	-un-	102	95	98	99	0.96	S_Q_will_it_rain_tomorrow_02_spkrTS								High		94	96	97	98	98	97			102		95	98	99	0.96	S_Q_will_it_rain_tomorrow_02_spkrTS
High	-un-	-un-	94	94	95	94	-un-	-un-	102	100	93	95	95	0.45	S_Q_will_it_rain_tomorrow_03_spkrTS								High			94	94	95	94			102	100		93	95	95	0.45	S_Q_will_it_rain_tomorrow_03_spkrTS
High	-un-	-un-	-un-	109	109	98	-un-	89	83	84	100	109	109	2.45	S_it_will_rain_tomorrow_03_spkrTS								High				109	109	98		89	83	84		100	109	109	2.45	S_it_will_rain_tomorrow_03_spkrTS
High	-un-	-un-	105	104	104	102	-un-	85	89	83	98	104	105	1.95	S_she_has_a_new_car_01_spkrTS								High			105	104	104	102		85	89	83		98	104	105	1.95	S_she_has_a_new_car_01_spkrTS
High	-un-	-un-	-un-	96	101	98	-un-	-un-	82	-un-	95	101	101	1.81	S_she_has_a_new_car_02_spkrTS								High				96	101	98			82			95	101	101	1.81	S_she_has_a_new_car_02_spkrTS
Rising	98	99	80	-un-	80	-un-	-un-	-un-	-un-	-un-	70	80	86	7.87	S_Q_will_it_rain_tomorrow_02_spkrTS								Rising	98	99	80		80							70	80	86	7.87	S_Q_will_it_rain_tomorrow_02_spkrTS
Rising	107	92	-un-	84	95	80	-un-	78	-un-	-un-	81	95	124	14.18	DGTS_1-10_01_spkrTS								Rising	107	92		84	95	80		78				81	95	124	14.18	DGTS_1-10_01_spkrTS
Rising	-un-	-un-	90	99	119	-un-	99	95	-un-	-un-	106	119	121	5.74	DGTS_415-251-1554_01_spkrTS								Rising			90	99	119		99	95				106	119	121	5.74	DGTS_415-251-1554_01_spkrTS
Rising	-un-	-un-	82	87	120	-un-	-un-	-un-	-un-	-un-	96	120	121	9.72	DGTS_415-251-1554_01_spkrTS								Rising			82	87	120							96	120	121	9.72	DGTS_415-251-1554_01_spkrTS
Rising	-un-	90	85	96	103	-un-	-un-	93	89	-un-	95	103	104	3.33	N_nothing_01_spkrTS								Rising		90	85	96	103			93	89			95	103	104	3.33	N_nothing_01_spkrTS
Rising	96	-un-	-un-	92	91	88	-un-	-un-	-un-	-un-	80	91	97	6.11	S_I_want_it_to_rain_tomorrow_01_spkrTS								Rising	96			92	91	88						80	91	97	6.11	S_I_want_it_to_rain_tomorrow_01_spkrTS
Rising	95	92	-un-	80	86	-un-	-un-	-un-	-un-	-un-	86	86	98	4.19	S_I_want_it_to_rain_tomorrow_01_spkrTS								Rising	95	92		80	86							86	86	98	4.19	S_I_want_it_to_rain_tomorrow_01_spkrTS
Rising	98	102	96	-un-	-un-	88	-un-	-un-	-un-	-un-	92	-un-	95	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS								Rising	98	102	96			88						92	-un-	95	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS
Rising	101	92	-un-	76	85	-un-	-un-	-un-	-un-	-un-	82	85	85	1.12	S_I_want_it_to_rain_tomorrow_02_spkrTS								Rising	101	92		76	85							82	85	85	1.12	S_I_want_it_to_rain_tomorrow_02_spkrTS
Rising	97	86	88	89	-un-	-un-	-un-	-un-	-un-	-un-	89	-un-	91	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS								Rising	97	86	88	89								89	-un-	91	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS
Rising	81	87	84	-un-	95	83	76	83	-un-	-un-	91	95	95	1.68	S_I_want_it_to_rain_tomorrow_03_spkrTS								Rising	81	87	84		95	83	76	83				91	95	95	1.68	S_I_want_it_to_rain_tomorrow_03_spkrTS
Rising	87	-un-	89	90	80	81	-un-	-un-	-un-	-un-	78	80	94	6.05	S_I_want_it_to_rain_tomorrow_03_spkrTS								Rising	87		89	90	80	81						78	80	94	6.05	S_I_want_it_to_rain_tomorrow_03_spkrTS
Rising	88	85	-un-	77	87	-un-	-un-	-un-	-un-	-un-	82	87	93	4.13	S_I_want_it_to_rain_tomorrow_03_spkrTS								Rising	88	85		77	87							82	87	93	4.13	S_I_want_it_to_rain_tomorrow_03_spkrTS
Rising	86	78	86	-un-	83	-un-	-un-	-un-	-un-	-un-	80	83	90	3.02	S_I_want_it_to_rain_tomorrow_03_spkrTS								Rising	86	78	86		83							80	83	90	3.02	S_I_want_it_to_rain_tomorrow_03_spkrTS
Rising	-un-	-un-	92	-un-	81	-un-	-un-	-un-	-un-	-un-	77	81	92	6.43	S_Q_who_killed_who_02_spkrTS								Rising			92		81							77	81	92	6.43	S_Q_who_killed_who_02_spkrTS
Rising	94	93	81	-un-	79	90	-un-	-un-	-un-	-un-	77	79	80	0.84	S_Q_will_it_rain_tomorrow_03_spkrTS								Rising	94	93	81		79	90						77	79	80	0.84	S_Q_will_it_rain_tomorrow_03_spkrTS
Rising	-un-	-un-	-un-	102	125	128	119	108	-un-	106	120	125	129	4.33	S_he_needs_a_new_heart_01_spkrTS								Rising				102	125	128	119	108		106		120	125	129	4.33	S_he_needs_a_new_heart_01_spkrTS
Rising	-un-	-un-	-un-	109	122	104	-un-	-un-	91	92	115	122	129	4.51	S_he_needs_a_new_heart_02_spkrTS								Rising				109	122	104			91	92		115	122	129	4.51	S_he_needs_a_new_heart_02_spkrTS
Rising	110	91	84	83	87	-un-	76	-un-	-un-	-un-	83	87	92	2.83	S_it_will_rain_tomorrow_01_spkrTS								Rising	110	91	84	83	87		76					83	87	92	2.83	S_it_will_rain_tomorrow_01_spkrTS
Rising	118	106	82	-un-	83	-un-	-un-	-un-	-un-	-un-	81	83	88	2.43	S_it_will_rain_tomorrow_02_spkrTS								Rising	118	106	82		83							81	83	88	2.43	S_it_will_rain_tomorrow_02_spkrTS
Rising	-un-	-un-	85	-un-	99	-un-	77	-un-	-un-	-un-	83	99	116	12.63	S_it_will_rain_tomorrow_03_spkrTS								Rising			85		99		77					83	99	116	12.63	S_it_will_rain_tomorrow_03_spkrTS
Rising	103	-un-	82	-un-	91	86	83	81	-un-	-un-	87	91	96	2.4	S_she_has_a_new_car_01_spkrTS								Rising	103		82		91	86	83	81				87	91	96	2.4	S_she_has_a_new_car_01_spkrTS
Rising	-un-	77	-un-	78	78	92	82	-un-	-un-	79	76	78	92	5.93	S_that_man_is_bad_01_spkrTS								Rising		77		78	78	92	82			79		76	78	92	5.93	S_that_man_is_bad_01_spkrTS
Rising	87	82	77	84	80	-un-	-un-	-un-	-un-	-un-	79	80	89	3.72	S_this_is_new_01_spkrTS								Rising	87	82	77	84	80							79	80	89	3.72	S_this_is_new_01_spkrTS
Rising	76	-un-	79	-un-	88	-un-	-un-	-un-	-un-	-un-	87	88	100	4.48	S_this_is_new_02_spkrTS								Rising	76		79		88							87	88	100	4.48	S_this_is_new_02_spkrTS
Rising	154	-un-	74	72	83	-un-	-un-	-un-	-un-	-un-	82	83	87	1.89	S_this_is_sacred_02_spkrTS								Rising	154		74	72	83							82	83	87	1.89	S_this_is_sacred_02_spkrTS
Rising	86	-un-	74	86	76	-un-	-un-	-un-	-un-	-un-	69	76	93	6.95	S_this_is_sacred_02_spkrTS								Rising	86		74	86	76							69	76	93	6.95	S_this_is_sacred_02_spkrTS
Rising	-un-	78	74	85	79	-un-	-un-	-un-	-un-	-un-	77	79	83	1.55	S_this_is_sacred_03_spkrTS								Rising		78	74	85	79							77	79	83	1.55	S_this_is_sacred_03_spkrTS
Rising	-un-	-un-	116	-un-	84	-un-	-un-	-un-	-un-	-un-	83	84	107	8.38	WH_Q_when_01_spkrTS								Rising			116		84							83	84	107	8.38	WH_Q_when_01_spkrTS
Rising	96	-un-	-un-	-un-	81	-un-	-un-	-un-	-un-	-un-	77	81	96	6.31	WH_Q_when_02_spkrTS								Rising	96				81							77	81	96	6.31	WH_Q_when_02_spkrTS
Rising	-un-	129	103	115	124	128	125	-un-	-un-	-un-	114	124	130	5.72	WH_Q_where_01_spkrTS								Rising		129	103	115	124	128	125					114	124	130	5.72	WH_Q_where_01_spkrTS
Rising	-un-	61	-un-	124	134	135	-un-	-un-	-un-	-un-	124	134	136	4.36	WH_Q_where_02_spkrTS								Rising		61		124	134	135						124	134	136	4.36	WH_Q_where_02_spkrTS
(Rising)	-un-	-un-	95	90	94	107	-un-	-un-	100	94	91	94	105	4.71	DGTS_415-251-1554_01_spkrTS								(Rising)			95	90	94	107			100	94		91	94	105	4.71	DGTS_415-251-1554_01_spkrTS
Rising	-un-	-un-	-un-	109	106	107	108	107	105	104	104	106	108	1.68	WH_Q_who_01_spkrTS								Rising				109	106	107	108	107	105	104		104	106	108	1.68	WH_Q_who_01_spkrTS
Falling	112	89	85	103	81	83	-un-	83	82	83	78	81	114	8.05	DGTS_1-10_01_spkrTS								Falling	112	89	85	103	81	83		83	82	83		78	81	114	8.05	DGTS_1-10_01_spkrTS
Falling	87	80	126	79	83	-un-	85	-un-	-un-	-un-	80	83	84	1.06	DGTS_1-10_01_spkrTS								Falling	87	80	126	79	83		85					80	83	84	1.06	DGTS_1-10_01_spkrTS
Falling	90	-un-	79	-un-	82	87	-un-	-un-	-un-	-un-	80	82	92	3.6	DGTS_1-10_01_spkrTS								Falling	90		79		82	87						80	82	92	3.6	DGTS_1-10_01_spkrTS
Falling	89	105	82	83	82	-un-	-un-	-un-	-un-	-un-	78	82	88	2.59	DGTS_1-10_01_spkrTS								Falling	89	105	82	83	82							78	82	88	2.59	DGTS_1-10_01_spkrTS
Falling	-un-	-un-	-un-	82	84	-un-	-un-	-un-	-un-	-un-	78	84	90	4.74	DGTS_1-10_01_spkrTS								Falling				82	84							78	84	90	4.74	DGTS_1-10_01_spkrTS
Falling	-un-	-un-	-un-	81	76	-un-	-un-	-un-	-un-	-un-	75	76	86	4.08	DGTS_1-10_01_spkrTS								Falling				81	76							75	76	86	4.08	DGTS_1-10_01_spkrTS
Falling	-un-	125	-un-	-un-	95	-un-	114	110	-un-	92	89	95	103	4.42	DGTS_191919191919_01_spkrTS								Falling		125			95		114	110		92		89	95	103	4.42	DGTS_191919191919_01_spkrTS
Falling	125	138	-un-	107	87	95	-un-	77	88	93	81	87	104	5.85	DGTS_191919191919_01_spkrTS								Falling	125	138		107	87	95		77	88	93		81	87	104	5.85	DGTS_191919191919_01_spkrTS
Falling	-un-	-un-	-un-	95	83	90	-un-	-un-	81	-un-	76	83	95	4.39	DGTS_191919191919_01_spkrTS								Falling				95	83	90			81			76	83	95	4.39	DGTS_191919191919_01_spkrTS
Falling	132	110	95	-un-	78	-un-	-un-	-un-	-un-	-un-	74	78	94	5.78	DGTS_191919191919_01_spkrTS								Falling	132	110	95		78							74	78	94	5.78	DGTS_191919191919_01_spkrTS
Falling	92	84	76	74	79	-un-	-un-	-un-	-un-	-un-	78	79	91	2.48	DGTS_191919191919_01_spkrTS								Falling	92	84	76	74	79							78	79	91	2.48	DGTS_191919191919_01_spkrTS
Falling	-un-	-un-	-un-	95	89	92	98	107	121	-un-	88	89	90	1.05	DGTS_415-251-1554_01_spkrTS								Falling				95	89	92	98	107	121			88	89	90	1.05	DGTS_415-251-1554_01_spkrTS
Falling	93	95	-un-	85	85	88	84	-un-	78	-un-	82	85	88	2.56	DGTS_415-251-1554_01_spkrTS								Falling	93	95		85	85	88	84		78			82	85	88	2.56	DGTS_415-251-1554_01_spkrTS
Falling	65	83	85	84	83	82	-un-	-un-	-un-	-un-	78	83	92	3.84	DGTS_415-251-1554_01_spkrTS								Falling	65	83	85	84	83	82						78	83	92	3.84	DGTS_415-251-1554_01_spkrTS
Falling	94	-un-	-un-	88	82	-un-	117	-un-	-un-	-un-	81	82	85	1.28	DGTS_415-251-1554_01_spkrTS								Falling	94			88	82		117					81	82	85	1.28	DGTS_415-251-1554_01_spkrTS
Falling	96	-un-	86	-un-	86	-un-	-un-	-un-	-un-	-un-	86	86	87	0.67	DGTS_415-251-1554_01_spkrTS								Falling	96		86		86							86	86	87	0.67	DGTS_415-251-1554_01_spkrTS
Falling	-un-	101	105	103	93	85	89	-un-	-un-	-un-	84	93	102	5.87	N_heart_01_spkrTS								Falling		101	105	103	93	85	89					84	93	102	5.87	N_heart_01_spkrTS
Falling	-un-	99	99	98	94	87	-un-	-un-	-un-	-un-	86	94	101	4.97	N_heart_02_spkrTS								Falling		99	99	98	94	87						86	94	101	4.97	N_heart_02_spkrTS
Falling	-un-	-un-	-un-	90	85	85	88	95	97	102	84	85	96	3.76	N_nothing_01_spkrTS								Falling				90	85	85	88	95	97	102		84	85	96	3.76	N_nothing_01_spkrTS
Falling	-un-	92	92	99	94	-un-	-un-	86	87	-un-	79	94	98	7.33	P_new_heart_01_spkrTS								Falling		92	92	99	94			86	87			79	94	98	7.33	P_new_heart_01_spkrTS
Falling	-un-	-un-	85	84	83	84	80	-un-	-un-	-un-	82	83	86	1.13	S_I_want_it_to_rain_tomorrow_01_spkrTS								Falling			85	84	83	84	80					82	83	86	1.13	S_I_want_it_to_rain_tomorrow_01_spkrTS
Falling	84	-un-	96	92	87	-un-	92	88	-un-	-un-	86	87	90	1.49	S_I_want_it_to_rain_tomorrow_01_spkrTS								Falling	84		96	92	87		92	88				86	87	90	1.49	S_I_want_it_to_rain_tomorrow_01_spkrTS
Falling	86	97	88	-un-	91	-un-	102	92	-un-	81	74	91	102	8.68	S_I_want_it_to_rain_tomorrow_01_spkrTS								Falling	86	97	88		91		102	92		81		74	91	102	8.68	S_I_want_it_to_rain_tomorrow_01_spkrTS
Falling	-un-	-un-	83	83	82	-un-	91	94	98	98	75	82	85	3.7	S_I_want_it_to_rain_tomorrow_02_spkrTS								Falling			83	83	82		91	94	98	98		75	82	85	3.7	S_I_want_it_to_rain_tomorrow_02_spkrTS
Falling	85	-un-	98	90	82	98	76	100	95	94	81	82	83	0.82	S_I_want_it_to_rain_tomorrow_02_spkrTS								Falling	85		98	90	82	98	76	100	95	94		81	82	83	0.82	S_I_want_it_to_rain_tomorrow_02_spkrTS
Falling	76	98	91	-un-	76	96	-un-	92	-un-	-un-	74	76	94	6.71	S_I_want_it_to_rain_tomorrow_02_spkrTS								Falling	76	98	91		76	96		92				74	76	94	6.71	S_I_want_it_to_rain_tomorrow_02_spkrTS
Falling	98	-un-	100	89	-un-	83	-un-	-un-	-un-	-un-	72	-un-	72	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS								Falling	98		100	89		83						72	-un-	72	-un-	S_I_want_it_to_rain_tomorrow_02_spkrTS
Falling	-un-	-un-	-un-	84	86	84	-un-	-un-	86	87	75	86	86	3.69	S_I_want_it_to_rain_tomorrow_03_spkrTS								Falling				84	86	84			86	87		75	86	86	3.69	S_I_want_it_to_rain_tomorrow_03_spkrTS
Falling	81	-un-	87	85	80	-un-	77	-un-	94	-un-	80	80	83	1.24	S_I_want_it_to_rain_tomorrow_03_spkrTS								Falling	81		87	85	80		77		94			80	80	83	1.24	S_I_want_it_to_rain_tomorrow_03_spkrTS
Falling	85	86	85	84	78	-un-	91	83	-un-	-un-	75	78	86	3.85	S_I_want_it_to_rain_tomorrow_03_spkrTS								Falling	85	86	85	84	78		91	83				75	78	86	3.85	S_I_want_it_to_rain_tomorrow_03_spkrTS
Falling	86	80	87	86	74	-un-	-un-	-un-	-un-	-un-	73	74	79	1.76	S_I_want_it_to_rain_tomorrow_03_spkrTS								Falling	86	80	87	86	74							73	74	79	1.76	S_I_want_it_to_rain_tomorrow_03_spkrTS
Falling	-un-	-un-	-un-	121	107	99	91	111	114	101	93	107	119	9.88	S_Q_who_killed_who_01_spkrTS								Falling				121	107	99	91	111	114	101		93	107	119	9.88	S_Q_who_killed_who_01_spkrTS
Falling	-un-	-un-	93	89	81	-un-	-un-	91	90	84	78	81	88	2.84	S_Q_who_killed_who_02_spkrTS								Falling			93	89	81			91	90	84		78	81	88	2.84	S_Q_who_killed_who_02_spkrTS
Falling	-un-	89	-un-	90	89	-un-	79	-un-	-un-	-un-	83	89	91	3.13	S_Q_who_killed_who_02_spkrTS								Falling		89		90	89		79					83	89	91	3.13	S_Q_who_killed_who_02_spkrTS
Falling	95	98	97	-un-	99	-un-	83	80	-un-	-un-	90	99	104	4.68	S_Q_will_it_rain_tomorrow_02_spkrTS								Falling	95	98	97		99		83	80				90	99	104	4.68	S_Q_will_it_rain_tomorrow_02_spkrTS
Falling	92	94	-un-	104	94	-un-	78	80	-un-	-un-	93	94	100	2.83	S_Q_will_it_rain_tomorrow_03_spkrTS								Falling	92	94		104	94		78	80				93	94	100	2.83	S_Q_will_it_rain_tomorrow_03_spkrTS
Falling	-un-	84	-un-	-un-	79	-un-	-un-	-un-	-un-	-un-	77	79	79	0.63	S_Q_will_it_rain_tomorrow_03_spkrTS								Falling		84			79							77	79	79	0.63	S_Q_will_it_rain_tomorrow_03_spkrTS
Falling	-un-	-un-	102	130	122	108	56	108	109	-un-	117	122	127	2.88	S_he_needs_a_new_heart_01_spkrTS								Falling			102	130	122	108	56	108	109			117	122	127	2.88	S_he_needs_a_new_heart_01_spkrTS
Falling	-un-	120	116	-un-	112	-un-	89	-un-	-un-	-un-	106	112	117	5.63	S_he_needs_a_new_heart_01_spkrTS								Falling		120	116		112		89					106	112	117	5.63	S_he_needs_a_new_heart_01_spkrTS
Falling	-un-	-un-	109	121	101	-un-	91	92	88	-un-	96	101	104	3.4	S_he_needs_a_new_heart_02_spkrTS								Falling			109	121	101		91	92	88			96	101	104	3.4	S_he_needs_a_new_heart_02_spkrTS
Falling	-un-	108	102	97	91	-un-	82	-un-	-un-	-un-	87	91	93	2.61	S_he_needs_a_new_heart_02_spkrTS								Falling		108	102	97	91		82					87	91	93	2.61	S_he_needs_a_new_heart_02_spkrTS
Falling	-un-	89	83	-un-	86	-un-	85	-un-	-un-	-un-	82	86	88	1.79	S_he_needs_a_new_heart_03_spkrTS								Falling		89	83		86		85					82	86	88	1.79	S_he_needs_a_new_heart_03_spkrTS
Falling	98	84	82	-un-	76	-un-	-un-	-un-	-un-	-un-	74	76	85	3.39	S_it_will_rain_tomorrow_01_spkrTS								Falling	98	84	82		76							74	76	85	3.39	S_it_will_rain_tomorrow_01_spkrTS
Falling	-un-	114	86	86	78	-un-	78	-un-	-un-	-un-	75	78	78	1.36	S_it_will_rain_tomorrow_02_spkrTS								Falling		114	86	86	78		78					75	78	78	1.36	S_it_will_rain_tomorrow_02_spkrTS
Falling	107	91	-un-	88	73	-un-	-un-	-un-	-un-	-un-	72	73	87	4.77	S_it_will_rain_tomorrow_02_spkrTS								Falling	107	91		88	73							72	73	87	4.77	S_it_will_rain_tomorrow_02_spkrTS
Falling	109	84	79	-un-	74	-un-	-un-	-un-	-un-	-un-	72	74	84	3.67	S_it_will_rain_tomorrow_03_spkrTS								Falling	109	84	79		74							72	74	84	3.67	S_it_will_rain_tomorrow_03_spkrTS
Falling	104	-un-	85	-un-	88	-un-	81	-un-	-un-	-un-	81	88	92	3.63	S_she_has_a_new_car_01_spkrTS								Falling	104		85		88		81					81	88	92	3.63	S_she_has_a_new_car_01_spkrTS
Falling	-un-	100	-un-	89	86	-un-	82	84	-un-	-un-	81	86	94	4.74	S_she_has_a_new_car_02_spkrTS								Falling		100		89	86		82	84				81	86	94	4.74	S_she_has_a_new_car_02_spkrTS
Falling	-un-	91	-un-	96	100	95	-un-	119	109	-un-	89	100	135	12.77	S_she_has_nine_husbands_01_spkrTS								Falling		91		96	100	95		119	109			89	100	135	12.77	S_she_has_nine_husbands_01_spkrTS
Falling	96	-un-	102	-un-	114	-un-	-un-	-un-	-un-	-un-	104	114	143	12.56	S_she_has_nine_husbands_01_spkrTS								Falling	96		102		114							104	114	143	12.56	S_she_has_nine_husbands_01_spkrTS
Falling	-un-	86	-un-	58	87	-un-	-un-	109	95	-un-	82	87	107	8.59	S_she_has_nine_husbands_02_spkrTS								Falling		86		58	87			109	95			82	87	107	8.59	S_she_has_nine_husbands_02_spkrTS
Falling	-un-	-un-	81	79	75	-un-	-un-	79	78	76	75	75	79	1.35	S_that_man_is_bad_01_spkrTS								Falling			81	79	75			79	78	76		75	75	79	1.35	S_that_man_is_bad_01_spkrTS
Falling	81	-un-	77	91	78	-un-	81	-un-	-un-	-un-	76	78	85	2.86	S_that_man_is_bad_01_spkrTS								Falling	81		77	91	78		81					76	78	85	2.86	S_that_man_is_bad_01_spkrTS
